Date_Label,Date_Sort,Tradition_System,Sub_Tradition,Entry_Type,Title_Event,Person_Visionary,Location,Source_Text,Description,Key_Motifs,Parallel_Systems,Scholarly_Source,Evidence_Tier,Notes
"c. 500–600 CE",540,Hekhalot/Merkabah,Hekhalot Literature,Text,3 Enoch / Sefer Hekhalot – Enoch's Transformation into Metatron,"Rabbi Ishmael (narrator); Enoch / Metatron (protagonist)",Babylonia,3 Enoch / Sefer Hekhalot (Schäfer Synopse §1–80; Alexander tr. in Charlesworth OTP vol. 1),"Rabbi Ishmael ascends and meets Metatron; told Enoch's story: ascent through 7 heavens; transformation of Enoch's body into fire; crowned with crown like YHWH's; 70 names of Metatron given; enthroned as 'Lesser YHWH' (YHWH HaQatan); vast angelic hierarchies described; cosmic secrets of creation","Enoch's transformation; body into fire; Metatron; enthronement; 'Lesser YHWH'; 70 names; angelic hierarchy; cosmic secrets; crown; robe","OT Visions (Genesis 5:24 'Enoch walked with God and was no more'; 1 Enoch 14; 2 Enoch); Hekhalot Rabbati (same hall system); NT Visions (Transfiguration transformation motif; Paul's commissioning); Kundalini (body transformed into light/fire = kundalini awakening completion – Tier C)","Odeberg, '3 Enoch or the Hebrew Book of Enoch' (1928); Alexander, '3 Enoch' in Charlesworth OTP vol. 1 (1983); Orlov, 'The Enoch-Metatron Tradition: The Date of Composition of 2 Enoch' (2005)",A,"Metatron as 'divinized human' is central to both Hekhalot and later Kabbalah; human → angel → divine figure transformation"
"c. 300–700 CE",550,Hekhalot/Merkabah,Hekhalot Literature,Text,Ma'aseh Merkavah (Work of the Chariot) – Hymnic Ascent Technology,"Rabbi Akiva; Rabbi Ishmael",Palestine / Babylonia,Ma'aseh Merkavah (Schäfer Synopse §544–596),"Collection of mystical hymns and prayers for Merkabah ascent; liturgical dimension foregrounded; hymns to angelic hosts at each stage; divine name invocations; adjuration of angelic gate-keepers; passwords; ritual gestures; the chariot vision as goal; transformation through sustained hymnic practice","Mystical hymns; angelic adjuration; divine names; passwords; chariot vision; transformation through song","OT Visions (Ezekiel 1 chariot as explicit referent); Hekhalot Rabbati (companion text; different emphasis); Kundalini (mantra/hymn as activating technology – Tier B structural parallel: both use sonic vibration to navigate to divine)","Schäfer, 'The Hidden and Manifest God' (1992); Davila, 'Descenders to the Chariot: The People behind the Hekhalot Literature' (2001)",A,"Liturgical / practical dimension of Hekhalot; hymns function as 'technology' closely parallel to mantra in Tantric kundalini yoga"
"c. 300–200 BCE",-250,Kundalini/Subtle Body,Classical Yoga,Text,Yoga Sutras of Patanjali – Systematic Yoga Framework,Patanjali,Northern India (location uncertain),Yoga Sutras of Patanjali (c. 300–100 BCE; Bryant ed. 2009),"Codification of eight-limbed yoga (ashtanga): yama-niyama-asana-pranayama-pratyahara-dharana-dhyana-samadhi; pratyahara (withdrawal of senses from objects) as direct precursor to Hekhalot-style withdrawal; samadhi and siddhis (supernormal powers); prana and kundalini implicit in pranayama descriptions","Eight limbs; pratyahara; samadhi; siddhis; prana; internal focus","Hekhalot (withdrawal and preparation before heavenly ascent; powers gained through practice; restricted transmission); OT Visions (prophetic preparation and concentration)","Feuerstein, 'The Yoga Tradition' (1998); Bryant, 'The Yoga Sutras of Patanjali: A New Edition, Translation, and Commentary' (2009)",A,"Kundalini not yet named by that term; systematic framework that all later kundalini traditions build on"
"c. 450–650 CE",550,Kundalini/Subtle Body,Early Shaiva Tantra,Origin Marker,Early Shaiva Agamas – Emergence of Kundalini as Technical Term,Unknown Shaiva masters,Kashmir / South India,"Early Shaiva Āgamas (c. 450–650 CE; primary source: Sanderson 1988)","First systematic Shaiva Tantric texts; non-dualistic metaphysics; yogic practices with explicit kundalini terminology beginning to appear; shakti (divine energy) as cosmic power; body as microcosm of cosmos; initiation-based restricted transmission","Kundalini (emerging); shakti; body-as-cosmos; initiation; divine energy; non-dualism","Hekhalot (initiation-based restricted knowledge; both systems dangerous without proper initiation); NT Visions (transformative divine encounter requiring preparation)","Sanderson, 'Saivism and the Tantric Traditions' in Sutherland et al., 'The World's Religions' (1988); White, 'The Alchemical Body' (1996)",A,"Sanderson's reconstruction; explicit kundalini vocabulary emerges in this period in Shaiva texts"
"c. 700–800 CE",725,Kundalini/Subtle Body,Kashmir Shaivism,Text,Vijñana Bhairava Tantra – 112 Kundalini Dharanas,"Bhairava / Shiva (revealed); Bhairavi (questioner)",Kashmir,"Vijñana Bhairava Tantra (c. 7th–8th c. CE; Singh tr. 1979)","112 centering techniques (dharanas) for direct experience of Bhairava-consciousness (Shiva); includes breath at turning points; sense withdrawal; kundalini awakening practices; mantra; visualization of empty sky; paradoxical methods; attention to liminal states (entering sleep; sneezing; sexual union); most complete early kundalini / contemplation manual","112 dharanas; kundalini; breath at turning-points; sense withdrawal; void; inner fire; paradoxical methods; liminal states","Hekhalot (systematic preparation and 'keys' for divine encounter; both use specific techniques as passports to divine – structural Tier B parallel); Meditation Timeline (Plotinus on the One; Desert Fathers' hesychia); NT Visions (threshold / liminal quality of vision states)","Singh, 'Vijñāna Bhairava or Divine Consciousness' (1979); Dyczkowski, 'The Doctrine of Vibration' (1987); Muller-Ortega, 'The Triadic Heart of Siva' (1989)",A,"Core Kashmir Shaivism text; kundalini explicitly central; 112 techniques form a complete contemplative system"
"c. 820–875 CE",850,Kundalini/Subtle Body,Kashmir Shaivism,Text,Spanda Karikas – Kundalini as Divine Vibration (Spanda),"Vasugupta (attr.); Kallata (commentary)",Kashmir,"Spanda Karikas (c. 825–875 CE); Spanda Sandoha; Spanda Nirnaya","Teaching of divine vibration (spanda) as the pulse of Shiva-consciousness underlying all experience; kundalini as vibrational energy; observing spanda in liminal states (waking/sleeping transition; strong emotion; aesthetic rapture); recognition (pratyabhijna) of one's own divine nature as the goal","Spanda (divine vibration); kundalini as pulsation; liminal states; recognition; aesthetic rapture; non-dual consciousness","Hekhalot (liturgical hymns as vibrational approach to divine; angels' hymns as spanda of higher realms – Tier B); Meditation Timeline (Plotinus; Pseudo-Dionysius); Nonduality (Advaita; Dzogchen parallel)","Dyczkowski, 'The Doctrine of Vibration' (1987); Dyczkowski, 'The Stanzas on Vibration: The Spandakārikā with Four Commentaries' (1992)",A,"Unique vibrational ontology; kundalini as the pulsation of divine consciousness rather than anatomical energy"
"c. 850–1016 CE",950,Kundalini/Subtle Body,Kashmir Shaivism,Text / School,Trika Shaivism – Abhinavagupta's Synthesis; Full Chakra-Kundalini System,"Vasugupta; Abhinavagupta (950–1016 CE); Kshemaraja",Kashmir,"Tantrāloka (Abhinavagupta); Shiva Sutras; Pratyabhijñā-hṛdayam","Systematic elaboration of kundalini as Shakti-energy rising through chakras; seven-chakra system articulated (muladhara to sahasrara); three main nadis (sushumna / ida / pingala); kundalini sleeping at base; awakened through initiation (shaktipata); rises through chakras; union of Shiva (crown) and Shakti (base) as non-dual consciousness; Abhinavagupta's Tantrāloka is encyclopedic synthesis","Kundalini Shakti; 7 chakras (muladhara → sahasrara); sushumna; ida; pingala; shaktipata (initiation); Shiva-Shakti union; non-dual consciousness","Hekhalot (seven-stage ascent from entry to divine throne = seven chakras from base to crown – strongest structural Tier C parallel; BOTH end in union with/vision of the divine; BOTH require initiation and a guide); NT Visions (transformative divine encounter); Nonduality (Advaita parallel)","Sanderson, 'Saivism and the Tantric Traditions' (1988); Muller-Ortega, 'The Triadic Heart of Siva' (1989); Dyczkowski, 'The Doctrine of Vibration' (1987); Flood, 'An Introduction to Hinduism' (1996)",A,"Abhinavagupta is THE central figure of Kashmir Shaivism; Tantrāloka synthesizes all Tantric traditions; seven-chakra kundalini system fully codified here"
"c. 1000–1400 CE",1200,Kundalini/Subtle Body,Natha Tradition / Hatha Yoga,Text / School,Natha Siddhas – Kundalini via Physical-Energetic Practices,"Matsyendranatha (c. 900–1000 CE); Gorakshanatha (c. 1000–1100 CE); subsequent Natha teachers",Northern India / Nepal,"Goraksha Shataka; Siddha Siddhanta Paddhati; Khecarividya; Gorakshanath biographical traditions","Systematic hatha yoga for kundalini awakening; physical postures (asanas) preparing the body; pranayama (breath control) to direct prana into sushumna; bandhas (locks: mula-uddiyana-jalandhara) to raise kundalini; khechari mudra (tongue practice) to access amrita; inner alchemy; bodily transformation","Hatha yoga; kundalini; pranayama; bandha; mudra; khechari; inner alchemy; body as vehicle for liberation","Kundalini (direct elaboration of Kashmir Shaivism framework); Tantric traditions (Kaula lineage descent); Meditation Timeline (hatha yoga as contemplative practice)","Mallinson, 'The Khecarīvidyā of Ādinātha' (2007); Mallinson & Singleton, 'Roots of Yoga' (2017); White, 'The Alchemical Body: Siddha Traditions in Medieval India' (1996)",A,"Matsyendranatha linked to origins of Kaula tantra; Gorakshanatha codifies hatha-kundalini as a practice lineage"
"c. 1400–1500 CE",1450,Kundalini/Subtle Body,Hatha Yoga,Text,Hatha Yoga Pradipika – Classical Kundalini Manual,Svātmārāma,Northern India (Gorakhnath lineage),Hatha Yoga Pradipika (c. 1450 CE; Mallinson tr. 2004),"Most influential classical text on hatha yoga and kundalini; four chapters: asana (15 poses); pranayama (8 kumbhakas); mudra/bandha (10 including maha mudra and khechari); samadhi; systematic treatment of kundalini rising through sushumna; stages of samadhi; nada (inner sound) as guide for ascending kundalini","Kundalini Shakti; sushumna; ida; pingala; muladhara to brahmarandhra; chakras; mudra / bandha; nada (inner sound); samadhi stages","Hekhalot (seven-level systematic ascent; restricted / initiated practice; inner sound/music as Hekhalot hymns parallel – Tier B); Yoga Sutras (Patanjali framework applied); Meditation Timeline (hatha yoga entry c. 1450)","Mallinson, 'The Hatha Yoga Pradīpikā of Svātmārāma' (2004); Birch in 'Yoga in Practice' (2011)",A,"Standard reference text for kundalini system in physical yoga; bridges Natha tradition to modern yoga"
"c. 1200–1300 CE",1250,Hekhalot/Merkabah,Medieval Kabbalah,Text,Sefer HaZohar (Book of Splendor) – Kabbalistic Hekhalot Synthesis,"Moses de León (actual author per most scholars); attributed to Rabbi Shimon bar Yochai (2nd c. CE)",Castile (Spain),"Zohar (published c. 1280–1286 CE; Pritzker Edition tr. Matt 2004–2017 12 vols.)","Foundational medieval Kabbalistic text; extensive palaces (hekhalot) described; Idra Rabba and Idra Zuta sections; soul's ascent through sefirot; four worlds (Assiyah-Yetzirah-Beriah-Atzilut); Shekhinah as divine presence; mystical marriage symbolism; roots in Hekhalot but transformed by Neoplatonic Aristotelian framework","Sefirot; four worlds; Shekhinah; divine emanations; mystical marriage; soul's journey; hekhalot palaces; divine union","Hekhalot (Zohar extensively cites and transforms Hekhalot; Idra sections = elaborated throne room; seven lower sefirot parallel seven halls – Tier A-B); Kundalini (ten sefirot as kundalini chakras – structural Tier C); OT Visions (Torah as esoteric vision text)","Scholem, 'Major Trends in Jewish Mysticism' (1941) ch. 5–6; Matt, 'The Zohar: Pritzker Edition' (2004–2017); Idel, 'Kabbalah: New Perspectives' (1988)",A,"Zohar synthesizes all prior Jewish mystical traditions; sefirot-as-chakras structural parallel is cited in comparative mysticism literature (Tier C)"
"c. 600 CE",630,Hekhalot/Merkabah,Islamic Parallel,Comparative Entry,Muhammad's Night Journey (Isra / Mi'raj) – Seven-Heaven Ascent,Muhammad,Mecca → Jerusalem → Seven Heavens,"Quran 17:1; Hadith: Bukhari Sahih 5:58:227; Muslim 1:309; Ibn Hisham Sira; Mi'raj literature","Muhammad's night journey (isra) on Buraq from Mecca to Jerusalem; ascent (mi'raj) through seven heavens; encounters Adama in first; Jesus and John in second; Joseph in third; Idris (Enoch) in fourth; Aaron in fifth; Moses in sixth (weeps at Muhammad's greater community); Abraham in seventh at Sidrat al-Muntaha (Lote Tree); receives 50 (reduced to 5) daily prayers; parallels to Hekhalot seven-heaven schema widely noted","Night journey; Buraq (heavenly transport); seven heavens; prophet at each level; Lote Tree boundary; divine encounter; prayer commandments","Hekhalot (seven heavens with distinct inhabitants at each level = Hekhalot seven halls; encountering figures at each gate); OT Visions (Ezekiel transport vision; Isaiah throne); NT Visions (Paul's third heaven; Revelation); 2 Enoch (seven heavens with inhabitants)","Colby, 'Narrating Muhammad's Night Journey: Tracing the Development of the Ibn Abbas Ascension Discourse' (2008); Sells, 'Early Islamic Mysticism' (1996); Elior, 'Jewish Mysticism' (2006)",B,"Structural parallels strong; direct Hekhalot influence on Mi'raj literature is debated; convergent development from shared apocalyptic Jewish tradition is likely; Tier B"
"c. 950–1200 CE",1100,Hekhalot/Merkabah,Islamic Parallel,Comparative Entry,Sufi Mysticism – Mi'raj as Inner Ascent; Heavenly Palace Traditions,"Al-Hallaj (858–922 CE); Ibn Arabi (1165–1240 CE)","Baghdad; Andalusia; Damascus","Hallaj, 'Kitab al-Tawasin'; Ibn Arabi, 'Futuhat al-Makkiyya'; Sufi mi'raj literature","Sufi interiorization of Mi'raj as inner ascent of the soul; heavenly palace (qasr) traditions; al-Hallaj's 'I am the Truth' (Ana al-Haqq) as union with divine; Ibn Arabi's 'Unity of Being' (wahdat al-wujud); seven levels of the soul / nafs; inner light experiences","Inner ascent; soul's journey; divine union; seven levels of nafs; inner light; fana (annihilation)","Hekhalot (inner ascent to divine throne; divine union as goal; seven-level schema); Kundalini (seven chakras / seven nafs structural parallel – Tier C); OT Visions (foundation through Quranic / hadith mediation)","Sells, 'Mystical Languages of Unsaying' (1994); Chittick, 'The Sufi Path of Knowledge: Ibn Arabi's Metaphysics of Imagination' (1989)",B,"Hekhalot → Mi'raj → Sufi chain hypothesized; convergent development from shared Abrahamic mystical vocabulary; Tier B for direct influence"
"c. 200 BCE–100 CE",-100,Hekhalot/Merkabah,Apocalyptic Judaism,Text,Apocalypse of Abraham – Ascent; Chariot; Purification by Fire,Abraham (pseudonymous),Diaspora / Palestine,"Apocalypse of Abraham (Charlesworth OTP vol. 1 pp. 681–705; likely 1st–2nd c. CE)","Abraham purified by fire from angel Yaoel; ascent through levels of heaven; chariot throne vision; Yaoel as Metatron prototype; vision of the Fall; eschatological schema; fire as purification agent before vision","Fire purification; angelic guide (Yaoel); chariot-throne vision; ascent; cosmic secrets revealed to patriarch","Hekhalot (Yaoel/Metatron as angelic guide; fire purification before throne = coal in Isaiah 6; chariot throne); OT Visions (Abraham covenant vision Gen 15; Isaac binding Gen 22)","Rubinkiewicz, 'Apocalypse of Abraham' in Charlesworth OTP vol. 1 (1983); Rowland, 'The Open Heaven' (1982) pp. 86–89",B,"Yaoel = proto-Metatron is important Hekhalot connection; date and provenance uncertain"
"c. 300–200 BCE",-300,Kundalini/Subtle Body,Vedic / Yogic,Text,Upanishads – Katha and Mundaka – Sushumna and Inner Light,"Nachiketa (Katha); anonymous (Mundaka)",Northern India,"Katha Upanishad (c. 300 BCE); Mundaka Upanishad (c. 300 BCE)","Katha Upanishad introduces the concept of the sushumna channel 'through which the spirit rises' (Katha 6:16–17); Mundaka describes the 'path of the gods' (devayana) up through the central channel; brahman as inner light; the soul rising at death through central channel","Sushumna channel; inner light; soul's ascent through central channel; brahman as inner light; devayana (path of gods)","Kundalini (sushumna = the central channel of kundalini system; earliest named textual reference); Hekhalot (ascending through central passage to divine throne); OT Visions (Jacob's ladder = sushumna – Tier C structural)","Olivelle, 'The Early Upanishads' (1998); Feuerstein, 'The Yoga Tradition' (1998) pp. 229–235",A,"Katha Upanishad 6:16–17 is among the earliest explicit references to the central channel (sushumna) as path of ascent"
"c. 100 BCE–100 CE",-50,Hekhalot/Merkabah,Hellenistic Jewish,Text,Philo of Alexandria – Ecstatic Prophecy and 'Sober Intoxication' of the Soul,Philo of Alexandria,Alexandria (Egypt),"Philo, 'On the Migration of Abraham'; 'Who is the Heir?'; 'On the Special Laws'","Philo describes ecstatic states where the soul is 'taken up' and the divine spirit enters; 'sober intoxication' (nephalios methe) as mystical state; the divine logos as intermediary; contemplative ascent as goal of philosophy; precursor to Christian mysticism and indirect link to Hekhalot","Ecstatic ascent; divine spirit entering; sober intoxication; logos as intermediary; soul's flight","Hekhalot (ecstatic ascent; intermediary divine figure = Metatron parallel); NT Visions (Paul's Merkabah-type experience; 2 Cor 12); Meditation Timeline (Philo entry)","Wolfson, 'Philo: Foundations of Religious Philosophy in Judaism, Christianity and Islam' (1947); Segal, 'Paul the Convert' (1990) pp. 40–45",A,"Philo bridges Second Temple Judaism and Hekhalot mysticism; 'sober intoxication' parallels both kundalini and Paul's visionary state"
"c. 800–600 BCE",-740,OT Vision,Pre-Exilic Prophetic,Vision Episode,Isaiah 6 Extended: Purification-Then-Commission Pattern as Hekhalot Prototype,"Isaiah ben Amoz",Jerusalem Temple,Isaiah 6:1–13 (see also full Isaiah vision tradition),"The sequential pattern of Isaiah 6: (1) vision of divine throne → (2) terror and unworthiness ('woe is me') → (3) purification by live coal to lips → (4) commission and sending; this exact sequence becomes the structural template for Hekhalot ascent: (1) approach throne → (2) tests and danger → (3) purification/password → (4) entry and revelation","Sequential pattern: vision → unworthiness → purification → commission","Hekhalot (sequential ascent through six halls → purification test → 7th hall entry = Isaiah's exact sequence mapped onto seven halls); Kundalini (chakra-by-chakra purification as parallel process – Tier C)","Scholem, 'Jewish Gnosticism, Merkabah Mysticism, and Talmudic Tradition' (1960) pp. 20–37; Elior, 'The Three Temples' (2004) pp. 4–17",A,"Isaiah 6 is arguably THE structural template for Hekhalot ascent; Scholem and Elior both emphasize this dependency"
"c. 100 CE",95,Hekhalot/Merkabah,Jewish-Christian Parallel,Comparative Entry,Revelation's Marble Vision Test Parallel – Hekhalot Rabbati Warning,John of Patmos (Revelation) / Hekhalot text,Patmos / Babylonia,"Hekhalot Rabbati §259 (Schäfer); Revelation 4:6 (sea of glass like crystal)","In Hekhalot Rabbati the mystic approaching the 6th hall is warned by the gatekeeping angel not to confuse the shining marble slabs for water; those who do call out 'Water! Water!' and are destroyed; this same 'sea of glass' appears in Revelation 4:6; the Talmud also records the marble/water test warning","Shining marble / sea of glass; danger of confusion; water/crystal test; 6th hall","Hekhalot (central danger test in 6th hall); NT Visions (Revelation 4:6 sea of glass – identical image); OT Visions (Ezekiel 1:22 crystal firmament above)","Scholem, 'Jewish Gnosticism' (1960) pp. 14–19; Rowland, 'The Open Heaven' (1982) pp. 222–226; Halperin, 'The Faces of the Chariot' (1988) pp. 225–230",A,"This specific parallel – the marble/water/glass test – is the tightest textual link between Hekhalot Rabbati and Revelation 4"
"c. 1000–1100 CE",1050,Kundalini/Subtle Body,Tibetan Buddhism / Vajrayana,Text,Naropa's Six Yogas – Tummo (Inner Heat) and Subtle Body System,"Naropa (1016–1100 CE); Tilopa (988–1069 CE)",India / Tibet,"Six Yogas of Naropa (transmission from Tilopa; texts compiled from c. 1050 CE onward)","Tummo (inner heat) yoga: visualization of central channel (avadhuti); red-hot coals at navel; kundalini-equivalent (thigle / bindu) rising through chakras; goal: luminous awareness; Illusory Body yoga; Dream yoga; Clear Light yoga; Ejection of consciousness (phowa); Bardo yoga; parallel to Hindu kundalini system through shared Tantric substrate","Inner heat; central channel; chakras (4 main in Buddhist system); thigle/bindu; luminous awareness; dream yoga; clear light","Kundalini (Tummo = Buddhist kundalini; same substrate of Vajrayana tantra); Hekhalot (ascent through stages to divine light = Tummo ascent through chakras to crown clear light – Tier C); Meditation Timeline (Six Yogas of Naropa)","Evans-Wentz, 'Tibetan Yoga and Secret Doctrines' (1935); Mullin, 'The Six Yogas of Naropa' (2005); Germano, 'Architecture and Absence in the Secret Tantric History of rDzogs Chen' (1994)",A,"Six Yogas of Naropa = Buddhist parallel to Hindu kundalini; both systems share Vajrayana Tantric substrate; strongest Buddhist-Kundalini parallel"
"c. 1280 CE",1280,Hekhalot/Merkabah,Medieval Kabbalah,Comparative Note,Seven Sefirot (Lower) as Functional Parallel to Seven Hekhalot Halls,Moses de León / Kabbalistic tradition,Castile (Spain),"Zohar Volumes (1280–1286 CE); Sefer Yetzirah (7th–10th c. CE re-edited)","The seven lower sefirot in the Zoharic Kabbalah (Chesed-Gevurah-Tiferet-Netzach-Hod-Yesod-Malkhut) map functionally onto the seven Hekhalot halls; the soul ascends through the sefirot toward Ein Sof (Infinite) just as the Merkabah mystic ascends through the seven halls toward the divine throne; Zohar's devotional-ecstatic character adds emotional dimension","Seven lower sefirot; soul's ascent; Ein Sof as goal; Shekhinah at base; Keter at crown; four worlds","Hekhalot (Zohar directly inherits and transforms seven-hall structure); Kundalini (seven sefirot / seven chakras parallel is extensively discussed in modern comparative mysticism – Tier C); OT Visions (Torah as encoded vision text in Zoharic reading)","Scholem, 'On the Mystical Shape of the Godhead' (1991) pp. 37–69; Idel, 'Kabbalah: New Perspectives' (1988) ch. 5; Wolfson, 'Through a Speculum That Shines' (1994)",A,"Sefirot → hekhalot continuity is Tier A; sefirot / chakras parallel is cited in comparative literature (Tier C)"
"c. 1750–1810 CE",1780,Hekhalot/Merkabah,Hasidic Judaism,School,Baal Shem Tov and Hasidism – Democratization of Merkabah Mysticism,"Israel Baal Shem Tov (Besht, 1698–1760 CE); disciples","Podolia (Ukraine); Galicia; Poland","Shivhei ha-Besht (In Praise of the Baal Shem Tov; 1814 ed.); Hasidic Torah commentaries","Baal Shem Tov's heavenly ascent narratives; democratization of Merkabah mysticism from elite yordei hamerkavah to communal ecstatic prayer; devekut (cleaving to God) as accessible practice; niggun (wordless song) as vehicle for ascent – parallel to Hekhalot hymns; soul-ascent narratives in Hasidic literature","Devekut (cleaving); ecstatic prayer; niggun (wordless melody); soul ascent; democratization of mysticism","Hekhalot (same ascent tradition but democratized; niggun parallel to Hekhalot hymns as sonic vehicle); Zohar (Kabbalistic framework continued); Kundalini (both kundalini and devekut are inner-ascent traditions now available outside elite lineage)","Scholem, 'Major Trends in Jewish Mysticism' (1941) ch. 9; Idel, 'Hasidism: Between Ecstasy and Magic' (1995); Green, 'Devotion and Commandment' (1989)",A,"Hasidism transformed Merkabah/Hekhalot from elite practice to popular devotion; niggun as ascent technology directly parallels Hekhalot hymns"
"Structural Analysis",0,Cross-Traditional,Structural Comparison,Comparative Note,Seven Stages: Hekhalot Halls vs. Seven Chakras vs. Seven Sefirot – Convergent Architecture,"Scholars' comparative observation","Palestine/Babylonia vs. Kashmir vs. Spain","Hekhalot Rabbati; Abhinavagupta's Tantrāloka; Zohar; Hatha Yoga Pradipika","ALL THREE major traditions describe a sevenfold ascent from lower to higher: (1) Hekhalot: 7 halls from earthly entry to divine throne; guardians/tests at each; purification required; goal = union with divine; (2) Kundalini: 7 chakras from muladhara (base/earth) to sahasrara (crown/divine); blockages at each; purification required; goal = Shiva-Shakti union; (3) Kabbalah: 7 lower sefirot from Malkhut (earth) to Keter (crown/Ein Sof); each sefirah requires contemplation; goal = devekut/union; structural convergence suggests either genealogical connection or deep cross-cultural pattern","Seven stages; guardian/obstacle at each; purification required; graded ascent; divine union at culmination; lower=earth/base; upper=divine/crown","All three traditions compared; OT Visions (seven levels of heaven in prophetic tradition; temple courts as graded approach to Holy of Holies)","Scholem, 'On the Mystical Shape of the Godhead' (1991) ch. 2; Idel, 'Kabbalah: New Perspectives' (1988) pp. 103–111; Feuerstein, 'The Yoga Tradition' (1998) pp. 382–388; Wolfson, 'Through a Speculum That Shines' (1994) pp. 270–275",C,"STRUCTURAL parallel only; no proven genealogical connection between Hekhalot and Kundalini; convergent evolution of mystical systems drawing on universal contemplative architecture is the most defensible position. Tier C for causal claims; Tier A for structural observation"
"c. 4000–3000 BCE","-4000","Eurasian Precursor","Mesopotamian (Sumerian)","Origin Marker","Sumerian Sacred Tree and World Pillar – Eridu Cosmogony (Kigkanu)","Anonymous Sumerian tradition","Eridu / Nippur (Sumer)","CT 16 46:183ff.; Widengren 'The King and the Tree of Life' (Uppsala 1951)","Black kigkanu tree in Eridu: 'created in a holy place; its sheen is pure lapis lazuli drawing from the Apsu'; the World Pillar (Dur-an-ki = Bond of Heaven and Earth) as the cosmic axis; Eridu as navel of the world; apkallu sages tend the tree; tree links heaven, earth, and underworld. Earliest textual record of a named sacred tree in any tradition.","World tree; cosmic axis; lapis lazuli; apkallu sages; underworld waters; Apsu; navel of world","Hekhalot (heavenly palaces rooted in same cosmic-axis theology); Kundalini (spine/sushumna as cosmic axis – Tier C); OT Visions (Jacob's ladder; Ezekiel kavod above firmament)","Parpola, 'The Assyrian Tree of Life' JNES 52/3 (1993) pp. 163–164; Widengren (1951); Lambert, BSOAS 48 (1985)","B","Earliest textual reference to a named sacred tree in Mesopotamia; prototype for all subsequent Mesopotamian sacred tree iconography"
"c. 2500–1243 BCE","-2500","Eurasian Precursor","Mesopotamian (Assyrian/Babylonian)","Origin Marker","Pre-Assyrian Sacred Tree – Triadic Nodes and Flanking Figures Across the Near Eastern Oikumene","Neo-Sumerian through Mitannian traditions","Mesopotamia (Assur; Nippur; Babylon) → Egypt → Greece → Indus","Cylinder seals; Mitannian seals 14th c. BCE; Kepinski 'L'Arbre stylisé en Asie occidentale au 2e millénaire' (Paris 1982)","Stylized tree motif from 4th millennium BCE; by the 2nd millennium found throughout the Near Eastern oikumene including Egypt, Greece, and the Indus Valley. Characterized by triadic trunk, palmette crown, flanking animals (ibexes, goats, eagles). Harappan forms show Proto-Elamite and Akkadian influence. Earliest Greek examples (15th c. BCE) are 'pronouncedly Babylonian' (Parpola). Egyptian examples arrived via Hyksos from 16th c. BCE.","Stylized tree; triadic trunk nodes; flanking animals; palmette crown; spread to Egypt / Greece / Indus","Hekhalot (angelic flanking figures at each hall); Kundalini (three-columned trunk = ida/pingala/sushumna – Tier C); OT Visions (Asherah; Eden tree)","Parpola JNES 52/3 (1993) pp. 161–163; Kepinski (1982); Danthine 'Le Palmier-dattier et les arbres sacrés' (Paris 1937)","A","By the Middle Bronze Age the sacred tree is the dominant religious icon of the entire Near East; spread confirmed to the Indus Valley predating Vedic India"
"c. 1243 BCE","-1243","Eurasian Precursor","Neo-Assyrian Imperial","Origin Marker","Neo-Assyrian Sacred Tree Diagram – Ten-Node Sefirotic Prototype (Tukulti-Ninurta I)","Tukulti-Ninurta I (king); Assyrian court scholars","Kar-Tukulti-Ninurta / Assur (Assyria)","Seal impression KAJ 144 (dated to Tukulti-Ninurta I eponymy); wall paintings of Kar-Tukulti-Ninurta; Parpola JNES 52/3 (1993)","The canonical Late Assyrian Tree first appears under Tukulti-Ninurta I: trunk with three triadic nodes (each with two flanking circles = 3×3 = 9 nodes plus crown = 10 total); winged disk (Assur = En Sof) hovering above; flanking king or apkallu figures; pomegranate/pinecone garland symbolizing 'unity in multiplicity'; tripartite trunk = three pillars of Kabbalah. Parpola demonstrates this diagram is structurally identical to the Kabbalistic Sefirotic Tree when Mesopotamian gods replace the Sefirot.","Three triadic nodes; winged disk above (En Sof / Assur); three-columned trunk; pomegranate garland; 10-point structure; flanking figures; tripartite pillars","Hekhalot (same ten divine attributes structure the angelic hierarchy); Kabbalah (Sefirotic Tree = direct adaptation – Parpola's main thesis); Kundalini (10-node vs. 7-chakra structural comparison – Tier C)","Parpola JNES 52/3 (1993) pp. 163–176 and fig. 7 (reconstructed Tree); Beran ZA 47–52; Moortgat ZA 48 (1944)","A","CRITICAL FINDING (Parpola): mystic numbers of Mesopotamian gods (Anu=1; Ea=60; Sin=30; Samas=20; Marduk=50; Ishtar=15; Ninurta/Nabu=50; Adad=10; Nergal=14) map exactly onto Sefirotic positions — his proof of direct Mesopotamian→Kabbalah transmission"
