Modern Timeline of Freemasonry,,,,
1832.0,Anti-Masonic presidential candidate,William Wirt,United States,"The Anti-Masonic Party fielded Wirt as its presidential candidate, receiving only seven electoral votes."
1840.0,Publication of Halliwell Manuscript,James Halliwell,England,Shakespearean scholar published oldest known document of masonic origin (Regius Poem)
1845.0,Jewish Lodges Established,Jewish Masons,United States,"B'nai B'rith founded, incorporating Masonic elements"
1845.0,French chapter in Alexandria,French Freemasons,"Alexandria, Egypt",French freemasons publicly organized a local chapter in Alexandria.
1846.0,Historical Landmarks,Dr. George Oliver,England,Further invented details claiming Charles II actively attended Masonic meetings
1847.0,First Rational Study of Masonic History,Georg Kloss,Germany,"""Geschichte der Freimaurerei in England, Irland und Schottland"" published (never translated to English)"
1847.0,Prince Hall Grand Lodge,,Boston,"After Prince Hall's death, the provincial lodges reconstituted themselves as Prince Hall Grand Lodge."
1856.0,Grand Lodge Alpina Formed,Swiss Freemasons,Switzerland,Unification of Swiss Masonic lodges
1863.0,Official Recognition of Prince Hall Masonry,Prince Hall Masons,Massachusetts,First mainstream Grand Lodge recognition of African American Masonry
1864.0,Abd al-Qadir in Alexandria,Abd al-Qadir al-Jaza'iri,"Alexandria, Egypt","The Lodge of Pyramids convened a ceremony on June 18 to welcome the Algerian scholar's arrival. He was initiated and honored as the ""Fellow of the Prophet"" and ""a free and accepted Mason""."
1865.0,"Supreme Council, 33° AASR",Albert Pike,"Southern Jurisdiction, USA",Pike revises and standardizes Scottish Rite rituals
1866.0,Findel's History of Freemasonry Translated,J.G. Findel,England,"German work translated to English, furthering rational masonic historical studies"
1870.0,Vatican I Council,Catholic Church,Vatican City,Reaffirmation of Catholic Church's opposition to Freemasonry
1871.0,Paris Commune involvement,,"Paris, France","Freemasons made the last serious attempt at conciliation between Versailles and the Paris Commune on April 21. On April 29, 10,000 Freemasons marched to the Hôtel de Ville and eventually took a stand as combatants for the Commune."
1872.0,First Native American Lodge,Native American Masons,Indian Territory (Oklahoma),Cherokee Lodge No. 21 chartered
1872.0,Removal of Great Architect,,Belgium,The Grand Orient of Belgium removed the Great Architect from its constitutions.
1874.0,Germanic reorganization of Strasbourg Masonic lodges,,Strasbourg,"After Alsace became part of the German Empire, Strasbourg lodges near the Cathedral were reorganized under German Masonic authorities."
1875.0,Lausanne Congress,Mackersy (Scottish delegate),Lausanne,"Congress of Supreme Councils of the Ancient and Accepted Scottish Rite, with eleven countries attempting to unify the Rite. Mackersy's withdrawal sparked debate that led to changes in French lodges."
1877.0,Founding of Quatuor Coronati Lodge,Masonic Scholars,"London, England",First lodge dedicated to Masonic research and historical study
1877.0,French constitution amendment,Frédéric Desmons (Protestant minister),France,"The Grand Orient de France amended its constitutions to read ""Its principles are absolute liberty of conscience and human solidarity"" removing references to God and immortality of the soul."
1878.0,English response,,England,"The United Grand Lodge of England resolved that it cannot recognize as ""true and genuine"" Brethren any who have been initiated in Lodges which deny or ignore belief in ""The Great Architect of the Universe""."
1886.0,Formation of Quatuor Coronati Lodge,Masonic scholars,"London, England",Establishment of first lodge dedicated specifically to masonic research
1889.0,French membership growth,,France,"French Freemasonry grew to 20,000 members."
1891.0,Lodge of Melrose Joins Grand Lodge,Lodge of Melrose St John,Scotland,"After ignoring the Grand Lodge of Scotland since its formation, Melrose finally joins as ""The Lodge of Melrose St John No 1 bis"""
1897.0,Taxil confession,Léo Taxil,France,"On April 19, Taxil called a press conference where he announced that his revelations about the Freemasons were fictitious."
1904.0,French political scandal,,France,"Scandal erupted when Grand Orient de France lodges were asked by the Radical government to secretly collect information about religious and political affiliations of army officers. When news leaked, the government was forced to resign."
1905.0,Formation of International Order of Co-Freemasonry,Annie Besant,France/England,Theosophist spreads Co-Masonry to Britain and beyond
1908.0,French membership growth,,France,"French Freemasonry grew to 32,000 members."
1913.0,New French Grand Lodge recognized,,France,"In December, UGLE recognized the Independent and Regular National Grand Lodge of France (later Grande Loge Nationale Française)."
1919.0,Masonic Service Association Formed,American Freemasons,United States,Created in response to WWI to coordinate relief efforts
1921.0,End of UGLE-Belgium relations,,England/Belgium,Relations between UGLE and Grand Orient of Belgium ended after lasting since the 1870s despite Belgium's removal of the Great Architect requirement.
1926.0,French membership growth,,France,"French Freemasonry grew to 40,000 members."
1929.0,"UGLE ""basic principles""",,England,"The United Grand Lodge of England wrote the ""basic principles"" of recognition into its constitutions."
1935.0,Order of Women Freemasons Established,Female Masons,United Kingdom,Women-only Masonic organization formalized
1936.0,French membership growth,,France,"French Freemasonry grew to about 60,000 members."
1938.0,Masonic Relief during Spanish Civil War,European Freemasons,Spain,Relief efforts for Spanish Masons persecuted by Franco regime
1941.0,Vichy seizure of archives,,France,"The Vichy regime seized Masonic archives, but failed to find significant evidence of the rumored control of government."
1946.0,Post-war revival of Strasbourg Masonry,,Strasbourg,"Masonic lodges began to reestablish in Strasbourg after WWII, reconnecting with the Strasbourg Cathedral's masonic heritage."
1947.0,First Grand Lodge in Africa,Nigerian Freemasons,Nigeria,First indigenous African Grand Lodge established
1958.0,Founding of Commission on Information for Recognition,North American Freemasons,North America,Created to research and report on recognition issues between Grand Lodges
1964.0,Conference of Grand Masters of North America,American and Canadian Freemasons,Washington D.C.,First formal conference addressing common issues
1973.0,Grand Lodge Recognition Standardization,UGLE,England,United Grand Lodge of England standardizes recognition requirements
1984.0,Formation of Regular Grand Lodge of Italy,Italian Freemasons,Italy,Split from Grand Orient of Italy over regularity issues
1988.0,UNESCO recognition for Strasbourg Cathedral,,Strasbourg,"Strasbourg Cathedral was designated a UNESCO World Heritage site, acknowledging the historical significance of the stonemasons' work and architectural achievement."
1989.0,Revival of East European Masonry,European Freemasons,Eastern Europe,Resurgence of Freemasonry after fall of communist regimes
1991.0,Grand Lodge of Russia Reconstituted,Russian Freemasons,Russia,Reestablishment after Soviet era prohibition
1995.0,Internet Masonic Communication Begins,Global Masonic Community,Worldwide,First major Masonic websites and online communities emerge
1996.0,The Hiram Key,Robert Lomas and Christopher Knight,England,"Proposed timeline linking Ancient Egypt, Jesus, Knights Templar, and Rosslyn Chapel to modern Freemasonry"
1999.0,Masonic Information Center Established,Masonic Service Association,United States,Created to provide accurate information about Freemasonry
2001.0,UGLE Tercentenary Planning Begins,United Grand Lodge of England,England,Early planning for 300th anniversary of organized Freemasonry
2001.0,Strasbourg Cathedral and Freemasonry exhibition,,Strasbourg,"A major exhibition on the connections between Strasbourg Cathedral builders and modern Freemasonry was held in Strasbourg, celebrating this historical relationship."
2006.0,The Rosslyn Hoax,Robert Cooper,Scotland,Challenged claims connecting Templars and Rosslyn Chapel to Masonic origins
2007.0,First Social Media Masonic Groups,Younger Masons,Worldwide,Facebook and other platforms host Masonic communities
2008.0,Masonic-themed Movies Released,Popular Culture,United States,"""National Treasure"" series popularizes Masonic symbols and history"
2013.0,Grand Master's Conference on Diversity,North American Freemasons,"Baltimore, Maryland",First major conference on racial inclusion in Freemasonry
2015.0,Women's Grand Lodge Recognition Movement,Female Masons,France,Increasing calls for recognition of women's Grand Lodges
2017.0,Tercentenary of Grand Lodge,UGLE,"London, England",300th anniversary celebrations of the first Grand Lodge
2018.0,UGLE Transparency Initiatives,United Grand Lodge of England,England,Public relations campaign to increase openness about Freemasonry
2020.0,Virtual Lodges During Pandemic,Global Masonic Community,Worldwide,Shift to online meetings and ceremonies during COVID-19
2021.0,Digital Transformation of Masonic Education,Global Masonic Community,Worldwide,Expansion of online learning platforms for Masonic education
2023.0,International Conference on Masonic Research,Masonic Scholars,"Philadelphia, USA",Largest gathering of Masonic researchers to date
2024.0,Diversity and Inclusion Initiatives,Multiple Grand Lodges,"United States, Europe",Major policy reforms to address historical exclusionary practices
1230-1275,Construction of Strasbourg Cathedral nave,Master Gerhard,Strasbourg,"The main nave of the Strasbourg Cathedral was constructed under the direction of Master Gerhard, establishing the cathedral's Gothic grandeur."
1390-1425,Halliwell Manuscript (Regius Poem),Unknown author,England,Oldest known Masonic text claiming the craft began with Euclid in Egypt and came to England during King Athelstan's reign (924-939)
1446-1484,Construction of Rosslyn Chapel,Stonemasons,Scotland,Chapel built with elaborate stone carvings featuring alleged masonic symbolism
1450-1490,Matthew Cooke Manuscript,Unknown author,England,"Traces Masonry to Jabal (son of Lamech), through Euclid, the Children of Israel in Egypt, and eventually to Athelstan in England"
1547-1548,Attempted Abolition of Guilds,Archbishop Cranmer,England,"""The bill of conspiracies of victuallers and craftsmen"" passed, revoking guild monopolies (repealed in 1549)"
1598-1599,Schaw Statutes,William Schaw,Scotland,Reorganization of Scottish lodges and formalization of record-keeping
1649-1660,Charles II's Exile,Stuart Monarchy,Netherlands,Period later claimed (without evidence) to be when Charles II became a Freemason
1722-1723,Duke of Wharton as Grand Master,Duke of Wharton,"London, England","Former Hell-fire club leader serves as Grand Master, later joins anti-masonic Gormagons"
1732-1734,First Russian Lodge,James Keith,"Saint Petersburg, Russia",Keith recorded as being master of a lodge in Saint Petersburg
1733-1737,Expansion of Provincial Grand Lodges,,"Massachusetts, New York, Pennsylvania, South Carolina",The Grand Lodge in England warranted Provincial Grand Lodges in these locations.
1743-1807,Kilwinning as Grand Lodge,Lodge Mother Kilwinning,Scotland,"During its separation, Kilwinning functioned as another Grand Lodge, chartering about 70 lodges in Scotland and abroad"
1751-1752,First Antients Grand Secretary,John Morgan,"London, England",Morgan served as first Grand Secretary of the Antients before obtaining a position in the Navy and resigning after seven months
1752-1771,Dermott as Grand Secretary,Laurence Dermott,"London, England","Dermott serves as Grand Secretary of the Antients for almost twenty years, wielding considerable influence"
1752-1792,Military Lodge Expansion,British Military,American Colonies,Military lodges spread Masonry throughout British colonies
1756-1813,Antients vs. Moderns Rivalry,English Freemasons,England,Period of competition between the two Grand Lodges
1760s,French Masonic influence increases in Rhineland,,Strasbourg,"French Masonic practices increasingly influenced Rhineland lodges as the region became more culturally tied to France, including lodge practices near Strasbourg Cathedral."
1770s,Russian Grand Lodge System,Ivan Yelagin,Russia,Reorganization of Russian Freemasonry into system uniting 14 lodges and 400 government officials
1771-1791,Dermott as Deputy Grand Master,Laurence Dermott,"London, England","Dermott serves as deputy Grand Master on three occasions, continuing his influence until his death"
1772-1775,Goethe joins Strasbourg Freemasons,Johann Wolfgang von Goethe,Strasbourg,"The famous German writer Goethe became a Freemason while studying in Strasbourg, bridging German and French Masonic traditions and admiring Strasbourg Cathedral's architecture."
1775-1777,Military lodges during Revolution,,Continental America,"Few English Moderns warrants existed in the continental army, with most regimental lodges holding warrants from the Grand Lodge of Ireland."
1775-1783,Masonic Networks During Revolutionary War,American and British Masons,American Colonies,Masonic connections maintained across battle lines during the war
1777-1778,Lodge of Antiquity Schism,William Preston,"London, England",Dispute over an unauthorized masonic parade leads to Preston's expulsion and half of the prestigious Lodge of Antiquity seceding
1777-1789,Grand Lodge South of River Trent,Lodge of Antiquity,"London, England","Lodge of Antiquity becomes ""the Grand Lodge of All England South of the River Trent,"" warranting at least two lodges"
1780s,Rite of Strict Observance,Karl Gotthelf von Hund,Germany,Linked Knights Templar to Masonic origins and connected to the exiled House of Stuart; interpreted Hiram Abiff's murder as allegory for Charles I's death
1790s,Introduction to Egypt,French campaigns,Egypt,Freemasonry was introduced in Egypt during the French campaigns of Syria and Egypt.
1790s,Ottoman Empire introduction,Levantine merchants,Turkey,Freemasonry became popular amongst the Levantine merchants in Turkey.
1797-1799,Cagliostro's Egyptian Rite,Alessandro Cagliostro,Italy/France,Created ritual claiming to connect Freemasonry to Ancient Egypt
1797-1801,Proofs of a Conspiracy,John Robison,Scotland,Connected Freemasonry to Illuminati and revolutionary movements
1800s,Masonic Encyclopedia,Albert Mackey,United States,"Elaborated on Anderson's ""Noachides"" concept, incorporating Noah into Masonic history"
1800s,Anti-Masonic Writings,Christoph Friedrich Nicolai,Germany,Implicated Francis Bacon and the Rosicrucians in Masonic origins
1800s,The Age of Reason,Thomas Paine,United States,Traced Freemasonry to Ancient Egyptian mystery schools
1806-1815,Napoleonic influence on Rhineland Freemasonry,,Rhineland,"Under Napoleon's semi-official support, Freemasonry in the Rhineland region experienced revival and reorganization, with renewed interest in cathedral building traditions."
1814-1824,Documentation of Cathedral-Masonry connections,Friedrich Krause,Germany,Scholar Friedrich Krause published extensive studies connecting Strasbourg Cathedral's medieval stonemason traditions with modern Freemasonry.
1820s,Christopher Wren Connection,James Anderson (posthumously),England,Claimed Sir Christopher Wren's involvement with the craft (appeared in Anderson's second book after Wren's death)
1822-1828,Encyclopedia of Freemasonry manuscript,"""Lenning"" (pseudonym)",Leipzig/Paris,Elaborated story that James II's followers at Jesuit College of Clermont fabricated Masonic degrees for political purposes
1828-1838,Anti-Masonic Period,Anti-Masonic Party,United States,First third-party in US formed on anti-Masonic platform; many lodges closed
1830s,Publication of Lenning's Encyclopedia,Friedrich Mossdorf,Germany,"Revised and published Lenning's manuscript, spreading Jacobite origin theories"
1830s,Rebound of Freemasonry,,United States,American Freemasonry began to recover from the Anti-Masonic movement as its influence sputtered out in the mid-1830s.
1844-1874,Mackey's Masonic Works,Albert Mackey,United States,"Published numerous works from ""A Lexicon of Freemasonry"" to ""Encyclopedia of Freemasonry"""
1850s,Renewed interest,,United States,"By the late 1850s, Masonry in America became the subject of renewed popular interest and lodge membership began to rise."
1860s,Civil War membership surge,,United States,"During the American Civil War, U.S. Freemasonry tripled its membership from 66,000 to 200,000 members in over 5000 lodges nationwide."
1860s-1870s,Active Masonic Scholarship,"A.F.A. Woodford, D. Murray-Lyon","England, Scotland","Systematic collection, dating, and classification of old manuscript constitutions"
1861-1865,Masonic fraternization,,American Civil War battlefields,"Many accounts of Masonic soldiers and sailors rescuing enemy combatants who identified themselves as members of the fraternity, Masons burying their own with Masonic formalities during battle, and special treatment given to Masonic POWs."
1870-1871,Franco-Prussian War damages Strasbourg Cathedral,,Strasbourg,The war damaged parts of the Strasbourg Cathedral and disrupted Masonic activities in the region as political control shifted from France to Germany.
1870-1920,"""Golden Age of Fraternalism""",,United States,American Freemasonry flourished along with other fraternal organizations during this period.
1885-1897,Taxil hoax,Léo Taxil,France,Taxil maintained a hoax against both Freemasonry and the Roman Catholic Church by making increasingly outlandish claims about Freemasonry.
1890s,Co-Masonry Begins,"Marie Deraismes, Georges Martin",France,First Masonic organizations admitting women
1900-present,Suppression under totalitarianism,Fascist and Communist regimes,Various countries,"Many 20th century totalitarian regimes treated Freemasonry as a potential source of opposition due to its secret nature, international connections, and promotion of religious and political tolerance."
1909-1910,Strasbourg Cathedral masonic influence studies published,,Strasbourg,"Comprehensive historical studies of the Strasbourg Cathedral stonemasons and their influence on Freemasonry were published, documenting the connection."
1914-1918,WWI masonic relations,American lodges,France,"During the First World War, many American lodges relaxed their opposition to the Grand Orient de France to allow servicemen to engage with other masons while in France."
1929-1939,Masonic Persecution,Nazi Regime,Germany,Suppression and persecution of Freemasons under Hitler
1940-1945,WWII Masonic Resistance,European Freemasons,Occupied Europe,Lodges operated secretly during Nazi occupation
1940-1945,WWII suppression of Rhineland Freemasonry,Nazi regime,Alsace-Rhineland,"Freemasonry was banned and persecuted throughout the region under Nazi occupation, with lodges near Strasbourg Cathedral forced to close."
19th century,Comacine Masters Theory,Various Masonic authors,Italy,Attempted to connect Freemasonry to medieval Italian stonemasons' guilds without concrete evidence
19th century,Roman Collegia Theory,Various Masonic authors,Rome,Speculative connection between Freemasonry and ancient Roman building colleges
19th century,Compagnonnage Connection,French Masonic writers,France,Attempts to link Freemasonry to French craftsmen's guilds produced no concrete connections
Date,Event,People/Culture,Location,Description
Date,Event,People/Culture,Location,Description
600 BC,Early Greek architectural treatises,Theodorus of Samos,"Samos, Greece",Early writings on Ionic temples that would later influence architectural theory leading to Vitruvius.
550 BC,Rhoikos and Theodoros design Temple of Hera,Greek architects,"Samos, Greece",Early monumental temple construction that established principles later codified by Vitruvius.
530 BC,Pythagoras establishes mathematical school,Pythagoras,"Croton, Italy",Development of mathematical principles and proportions that would become fundamental to Vitruvian architecture.
500 BC,Chersiphron and Metagenes' writings,Greek architects,Ephesus,"Lost treatise on the Temple of Artemis at Ephesus, known to have influenced later architectural writers including Vitruvius."
447 BC,Ictinus and Callicrates design Parthenon,Greek architects,"Athens, Greece",Perfection of Doric proportional systems that Vitruvius would later codify in his writings.
440 BC,Hippocrates develops medical theories,Hippocrates,"Kos, Greece",Established the theory of the four humors and environmental influences that Vitruvius would apply to architecture and city planning.
400 BC,Hippodamus develops grid city planning,Hippodamus of Miletus,"Miletus, Greece",Created rational urban planning systems that Vitruvius would later incorporate into his theories on city design.
350 BC,Aristotle's writings on aesthetics,Aristotle,"Athens, Greece","Philosophical works on beauty, proportion, and harmony that influenced Vitruvian architectural theory."
334 BC,Alexander's eastern campaigns,Greek engineers,Near East,"Introduction of Greek architectural knowledge to eastern traditions, creating synthesis that informed later Roman practices."
300 BC,"Euclid writes ""Elements""",Euclid,"Alexandria, Egypt",Systematic presentation of geometry that became central to architectural design principles adopted by Vitruvius.
280 BC,Construction of Pharos Lighthouse,Sostratus of Cnidus,"Alexandria, Egypt",Engineering marvel described in sources that Vitruvius would have studied and referenced.
270 BC,Archimedes develops mechanical principles,Archimedes,"Syracuse, Sicily",Mechanical theories and devices that Vitruvius would later describe in his sections on machines and water devices.
240 BC,Eratosthenes measures Earth's circumference,Eratosthenes,"Alexandria, Egypt",Mathematical and astronomical knowledge that informed the scientific basis of Vitruvian theories.
200 BC,Early Roman architectural adaptations,Republican Roman builders,"Rome, Italy",Beginning of Roman adaptations of Greek principles that Vitruvius would later systematize.
146 BC,Romans conquer Greece,Roman military,Greece,"Accelerated transfer of Greek architectural knowledge to Rome, creating the intellectual environment for Vitruvius."
120 BC,Hermodorus of Salamis works in Rome,Hermodorus,"Rome, Italy","First major Greek architect working in Rome, establishing precedents Vitruvius would follow."
110 BC,Mucius designs Temple of Honor,Mucius,"Rome, Italy",Early Roman architect mentioned by Vitruvius as a notable predecessor.
100 BC,Writings of Varro,Marcus Terentius Varro,"Rome, Italy",Encyclopedist whose work on disciplines influenced Vitruvius's organization of architectural knowledge.
90 BC,Cossutius works on Temple of Zeus,Cossutius,"Athens, Greece","Roman architect working in Greece, representing the cross-cultural exchange Vitruvius emerged from."
80 BC,Birth of Vitruvius (approximate),,Roman Republic,"Marcus Vitruvius Pollio is born, likely in Campania or Formiae."
Date,Event,People/Culture,Location,Description
80-70 BC,Early education of Vitruvius,,Roman Republic,"Vitruvius receives education in liberal arts, particularly drawing, geometry, and history."
60-50 BC,Apprenticeship period,,Roman Republic,Vitruvius likely served apprenticeship under established architects and engineers.
58-51 BC,Caesar's Gallic Wars,Julius Caesar,Gaul,Period when Vitruvius may have begun military service under Caesar as a military engineer.
50-45 BC,Vitruvius serves in military,Julius Caesar,Various,"Vitruvius serves as praefectus fabrum (chief of engineers) in Caesar's army, gaining practical experience in construction and siege engines."
46 BC,Caesar's triumphs in Rome,Julius Caesar,"Rome, Italy",Military celebrations where Vitruvius likely participated as part of Caesar's entourage.
44 BC,Assassination of Caesar,,"Rome, Italy","Death of Vitruvius's patron, leading to a period of uncertainty in his career."
42 BC,Battle of Philippi,Octavian and Mark Antony,"Philippi, Greece",Civil war battle after which Vitruvius likely aligned with Octavian (later Augustus).
40-30 BC,Vitruvius works as an architect,,"Rome, Italy","Period of architectural practice, possibly working on projects for Augustus."
33 BC,Vitruvius designs basilica,,"Fano, Italy","Construction of the Basilica of Fano, the only building definitively attributed to Vitruvius."
30-25 BC,Vitruvius writes De Architectura,,"Rome, Italy","Composition of his ten-book treatise on architecture, dedicated to Augustus."
27 BC,Octavian becomes Augustus,Augustus,"Rome, Italy","Establishment of the principate under Augustus, Vitruvius's patron."
25-20 BC,De Architectura published,,"Rome, Italy","Publication of Vitruvius's complete work on architecture, the only surviving complete architectural treatise from antiquity."
20-15 BC,Vitruvius receives pension,Augustus,"Rome, Italy","Augustus grants Vitruvius a pension, allowing him financial security in old age."
15 BC,Death of Vitruvius (approximate),,Roman Empire,"Marcus Vitruvius Pollio dies, leaving De Architectura as his legacy."
Date,Event,People/Culture,Location,Description
15 BC-100 AD,Early Roman implementation,Augustan architects,Roman Empire,Roman architects apply Vitruvian principles during the building program of Augustus and his successors.
75-80 AD,Frontinus references Vitruvius,Sextus Julius Frontinus,"Rome, Italy","Roman engineer cites Vitruvius in his work on aqueducts, showing early influence."
100 AD,Pliny the Elder cites Vitruvius,Pliny,"Rome, Italy","References to Vitruvius in Pliny's Natural History, helping preserve knowledge of his work."
110 AD,Trajan's Forum applies Vitruvian principles,Apollodorus of Damascus,"Rome, Italy",Major architectural complex embodying many Vitruvian ideals of proportion and design.
200 AD,Athenaeus references Vitruvius,Athenaeus,"Alexandria, Egypt","Greek scholar mentions Vitruvius, showing the spread of his reputation."
300-400 AD,De Architectura preserved in libraries,Roman scholars,Various,Copying and preservation of Vitruvius's text in late Roman libraries.
500-600 AD,Boethius and Cassiodorus reference Vitruvius,Early medieval scholars,Italy,Early medieval scholars help maintain awareness of Vitruvius during the transition from antiquity.
550 AD,Isidore of Seville preserves Vitruvian concepts,Isidore,"Seville, Spain","Encyclopedist includes Vitruvian ideas in his works, helping transmit them to medieval Europe."
800 AD,Carolingian copies of De Architectura,Carolingian monks,Frankish Empire,"Earliest surviving manuscripts of Vitruvius date from this period, showing continued interest."
1000-1200 AD,Limited circulation in monastic libraries,Benedictine monks,Various European monasteries,Preservation of Vitruvian manuscripts in monastic collections during the early Middle Ages.
1244 AD,Vincent of Beauvais cites Vitruvius,Vincent of Beauvais,France,Medieval encyclopedist incorporates Vitruvian knowledge in his Speculum Maius.
1300-1400 AD,Early Renaissance interest in Vitruvius,Proto-humanist scholars,Italy,Growing interest in classical texts leads to wider circulation of Vitruvian manuscripts.
1414 AD,Poggio Bracciolini discovers Vitruvius manuscript,Poggio Bracciolini,"Monastery of St. Gall, Switzerland","Humanist discovery of a complete manuscript of De Architectura, spurring Renaissance interest."
1450 AD,First printed edition preparation,Giovanni Sulpizio,"Rome, Italy",Work begins on preparing Vitruvius for the new medium of printing.
1486 AD,First printed edition of De Architectura,,"Rome, Italy","Publication of the first printed edition of Vitruvius, making the text widely available."
1511 AD,Fra Giocondo's illustrated edition,Fra Giovanni Giocondo,"Venice, Italy","First illustrated edition of Vitruvius, making his principles more accessible to architects."
1521 AD,Cesariano's Italian translation,Cesare Cesariano,"Como, Italy","First translation into Italian with extensive commentary, broadening Vitruvius's influence."
1546 AD,Daniele Barbaro's commentary,"Daniele Barbaro, Andrea Palladio","Venice, Italy",Influential commentary on Vitruvius with illustrations attributed to Palladio.
1562 AD,Philandrier's annotated Vitruvius,Guillaume Philandrier,"Lyon, France",Scholar's detailed annotations of Vitruvius clarify difficult passages.
1567 AD,Spanish translation,Miguel de Urrea,"Alcalá, Spain",Translation making Vitruvian principles available to Spanish-speaking architects.
1570 AD,"Palladio publishes ""Four Books of Architecture""",Andrea Palladio,"Venice, Italy",Palladio's own architectural treatise heavily influenced by Vitruvian principles.
1624 AD,English translation,Henry Wotton,"London, England","First English translation, ""The Elements of Architecture,"" based on Vitruvian principles."
1673 AD,Claude Perrault's definitive edition,Claude Perrault,"Paris, France",French architect produces highly influential edition reconciling Vitruvius with modern practices.
1791 AD,First US edition,William Thornton,"Philadelphia, USA",Introduction of Vitruvian principles to American architectural practice.
1826 AD,Joseph Gwilt's English translation,Joseph Gwilt,"London, England",Standard English translation that would influence Victorian architecture.
1900-present,Modern critical editions,Various scholars,Various locations,Scholarly editions establishing critical text and historical context of Vitruvius's work.
Date,Event,People/Culture,Location,Description
600 BC,Early Greek architectural treatises,Theodorus of Samos,"Samos, Greece",Early writings on Ionic temples that would later influence architectural theory leading to Vitruvius.
550 BC,Rhoikos and Theodoros design Temple of Hera,Greek architects,"Samos, Greece",Early monumental temple construction that established principles later codified by Vitruvius.
530 BC,Pythagoras establishes mathematical school,Pythagoras,"Croton, Italy",Development of mathematical principles and proportions that would become fundamental to Vitruvian architecture.
500 BC,Chersiphron and Metagenes' writings,Greek architects,Ephesus,"Lost treatise on the Temple of Artemis at Ephesus, known to have influenced later architectural writers including Vitruvius."
447 BC,Ictinus and Callicrates design Parthenon,Greek architects,"Athens, Greece",Perfection of Doric proportional systems that Vitruvius would later codify in his writings.
440 BC,Hippocrates develops medical theories,Hippocrates,"Kos, Greece",Established the theory of the four humors and environmental influences that Vitruvius would apply to architecture and city planning.
400 BC,Hippodamus develops grid city planning,Hippodamus of Miletus,"Miletus, Greece",Created rational urban planning systems that Vitruvius would later incorporate into his theories on city design.
350 BC,Aristotle's writings on aesthetics,Aristotle,"Athens, Greece","Philosophical works on beauty, proportion, and harmony that influenced Vitruvian architectural theory."
334 BC,Alexander's eastern campaigns,Greek engineers,Near East,"Introduction of Greek architectural knowledge to eastern traditions, creating synthesis that informed later Roman practices."
300 BC,"Euclid writes ""Elements""",Euclid,"Alexandria, Egypt",Systematic presentation of geometry that became central to architectural design principles adopted by Vitruvius.
280 BC,Construction of Pharos Lighthouse,Sostratus of Cnidus,"Alexandria, Egypt",Engineering marvel described in sources that Vitruvius would have studied and referenced.
270 BC,Archimedes develops mechanical principles,Archimedes,"Syracuse, Sicily",Mechanical theories and devices that Vitruvius would later describe in his sections on machines and water devices.
240 BC,Eratosthenes measures Earth's circumference,Eratosthenes,"Alexandria, Egypt",Mathematical and astronomical knowledge that informed the scientific basis of Vitruvian theories.
200 BC,Early Roman architectural adaptations,Republican Roman builders,"Rome, Italy",Beginning of Roman adaptations of Greek principles that Vitruvius would later systematize.
146 BC,Romans conquer Greece,Roman military,Greece,"Accelerated transfer of Greek architectural knowledge to Rome, creating the intellectual environment for Vitruvius."
120 BC,Hermodorus of Salamis works in Rome,Hermodorus,"Rome, Italy","First major Greek architect working in Rome, establishing precedents Vitruvius would follow."
110 BC,Mucius designs Temple of Honor,Mucius,"Rome, Italy",Early Roman architect mentioned by Vitruvius as a notable predecessor.
100 BC,Writings of Varro,Marcus Terentius Varro,"Rome, Italy",Encyclopedist whose work on disciplines influenced Vitruvius's organization of architectural knowledge.
90 BC,Cossutius works on Temple of Zeus,Cossutius,"Athens, Greece","Roman architect working in Greece, representing the cross-cultural exchange Vitruvius emerged from."
80 BC,Birth of Vitruvius (approximate),,Roman Republic,"Marcus Vitruvius Pollio is born, likely in Campania or Formiae."
80-70 BC,Early education of Vitruvius,,Roman Republic,"Vitruvius receives education in liberal arts, particularly drawing, geometry, and history."
60-50 BC,Apprenticeship period,,Roman Republic,Vitruvius likely served apprenticeship under established architects and engineers.
58-51 BC,Caesar's Gallic Wars,Julius Caesar,Gaul,Period when Vitruvius may have begun military service under Caesar as a military engineer.
50-45 BC,Vitruvius serves in military,Julius Caesar,Various,"Vitruvius serves as praefectus fabrum (chief of engineers) in Caesar's army, gaining practical experience in construction and siege engines."
46 BC,Caesar's triumphs in Rome,Julius Caesar,"Rome, Italy",Military celebrations where Vitruvius likely participated as part of Caesar's entourage.
44 BC,Assassination of Caesar,,"Rome, Italy","Death of Vitruvius's patron, leading to a period of uncertainty in his career."
42 BC,Battle of Philippi,Octavian and Mark Antony,"Philippi, Greece",Civil war battle after which Vitruvius likely aligned with Octavian (later Augustus).
40-30 BC,Vitruvius works as an architect,,"Rome, Italy","Period of architectural practice, possibly working on projects for Augustus."
33 BC,Vitruvius designs basilica,,"Fano, Italy","Construction of the Basilica of Fano, the only building definitively attributed to Vitruvius."
30-25 BC,Vitruvius writes De Architectura,,"Rome, Italy","Composition of his ten-book treatise on architecture, dedicated to Augustus."
27 BC,Octavian becomes Augustus,Augustus,"Rome, Italy","Establishment of the principate under Augustus, Vitruvius's patron."
25-20 BC,De Architectura published,,"Rome, Italy","Publication of Vitruvius's complete work on architecture, the only surviving complete architectural treatise from antiquity."
20-15 BC,Vitruvius receives pension,Augustus,"Rome, Italy","Augustus grants Vitruvius a pension, allowing him financial security in old age."
