c. 700-400 BCE,Apollo Smintheus,Greek/Anatolian,Apollo variant,"""Mouse Apollo,"" plague-averting","Homer (Iliad), temple at Chryse, coins, Anatolian cult sites","Troad, Asia Minor","Anatolian, possible Egyptian mouse cults",Unknown
c. 700-400 BCE,Apollo Delphinios,Greek,Apollo variant,"Linked to dolphins, sea, purification","Delphic cult, Cretan inscriptions, Pausanias","Delphi, Crete",Sea deities,Unknown
c. 700-400 BCE,Apollo Hyperboreios,Greek (mythic),Apollo variant,"Northern, shamanic, Scythian traits","Herodotus, Pindar, Hyperborean myths","North Aegean, Scythia","Shamanic, northern deities",Unknown
c. 700-300 BCE,Apollo-Helios,Greek,Apollo-Helios,"Solar, light, prophecy, healing",Greek religious texts,Greece,"Ra, Surya, Sol","Solar disc, lyre, bow"
c. 600-400 BCE,"Dionysus Eleuthereus, Bacchus",Classical Greece,Dionysus,"God of theater, liberation, transformation","Theater history, archaeological evidence","Athens, Greece",Other forms of Dionysus,City Dionysia in Athens; integration into the Olympian pantheon; Eleusinian and Orphic Mysteries
c. 600-323 BCE,Phoebus Apollo,Attic Greek,Apollo (Classical),"""Radiant"" (solar)","Delphi inscriptions, Pindar, Aeschylus, sanctuary remains at Delphi","Delphi, Athens","Helios, Mithras",Unknown
c. 600-300 BCE,Sabazios,Thracian/Phrygian/Greek,Sabazios,"Sky father, horseman, hand of blessing",Archaeological evidence,"Balkans, Anatolia","Zeus, Jupiter, Yahweh","Hand of blessing, horse, serpent"
c. 600-100 BCE,Zeus Hypsistos,Greek/Anatolian,"Zeus Hypsistos (""Highest"")","Supreme deity, monotheistic aspects",Greek inscriptions,"Greece, Anatolia","Yahweh, Ahura Mazda","Throne, lightning, celestial symbols"
c. 500 BCE–present,"Trimurti (Brahma, Vishnu, Shiva), Dattatreya",Sanskrit/Hindu,Divine Trinity,"Creation, preservation, destruction, syncretic unity","Puranas, Epics",India,"Dattatreya (3-headed form), Harihara (Shiva-Vishnu)","Three heads, symbolic animals"
c. 6th–4th c. BCE,–,"Achaemenid Persia, Asia Minor",Persian Solar Influence,Persian sun-god Mithra influences Greek solar and soteriological motifs,Comparative religion,"Persia, Asia Minor","Apollo, Dionysus, Mithra",Persian-influenced dress and crowns in Anatolian Apollo and Dionysus depictions
c. 6th–4th c. BCE,–,"Achaemenid Persia, Asia Minor",Persian Religious Influence,Zoroastrian dualism and rebirth myths parallel Orphic-Dionysian themes,Comparative religion,"Persia, Asia Minor","Dionysus, Zoroastrian deities",Nonnus' Orphic myth parallels with Persian Bundahishn
c. 5th–3rd c. BCE,–,"Egypt, Hellenistic World",Dionysus-Osiris,Dionysus identified with Osiris; shared mystery cults and soteriological motifs,Hellenistic religious texts,Egypt,"Osiris, Isis",Hellenistic syncretism; Dionysus-Osiris in Ptolemaic Egypt
c. 5th–3rd c. BCE,Apollo Mikal/Amyklos,Greek/Phoenician,Syncretic Apollo,"Fusion of Apollo and Reshef Mikal; healing, solar, apotropaic powers","Greek-Phoenician bilinguals (Kition, Idalion)",Cyprus,"Apollo, Reshef, Amyklos",Unknown
c. 500-100 BCE,Zeus-Ahura Mazda,Greco-Persian,Zeus-Ahura Mazda,"Supreme deity, light, cosmic order",Archaeological evidence,Asia Minor,"Zeus, Ahura Mazda","Light, celestial symbols"
c. 500-100 BCE,Jupiter Dolichenus,Roman/Syrian,Jupiter Dolichenus,"Sky, storm, military power","Roman inscriptions, temples","Syria, Rome","Jupiter, Baal, Hadad","Bull, double axe, lightning"
c. 400 BCE-400 CE,Serapis,Greco-Egyptian,Serapis,"Syncretic ruler of underworld, healing",Ptolemaic texts,Egypt,"Osiris, Apis, Pluto, Zeus","Bull, modius (grain measure), Cerberus"
c. 300 BCE–present,"Krishna, कृष्ण, Vasudeva, Govinda, Gopala, Keshava, Madhava",Sanskrit/Hindu,Krishna (Vishnu avatar),"Avatar, cosmic hero, messianic figure","Mahabharata, Bhagavad Gita",India,"Vishnu, Rama, Buddha","Flute, peacock feather, blue skin"
c. 300 BCE–present,"Rama, राम, Ramachandra, Raghava",Sanskrit/Hindu,Rama (Vishnu avatar),"Avatar, ideal king, dharma-restorer","Ramayana, Puranas",India,"Vishnu, Krishna, Buddha","Bow, arrow, blue skin"
c. 300 BCE-300 CE,Mithras,Roman/Persian,Mithras,"Solar, bull-slayer, salvation",Roman Mithraic temples,Roman Empire,"Sol Invictus, Apollo, Helios, Mithra","Bull-slaying, solar rays, torch"
c. 300 BCE-300 CE,Sol Invictus,Roman,Sol Invictus,"Unconquered Sun, cosmic power","Roman inscriptions, coins",Roman Empire,"Helios, Apollo, Mithras","Solar rays, crown, quadriga (four-horse chariot)"
c. 200 BCE-400 CE,Jupiter Optimus Maximus,Roman,Jupiter Optimus Maximus,"Supreme deity, state religion",Roman state records,Roman Empire,"Zeus, Amun-Ra","Eagle, lightning, throne"
c. 100 BCE-500 CE,Zeus-Sarapis,Greco-Egyptian,Zeus-Sarapis,"Syncretic ruler, cosmic power",Greco-Roman Egyptian artifacts,"Egypt, Mediterranean","Zeus, Serapis, Osiris","Modius, throne, Cerberus"
c. 100 BCE-400 CE,Jupiter-Ammon-Sarapis,Roman/Egyptian,Jupiter-Ammon-Sarapis,Supreme syncretic deity,Roman-Egyptian artifacts,Roman Egypt,"Jupiter, Ammon, Sarapis","Ram horns, modius, lightning"
c. 100-400 CE,Christ-Helios,Early Christian/Roman,Christ as Solar deity,"Savior, light of world, resurrection","Early Christian art, texts",Mediterranean,"Jesus, Sol Invictus, Apollo","Solar rays, chariot, resurrection"
c. 200-600 CE,Zeus-Theos-Hypsistos,Late Antique,Zeus-Theos-Hypsistos,"Supreme God, monotheistic aspects",Late Antique inscriptions,Eastern Mediterranean,"Yahweh, Christian God","Celestial symbols, throne"
c. 1st c. BCE–4th c. CE,–,"Roman Empire, Levant",Solar Cult Syncretism,"Solar cults: Apollo, Sol Invictus, Mithras, Bacchus share solar features",Comparative religion,"Roman Empire, Levant","Apollo, Sol Invictus, Mithras, Bacchus/Dionysus",Apollo and Mithras with radiant crowns; Mithraic tauroctony; Bacchic processions with solar imagery
c. 1st–4th c. CE,"Dionysus-Osiris, Sabazios","Roman Empire, Egypt, Thrace",Syncretic Dionysus,"Universal savior, afterlife, rebirth",Religious texts,Roman Empire,"Osiris (Egypt), Sabazios (Thrace/Phrygia)",Dionysian Mysteries continue in the empire
c. 1st–4th c. CE,–,"Roman Empire, Egypt, Asia Minor",Mystery Cult Syncretism,Dionysian mysteries merge with other mystery cults,Comparative religion,Roman Empire,"Osiris, Sabazios, Serapis, Mithras",Syncretic cults; Dionysus-Osiris-Serapis iconography; Mithraic and Dionysian mysteries share ritual elements
c. 1st–4th c. CE,Apollo-Mithras,Roman/Indo-Iranian,Syncretic solar deity,"Solar, savior, mediator","Mithraic iconography, Nemrut Dağ reliefs, Mithraea near Apollo temples","Asia Minor, Rome",Mithras,Solar imagery
c. 1st–4th c. CE,Apollo-Serapis,Greco-Egyptian,Syncretic deity,"Solar, healing, afterlife","Serapis cult, temple dedications, Greco-Egyptian iconography","Egypt, Rome","Serapis, Osiris, Dionysus",Solar imagery
c. 1st c. CE,Michael (Archangel),Christian (Greek/Hebrew),Michael,"Leader of heavenly hosts, dragon-slayer, protector","Book of Revelation (12:7–9), Jude 1:9",Eastern Mediterranean,"Satan (as adversary), Christ (as cosmic victor)",Warrior imagery
c. 1st c. CE,Paul (Paul the Apostle),Jewish/Christian,Paul,"Apostle, missionary, debated at Corinth with Apollos","Letters of Paul (1 Corinthians, Titus), Acts of the Apostles",Eastern Mediterranean,"Apollos, early Christian leaders",Unknown
c. 1st c. CE,Apollos (Ἀπολλώς),Jewish/Christian,Apollos,"Evangelist, preacher, companion of Paul","Acts 18:24–28, 19:1; 1 Corinthians 1:12, 3:4–6, 16:12; Titus 3:13","Alexandria, Ephesus, Corinth, Crete","Paul, Peter, early Christian communities",Unknown
c. 1st c. CE,Apollyon (Ἀπολλύων),Greek/Christian,Apollyon,"""Destroyer,"" angel of the abyss, king of locusts",Revelation 9:11,Biblical/Apocalyptic,"Abaddon, Satan (some traditions), Apollo (etymology/allusion)",Unknown
c. 1st c. CE,Abaddon (אֲבַדּוֹן),Hebrew/Christian,Abaddon,"""Destruction,"" abyss, angel of death","Hebrew Bible, Septuagint, Revelation 9:11","Israel, Jewish tradition","Apollyon, angel of the abyss",Unknown
c. 1st c. CE,Apollonius of Tyana,Greek/Roman,Apollonius,"Philosopher, wonder-worker, sage","Philostratus, ""Life of Apollonius of Tyana""","Tyana (Cappadocia), Ephesus, Rome","Apollo (namesake), Pythagoras, Christ (comparisons)",Unknown
c. 2nd–7th c. CE,–,"Gandhara, Central Asia, NW India",Solar Buddhist Deities,Mahayana Buddhism develops solar Buddhas,Buddhist texts,"Gandhara, Central Asia","Maitreya, Vairocana, Surya, Buddha",Gandharan art: Buddha and Maitreya with topknot/ushnisha resembling Apollo knot; radiant halos
c. 3rd–5th c. CE,–,"Roman Empire, Christian World",Christ-Dionysus Parallels,Dionysus as a dying-and-rising savior god; Christian writers draw on Dionysian themes,Christian texts,Roman Empire,"Dionysus, Christ","Early Christian polemics; Dionysian motifs in Christian art and ritual (wine, resurrection, communal meal)"
c. 3rd–7th c. CE,–,"Gandhara, Silk Road, China",Buddha-Apollo Parallels,"Buddha depicted with radiant halo, solar aura, and topknot",Buddhist art,"Gandhara, Silk Road","Buddha, Maitreya, Solar Bodhisattvas",Greco-Roman hair (Apollo knot) in Gandharan Buddhas; solar deities flanking Buddha in cave art
c. 500-1500 CE,Perun-Saint Elijah,Slavic Christian,Perun as St. Elijah,"Thunder, chariot, rain-bringer",Slavic Christian folklore,Eastern Europe,"Biblical Elijah, Perun","Chariot, lightning, mountain"
c. 500-1500 CE,Thor-Saint Olaf,Norse Christian,Thor aspects in St. Olaf,"Thunder, dragon-slayer",Norse Christian folklore,Scandinavia,"Thor, Biblical saints","Axe, dragon/serpent"
c. 600-1000 CE,Tengri-Allah,Turkic Islam,Syncretic sky deity,"Supreme deity, heaven",Early Turkic-Islamic texts,Central Asia,"Allah, Tengri","Sky, blue color, Islamic symbols"
c. 700-1500 CE,Harihara,Hindu,Harihara,Syncretic Vishnu-Shiva,"Temple sculptures, texts",India,"Vishnu, Shiva",Half Vishnu/half Shiva form
c. 700-1300 CE,Vairocana Buddha,Mahayana/Vajrayana Buddhism,Vairocana,"Cosmic Buddha, illumination","Buddhist texts, iconography","East Asia, Tibet",Cosmic aspect of Gautama Buddha,"Cosmic wheel (dharmachakra), sun"
c. 800-1800 CE,Avalokiteshvara-Guanyin,Buddhist,Avalokiteshvara/Guanyin,"Compassion, savior","Buddhist texts, iconography","China, East Asia",Bodhisattva of Compassion,"Multiple arms, lotus, water"
c. 1000-1800 CE,Perkūnas-Saint Michael,Baltic Christian,Perkūnas as St. Michael,"Dragon-slayer, divine warrior",Baltic Christian folklore,"Lithuania, Latvia","Biblical Michael, Perkūnas","Sword, dragon/serpent"
c. 1200-1800 CE,Quetzalcoatl-Santo Tomás,Mesoamerican/Christian,Quetzalcoatl as Apostle Thomas,"Cultural hero, civilizer",Colonial texts,Mexico,"Biblical Thomas, Quetzalcoatl","Feathered serpent, Christian symbols"
c. 1500-present,Santería Syncretism (Changó-Santa Barbara),Afro-Cuban,Changó/Shango as St. Barbara,"Thunder, lightning, justice",Santería tradition,Caribbean,"Yoruba Shango, St. Barbara","Double-headed axe, red/white colors"
c. 1500-present,Vodou Syncretism (Shango-St. John),Afro-Caribbean,Shango as St. John,"Thunder, fire, virility",Vodou tradition,"Haiti, Caribbean","Yoruba Shango, St. John","Thunder, fire, red colors"
c. 1500-present,Candomblé Syncretism (Xangô-St. Jerome),Afro-Brazilian,Xangô as St. Jerome,"Thunder, justice, virility",Candomblé tradition,Brazil,"Yoruba Shango, St. Jerome","Double-headed axe, red/white"
Buddhist Figure,Iranian Deity,Date of Incorporation,Nature of Syncretism,Region,Evidence/Sources,,,
Metteya/Maitreya/Ajita,Earthly Mithra,Early Buddhism (pre-268 BCE),"Initial appearance in Sutta-nipāta 5.1-3, 4.7",India,Oldest Buddhist scriptures,,,
Miroku (弥勒),"Earthly Mithra, saoshyant",2nd BCE - 2nd CE,Evolution of Maitreya into savior-buddha after contact with Iranian traditions,Central Asia,Maitreya Sutra Trilogy (弥勒三部経),,,
Buddha-Mazda (般若仏),Ahura Mazda,1st BCE,Syncretic divinity with fire halo combining Buddha and Ahura Mazda,"Bactria, Uzbekistan",Archaeological findings at Kara-Tepa cave temples,,,
Amitābha (阿弥陀),Celestial Mithra,1st - 2nd CE,"Sun deity attributes, infinite light","Kushan Empire, Parthia",Greater Sukhāvatīvyūha (大無量寿経),,,
Amitāyus (無量寿),Zurwan,1st - 2nd CE,Deity of infinite time/life,Kushan Empire,Pure Land scriptures,,,
Avalokiteśvara/Kwan-yin (観音),"Sraoša, later Anāhitā",1st - 2nd CE,Compassionate aid deity,"Silk Road, China","Manichaean Hymn Scroll (摩尼教下部讃), Lesser Sukhāvatīvyūha",,,
Mahāsthāmaprāpta (大勢至),Rašnu,1st - 2nd CE,Judge deity,Silk Road,Lesser Sukhāvatīvyūha (阿弥陀経),,,
Mahāvairocana (大日如来),Celestial Mithra,Until 7th CE,"Great Sun Buddha, cosmic illuminator","China, Japan",Dainichi-kyō (大日経),,,
Date,Original Form/Name,Language/Culture,Meaning/Role,Attributes,Region,Evidence/Sources,Related Deities,
c. 3000-1000 BCE,*Teŋri,Proto-Turkic,Sky God,"Eternal blue sky, creator",Central Asia,"Comparative linguistics, Orkhon inscriptions","Tängri, Täri, Tengeri, Tengri",
c. 209 BCE-93 CE,撑犁 (Cheng-li),Xiongnu,Sky God,Celestial ruler,"Mongolia, Northern China",Chinese historical records (Shiji),Tängri,
6th-8th century CE,Тәңре (Täŋre),Old Turkic,"Sky God, Heaven","Supreme deity, creation","Central Asia, Mongolia","Orkhon inscriptions, Turkic texts",Kök Tengri,
6th-13th century CE,ᠲᠩᠷᠢ (Tngri),Mongolic,Sky deity,"Eternal blue sky, supreme ruler","Mongolia, Central Asia",Secret History of the Mongols,Qormusta Tengri,
6th-13th century CE,Тэнгэр (Tenger),Buryat,Sky deity,"Blue sky, divine justice","Baikal region, Siberia","Buryat folklore, shamanic texts",Esege Malan,
6th-13th century CE,Тенгери (Tengeri),Kalmyk,Celestial deity,Upper world ruler,Caspian region,Kalmyk oral traditions,Tsagan Aav,
6th-13th century CE,Таңра (Tangra),Bulgar,Sky God,"Creator, law-giver","Volga region, Eastern Europe","Archaeological findings, inscriptions",Kubar,
7th-13th century CE,Тейри (Teyri),Karachay-Balkar,Sky God,"Justice, cosmic order",North Caucasus,"Folk traditions, epics",Teyri,
8th-13th century CE,Тенгри (Tengri),Khazar,Sky God,Divine ruler,Caspian-Pontic steppe,"Archaeological evidence, Jewish-Khazar correspondence",Influenced by Judaism,
Medieval period,Tangaroa,"Polynesian (Māori, Hawaiian)",Sea God,"Ocean, creation",Polynesia,Linguistic similarities (disputed),"Kanaloa, Tagaloa",
Medieval-modern,Тангара (Tangara),Yakut,Sky deity,"Creator, justice",Siberia,"Olonkho epic, shamanic practices",Ürüng Aÿyy Toyon,
Site,Location,Date,Key Features,Syncretic Elements,,,,
Ai-Khanum,Bactria (Afghanistan),180 BCE-10 CE,Greek-style temple,Zeus-Mithra golden image,,,,
Surya Temples,Northwest India,1st BCE,Solar worship centers,Mihir-Surya with Central Asian clothing,,,,
Kara-Tepa,Uzbekistan,1st CE,Cave temple complex,"Buddha-Mazda with fire halo, Iranian temple layout",,,,
Bamiyan,Afghanistan,4th-5th CE,Two colossal Buddha statues,"East Buddha (Shakyamuni), West Buddha (Maitreya), Mithra mural",,,,
Date,Syncretic Form,Cultural Context,Primary Influences,Attributes,Region,Evidence/Sources,Iconography/Practices,
c. 600-550 BCE,Ahura Mazda,Zoroastrian,Iranian,"Supreme deity, wisdom, light",Persia/Iran,"Avesta, Achaemenid inscriptions","Winged solar disc, fire altars",
c. 563-483 BCE,Buddha (Gautama),Buddhist,Indian,"Enlightenment, spiritual awakening",Northern India,"Pali Canon, Tripitaka","Seated meditation figure, lotus position",
c. 3rd century BCE,Mithra-Buddha,Greco-Buddhist,"Persian, Buddhist, Greek","Solar deity, cosmic order","Bactria, Gandhara","Kushan coins, sculptures","Solar rays, Buddha posture with Mithraic elements",
c. 2nd century BCE,Buddha-Mazda,Kushan Empire,"Buddhist, Zoroastrian",Light of wisdom,Central Asia,"Kushan coins, artistic representations",Buddha figure with flame nimbus,
c. 1st century BCE,Serapis,Hellenistic Egypt,"Egyptian, Greek","Universal deity, fertility","Egypt, Mediterranean","Temple inscriptions, sculptures","Combining Osiris, Apis, Zeus, Helios elements",
1st-3rd century CE,Buddho-Mazdayasnian,Kushan-Sasanian,"Buddhist, Zoroastrian","Divine wisdom, cosmic light","Bactria, Sogdiana","Artistic representations, numismatics",Buddha with solar attributes,
1st-4th century CE,Maitreya-Mithra,Kushan-Sasanian,"Buddhist, Zoroastrian","Future savior, solar symbolism",Central Asia,"Kushan art, inscriptions",Solar imagery with Buddha characteristics,
2nd-4th century CE,Zurvan-Buddha,Sasanian-Buddhist,"Iranian, Buddhist","Time deity, cyclical cosmology","Sogdiana, Bactria","Zurvanite texts, Buddhist art",Time symbolism combined with Buddhist iconography,
3rd-8th century CE,Buddha-Mani,Manichaean,"Buddhist, Zoroastrian, Christian","Light-bringer, wisdom","Central Asia, China","Manichaean texts, Silk Road art","Light symbolism, Buddha-like figures",
3rd-9th century CE,Buddha-Apollo-Mithra,"Kushan, Sogdian","Greek, Persian, Buddhist",Solar wisdom deity,"Gandhara, Bactria","Syncretic art, coins",Solar rays with Buddha posture,
6th-10th century CE,Phags-pa Chenrézik-Tängri,Tibetan-Turkic,"Buddhist, Tengrist","Compassion, celestial deity","Tibet, Mongolia","Tibetan texts, shamanic references","White deity, sky symbolism",
7th-10th century CE,Mazda-Tengri,Sogdian,"Zoroastrian, Turkic",Heavenly wisdom,Central Asia,"Sogdian texts, inscriptions",Sky deity with wisdom attributes,
7th-13th century CE,Burkhan-Buddha,Mongolic-Buddhist,"Buddhist, Tengrist",Enlightened sky deity,Mongolia,"Mongol chronicles, Buddhist texts",Buddha figure with sky attributes,
8th-10th century CE,Nestorian Christ-Buddha,"Nestorian Christian, Buddhist","Christian, Buddhist","Divine savior, wisdom teacher","Central Asia, China","Nestorian steles, Silk Road art",Christ imagery with Buddhist elements,
8th-13th century CE,Allah-Tengri,Muslim Turkic,"Islamic, Tengrist",Monotheistic sky deity,Central Asia,Early Turkic Muslim texts,Abstract celestial deity,
9th-13th century CE,Jewish-Tengri,Khazar,"Jewish, Tengrist",Monotheistic creator,"Khazaria, Pontic steppe","Khazar correspondence, archaeological findings",Abstract sky deity with Jewish elements,
10th-14th century CE,Burkhan-Bakshi,Mongolian Buddhism,"Buddhist, Tengrist, Manichaean","Teacher-savior, wisdom",Mongolia,"Yuan texts, rock inscriptions",Buddha figure with shamanic elements,
Date,Movement/Region,Key Cultures Involved,Major Deities/Concepts,Theological Innovations,Evidence,Modern Descendants,,
3rd-1st century BCE,Greco-Bactrian Kingdom,"Greek, Persian, Indian","Zeus-Mithra-Indra, Athena-Anahita",Hellenistic interpretations of Eastern deities,"Coins, temple remains",Cultural influence in Buddhism,,
1st-3rd century CE,Kushan Empire,"Yuezhi, Indian, Persian","Buddha-Mithra-Mazda, Ardoksho",Solar Buddha concept,"Kushan art, coins",Influenced Mahayana Buddhism,,
2nd-6th century CE,Sogdian Religious Complex,"Sogdian, Persian, Buddhist","Nana, Zurvan, Buddha, Mazda",Mercantile religious syncretism,"Sogdian texts, Afrasiab paintings",Influenced Central Asian Islam,,
3rd-7th century CE,Silk Road Religious Corridor,Multiple cultures,"Buddha, Christ, Mazda, Mani, Tengri",Trade-based religious exchange,"Dunhuang manuscripts, Turfan texts",Various Central Asian traditions,,
6th-10th century CE,Uighur Manichaean State,"Turkic, Sogdian, Chinese","Mani, Buddha, Tengri, Mazda",Turkic Manichaeism,"Uighur manuscripts, cave temples",Influenced later Turkic traditions,,
7th-10th century CE,Tibetan Empire Religious Complex,"Tibetan, Chinese, Indian","Buddha, Bon deities, Tengri",Shamanic-Buddhist synthesis,"Tibetan manuscripts, temple art",Tibetan Buddhism,,
8th-13th century CE,Khazar Religious Syncretism,"Turkic, Jewish, Christian, Muslim","Tengri, Yahweh",Tengri-Yahweh equivalence,"Khazar correspondence, archaeology",Cultural influence in Eastern Europe,,
10th-13th century CE,Mongol Imperial Religion,"Mongolic, Turkic, Chinese, Persian","Tengri, Buddha, Allah, Sky deities",Imperial religious tolerance,"Mongol chronicles, Yuan documents","Mongolian Buddhism, folk traditions",,
13th-15th century CE,Golden Horde Syncretism,"Turkic, Mongolic, Slavic, Persian","Allah-Tengri, Sufi saints",Shamanic-Sufi synthesis,"Archaeology, folk traditions","Volga Tatar traditions, Central Asian Islam",,
Sanskrit & Pāli,Persian,Japanese & Chinese,,,,,,
Amitābha,Celestial Mithra,Amida (阿弥陀),,,,,,
Amitāyus,Zurwan,Muryōju (無量寿),,,,,,
Avalokiteśvara,"Sraoša, Anāhitā",Kannon (観音) / Kwan-yin,,,,,,
Buddha-Mazda,Ahura Mazda (Wurmzd),On-mochi-shi (温勿司),,,,,,
Metteya/Maitreya/Ajita,"Earthly Mithra, saoshyant",Miroku (弥勒) / Mi-lə,,,,,,
Mahāvairocana,Celestial Mithra,"Dainichi (大日), Mitsu (密) / Mi",,,,,,
Mahāsthāmaprāpta,Rašnu,Daiseiši (大勢至),,,,,,
Sanskrit/Pāli Title,Japanese/Chinese Title,Content Relevance to Syncretism,,,,,,
Greater Sukhāvatīvyūha,Dai-Muryōju-kyō (大無量寿経),Shows Amitābha (celestial Mithra) giving teaching to Maitreya (earthly Mithra),,,,,,
Lesser Sukhāvatīvyūha,Amida-kyō (阿弥陀経),"Documents triple-buddha formation: Amitābha, Kwan-yin, Mahāsthāmaprāpta",,,,,,
Amitāyus Meditation Sūtra,Kan-Muryōju-kyō (観無量寿経),Shows triple-buddhas formation in Chinese context,,,,,,
Mahāvairocana Sūtra,Dainichi-kyō (大日経),"Central text of Esoteric Buddhism; no Sanskrit or Tibetan original exists, suggesting Chinese origin",,,,,,
Maitreya Sūtra Trilogy,Miroku-sanbu-kyō (弥勒三部経),Foundational texts of Maitreya cult,,,,,,
Saddharmapundariika-sūtra,Hoke-kyō (法華経),"Represents Maitreya as an Iranian ""mir"" figure",,,,,,
Sūtra for Wise and Folly,Kengu-kyō (賢愚経),Contains birth story of Maitreya paralleling Jesus narrative; compiled in Khotan (445 CE),,,,,,
Manichaean Hymn Scroll,Mani-kyō kabusan (摩尼教下部讃),Identifies Sraoša with Kwan-yin (Avalokiteśvara),,,,,,
Original Term,Derived/Related Terms,Linguistic Process,Cultures,Semantic Field,,,,
*Teŋri (Proto-Turkic),"Tengri, Tängri, Tangra, Tangara",Sound preservation,"Turkic, Mongolic",Sky deity,,,,
*Bud- (Indo-Iranian root),"Buddha, But, Burkhan, Burxan","Borrowing, adaptation","Indo-Iranian, Turkic, Mongolic",Awakened one,,,,
*Mazda (Avestan),"Mazda, Ormuzd, Hormizd","Sound shift, contraction","Iranian, Sogdian",Wisdom deity,,,,
*Teŋri + Bur(khan),Tenger Burkhan,Compound formation,Mongolic,Sky Buddha,,,,
*Mazda + Teŋri,Mazda-Tengri,Compound formation,Sogdian-Turkic,Wise sky deity,,,,
*Baga (Old Persian),"Bog, Bey, Bay",Semantic shift,"Iranian, Slavic, Turkic","God, lord",,,,
*Khuda (Persian),"Quday, Khuday",Borrowing,"Persian, Turkic",God,,,,
*Deiwos (PIE),"Deva, Div, Daeva",Sound shift,Indo-Iranian,Celestial deity,,,,
*Mithra/Mihr/Mitr,"Miroku (弥勒), Mitsu (密), Mi-lə",Phonetic adaptation,Iranian to East Asian,Solar/contract deity,,,,
*Mazda,On-mochi-shi (温勿司),Phonetic translation,Iranian to Chinese,Wisdom deity,,,,
Date (Approx.),Event/Development,Key Figures/Artifacts,Sources & Evidence,Notes,,,,
Pre-1st c. BCE,Early conceptualization of Amitābha (無量光仏) in Gandhāran Buddhism.,- Phonetic evolution: Amidāha (Gāndhārī) → Amitābha (Sanskrit),"Karashima (2009, 2010, 2014)",Middle Indic form precedes Sanskrit.,,,,
1st–3rd c. CE,"Emergence of Gandhāran Amida Triad iconography:
- Amitābha (with double halo, dharmacakramudrā)
- Amitāyus (without mandorla, bare shoulder)","- Fig. 1: Preaching Buddha (Tokyo Ancient Orient Museum)
- Fig. 2: Peshawar Museum triad
- Fig. 3: Brough’s inscribed triad (""amridaha"")","Tanabe (2019, 2020, 2021a); Brough (1982); Salomon & Schopen (2002)",Double halo = Amitābha (light); no halo = Amitāyus (life).,,,,
2nd–3rd c. CE,"Attendant Bodhisattvas:
- Avalokiteśvara (観音菩薩)
- Mahāsthāmaprāpta (勢至菩薩)
- Also Maitreya (with kuṇḍikā) & Mañjuśrī (with book)","- Fig. 4: Bodhisattva pair
- Fig. 5: Mañjuśrī with scroll",de Mallmann (1964); Quagliotti (1990); Miyaji (2008),Original attendants in Gandhāran art.,,,,
3rd–4th c. CE,"Textual Correlations:
- Larger Sukhāvatīvyūha references
- Chinese translations (e.g., Dà āmituó jīng)","- T.12.no.362 (大阿弥陀経)
- T.12.no.361 (無量清浄平等覚経)","Fujita (1970, 2007); Nattier (2006)",Two groups: Amitābha (light) vs. Amitāyus (life) devotees.,,,,
20th–21st c. CE,"Modern Scholarship:
- Typological classification
- Phonological studies (Gāndhārī → Sanskrit)","- Karashima’s linguistic analysis
- Tanabe’s iconographic studies","Karashima (1999, 2014); Tanabe (2020)",Debate on Amitābha vs. Amitāyus precedence.,,,,
Period,Development,Key Evidence,Sources & References,Significance,,,,
Pre-1st c. BCE,Proto-Amitābha concept in early Gandhāran Buddhism.,"- Gāndhārī ""Amidāha"" (Middle Indic) precedes Sanskrit ""Amitābha.""","Karashima (2009, 2014); Nattier (2006)",Shows linguistic shift from Prakrit to Sanskrit.,,,,
1st–2nd c. CE,Earliest Amida Buddha images in Gandhāra:,"- Double-haloed Buddha (Fig. 1, Tokyo Ancient Orient Museum).","Tanabe (2019, 2020); Foucher (1917)",Represents Amitābha (Infinite Light) with mandorla (visualized radiance).,,,,
,"- Dharmacakramudrā posture, lotus throne, saṃghāṭī robe.",- Mahāprajñāpāramitopadeśa (T.25.1509) describes vyāmaprabhā (6-foot light rays).,Lamotte (1944); Fujita (1985),Links iconography to Mahāyāna sūtras.,,,,
2nd–3rd c. CE,Amitāyus (Infinite Life) variant emerges:,"- No mandorla, bare right shoulder (Fig. 2, Peshawar Museum).",Tanabe (2020); Fujita (1970),Reflects doctrinal split: Amitābha (light) vs. Amitāyus (life) devotees.,,,,
,"- Kharoṣṭhī inscription ""amridaha"" (Brough’s triad, Fig. 3).",- Phonetic shift: Amidāha → Amidāyu → Amitāyus.,Karashima (2009); Brough (1982); Salomon & Schopen (2002),Confirms Gāndhārī linguistic evolution.,,,,
2nd–4th c. CE,Attendant Bodhisattvas standardized:,- Avalokiteśvara (観音) & Mahāsthāmaprāpta (勢至) as primary pair.,"Larger Sukhāvatīvyūha; Chinese translations (T.12.362, T.12.361).",Core of later Pure Land triads.,,,,
,- Maitreya (with kuṇḍikā) and Mañjuśrī (with book) also appear.,- Fig. 4 (bodhisattva pair); Fig. 5 (Mañjuśrī).,de Mallmann (1964); Quagliotti (1990); Miyaji (2008),Shows syncretism with Brahmanic/Mahāyāna elements.,,,,
3rd–5th c. CE,Textual Corroboration:,"- Dà āmituó jīng (大阿弥陀経, T.12.362) describes Amida’s attendants.",Fujita (1970); Nattier (2007a),Links art to early Chinese translations of Gāndhārī texts.,,,,
