Italy/France,,,,14th Cent.,The Key of Solomon (Clavicula Salomonis),Proto-grimoire of ceremonial magic.,,
Italy,,,,14th Cent.,Cecco d’Ascoli (Necromancer),Burned for demonic magic (1327).,,
Germany,,,,15th Cent.,Johannes Hartlieb (Book of Forbidden Arts),Classified necromancy as heresy.,,
France,,,,15th Cent.,Ars Notoria (Solomonic),Angelic prayers for knowledge.,,
Germany,,,,1486.0,Malleus Maleficarum (Kramer & Sprenger),Witch-hunting manual linking magic to demons.,,
Germany/France,,,,16th Cent.,"Heinrich Cornelius Agrippa (Three Books of Occult Philosophy, 1531)","Unified Kabbalah, hermeticism, angel magic.",,
Switzerland,,,,16th Cent.,Paracelsus (Archidoxes of Magic),"Alchemy, elemental spirits.",,
Netherlands,,,,1577.0,Johann Weyer (De Praestigiis Daemonum),Skeptical of witch trials; demonology.,,
England,,,,1583.0,Reginald Scot (Discoverie of Witchcraft),Debunked witchcraft; included grimoire texts.,,
Unknown (Europe),,,,17th Cent.,Lemegeton (Lesser Key of Solomon),"Goetia (72 demons), Theurgia-Goetia (angel/demon mix).",,
England,,,,17th Cent.,John Dee & Edward Kelley (Enochian Magic),"Angelic communications, Enochian language.",,
France,,,,17th Cent.,"Eliphas Levi (Dogme et Rituel, 1854)",Revival of ceremonial magic.,,
France,,,,18th Cent.,Grimorium Verum,"Explicit demonic pacts, ""Red Dragon"" tradition.",,
UK/Egypt,,,,19th Cent.,Aleister Crowley (The Book of the Law),"Thelema, modern occultism.",,
,,,,Key Angelologies & Grimoires:,,,,
,,,,Jewish Angelology:,,,,
,,,,,,,,
,,,,"Sefer Raziel HaMalakh (Middle Ages) – Angelic names, planetary magic.",,,,
,,,,,,,,
,,,,"Zohar (13th cent., Spain) – Kabbalistic angelic hierarchies.",,,,
,,,,,,,,
,,,,Christian Angel Compendiums:,,,,
,,,,,,,,
,,,,"De Coelesti Hierarchia (Pseudo-Dionysius, 5th cent.) – 9 choirs of angels.",,,,
,,,,,,,,
,,,,Liber Juratus – Angelic seals for protection.,,,,
,,,,,,,,
,,,,Islamic Angel/Demon Texts:,,,,
,,,,,,,,
,,,,Kitab al-Mandal al-Sulaymani (Arabic Solomonic magic).,,,,
,,,,Notable Practitioners by Type:,,,,
Location,,,,Category,Name,Contribution,,
Italy,,,,Necromancer,Cecco d’Ascoli,Burned for demonic astrology.,,
Switzerland,,,,Alchemist,Paracelsus,"Spagyrics, elemental spirits.",,
Sicily,,,,Wizard,Michael Scot,Translated Arabic necromancy.,,
England,,,,Occultist,John Dee,Enochian angel magic.,,
France?,,,,Grimoire Author,"""Honorius of Thebes""",Liber Juratus (sworn book).,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,Medieval Bestiaries featuring magical creatures.,,,,
,,,,,,,,
,,,,Additional key figures in astrological magic.,,,,
,,,,"Complete Timeline of Medieval Magic, Demonology, Necromancy, Grimoires, Angelology, Astral Magic & Bestiaries",,,,
Location,,,,Period,Event/Work/Person,Description,,
Persia,,,,Pre-5th Cent. BCE,Zoroastrianism (Avesta),Dualistic cosmology influencing angel/demon lore.,,
Egypt/Greece,,,,4th Cent. BCE,Greek Magical Papyri (PGM),"Astrological invocations, planetary demons.",,
Israel,,,,1st Cent. CE,Testament of Solomon,Early angel/demon hierarchy; astral seals.,,
Alexandria,,,,2nd Cent. CE,Ptolemy (Tetrabiblos),Foundational astrological magic.,,
Egypt,,,,3rd Cent. CE,Hermes Trismegistus (Corpus Hermeticum),Astral-theurgic philosophy.,,
Byzantium,,,,6th Cent.,Cyranides,"Magical herbs, stones, and astral correspondences.",,
Iraq → Spain,,,,8th–9th Cent.,Picatrix (Ghāyat al-Ḥakīm),"Most influential Arabic astral magic text—talismans, planetary spirits.",,
Baghdad,,,,9th Cent.,Abu Ma’shar al-Balkhi (On the Great Conjunctions),Astrology & magic linking celestial events to demons/angels.,,
Arabia,,,,9th Cent.,Kitab al-Khawass (Book of Properties),Astrological talismans attributed to Apollonius of Tyana.,,
Spain,,,,10th Cent.,Maslama al-Majriti (Occultist),Revised Picatrix; spread Arabic astral magic in Europe.,,
Germany,,,,12th Cent.,Hildegard of Bingen (Physica),Mystical cosmology; included magical creatures.,,
Italy,,,,12th Cent.,Liber Hermetis (Latin),"Astrological magic, 36 decans (Egyptian star-demons).",,
Sicily,,,,13th Cent.,Michael Scot (Liber Introductorius),Translated Arabic astral magic (inPicatrix).,,
Iraq → Europe,,,,13th Cent.,De Radiis Stellarum (Al-Kindi),Theory of stellar rays influencing magic.,,
Italy/France,,,,14th Cent.,The Key of Solomon,Planetary pentacles & angelic astrology.,,
Italy,,,,14th Cent.,Cecco d’Ascoli (L’Acerba),Burned for astrological necromancy (1327).,,
Switzerland,,,,15th Cent.,Arbatel de Magia Veterum,Planetary spirits (Olympian angels).,,
Germany,,,,16th Cent.,Cornelius Agrippa (Three Books of Occult Philosophy),"Synthesized astral magic, Kabbalah, and Hermeticism.",,
Rome,,,,17th Cent.,Athanasius Kircher (Oedipus Aegyptiacus),Astro-magical Egyptology.,,
,,,,Medieval Bestiaries with Magical Creatures,,,,
Magical Creatures,,,,Bestiary,Location,Occult Significance,,
"Phoenix, Basilisk, Unicorn",,,,Physiologus (2nd–4th Cent.),Alexandria,Christian-allegorical magic.,,
"Dragon, Mandrake, Manticore",,,,Aberdeen Bestiary (12th Cent.),England,Tied to necromantic lore.,,
"Werewolves, Salamanders",,,,De Bestiis et Aliis Rebus (13th Cent.),France,Demonic associations.,,
Cynocephali (dogheaded men),,,,Liber Monstrorum (9th Cent.),England,Linked to necromantic hybrids.,,
,,,,Key Arabic Astral Magic Texts,,,,
,,,,,,,,
,,,,"Picatrix (Ghāyat al-Ḥakīm) – Planetary spirits, talismans, and lunar mansions.",,,,
,,,,,,,,
,,,,De Radiis Stellarum (Al-Kindi) – Celestial rays as magical forces.,,,,
,,,,,,,,
,,,,Kitab al-Khawass – Talismanic magic attributed to Hermes.,,,,
,,,,Astrological Magic Subtypes,,,,
,,,,,,,,
,,,,Planetary Magic (Sun/Mars/Jupiter etspirits),,,,
,,,,,,,,
,,,,Zodiacal Magic (Decanic demons/angels),,,,
,,,,,,,,
,,,,Lunar Mansions (28 Arabic star stations),,,,
,,,,,,,,
,,,,,,,,
,,,,"Timeline of Medieval Magic, Demonology, Necromancy & Grimoires",,,,
Description,,,,Period,Event/Work/Person,,,
Early dualistic concepts of good vs. evil spirits influencing later demonology.,,,,Pre-5th Century BCE,Zoroastrianism (Avestan texts),,,
"Collection of spells, invocations, and rituals blending Egyptian, Greek, and Jewish magic.",,,,4th Century BCE,Greek Magical Papyri (PGM),,,
"Pseudepigraphal text describing Solomon’s control over demons, foundational for demonology.",,,,1st Century CE,Testament of Solomon,,,
"Esoteric Christian magic, demonology, and celestial hierarchies.",,,,2nd Century CE,"Gnostic Texts (e.g., Pistis Sophia)",,,
"Condemned magic as demonic, shaping Christian views on necromancy and witchcraft.",,,,4th-5th Century,St. Augustine’s De Doctrina Christiana,,,
"Blend of herbal, astral, and demonic magic.",,,,6th Century,Cyranides (Greco-Egyptian grimoire),,,
"Translated into Latin; astral magic, talismans, and planetary demons.",,,,8th-9th Century,Picatrix (Arabic: Ghayat al-Hakim),,,
"One of the oldest surviving medieval grimoires, angelic and demonic magic.",,,,1000.0,Sworn Book of Honorius (Liber Juratus),,,
Theologian who denounced necromancy as heresy.,,,,12th Century,Hugh of St. Victor’s condemnations,,,
Natural magic vs. demonic magic debates.,,,,13th Century,Albertus Magnus (De Mirabilibus Mundi),,,
"Distinguishes heresy from magic, but allows Inquisition to investigate sorcery.",,,,1258.0,Pope Alexander IV issues a bull,,,
Proto,,"grimoire of ceremonial magic, attributed to King Solomon.",,14th Century,The Key of Solomon (Clavicula Salomonis),,,
"Declares invocation of demons heretical, leading to witch trials.",,,,1326.0,Pope John XXII’s Super illius specula,,,
"Classifies necromancy, divination, and black magic as evil.",,,,15th Century,Johannes Hartlieb (Book of All Forbidden Arts),,,
Infamous witch,,hunting manual linking magic to demonic pacts.,,1486.0,Heinrich Kramer’s Malleus Maleficarum,,,
"Synthesizes magic, Kabbalah, and demonology.",,,,16th Century,Cornelius Agrippa’s Three Books of Occult Philosophy (1531),,,
"Argues witches are deluded, not truly in league with demons.",,,,1577.0,Johann Weyer’s De Praestigiis Daemonum,,,
Skeptical of demonology; includes early grimoire material.,,,,1583.0,Reginald Scot’s Discoverie of Witchcraft,,,
"Compilation of demonic hierarchies (Goetia, Theurgia, etc.).",,,,17th Century,Lemegeton (Lesser Key of Solomon),,,
Detailed demonology and witchcraft cases.,,,,1631.0,Francesco Maria Guazzo’s Compendium Maleficarum,,,
Red Dragon grimoires with explicit demonic pacts.,,,,18th Century,Grimorium Verum & Grand Grimoire,,,
"Revival of ceremonial magic, influencing modern occultism.",,,,19th Century,Éliphas Lévi’s Dogme et Rituel de la Haute Magie (1854),,,
,,,,Key Themes & Developments:,,,,
,,,,"Early Influences: Greco-Egyptian magic, Jewish mysticism (Kabbalah), and Christian demonization.",,,,
,,,,,,,,
,,,,"Medieval Shift: From folk magic to systematized demonology (Solomonic tradition, necromantic manuals).",,,,
,,,,,,,,
,,,,Witch Trials: 15th–17th centuries saw magic criminalized as heresy via texts like Malleus Maleficarum.,,,,
,,,,,,,,
,,,,Grimoires: Evolved from Arabic astral magic (Picatrix) to explicit demonic pacts (Grand Grimoire).,,,,
