Name,Period,Teacher,School,School 2,Notes,Gender
Ibn Bajja,c. 1085–1138 CE,,Islamic Platonist,Peripatetic,Andalusian philosopher; known in Latin West as Avempace; wrote Governance of the Solitary (Tadbir al-Mutawahhid); influenced Averroes and Maimonides; developed theory of the solitary philosopher achieving contemplative union with the Active Intellect without religious community,
Ibn Tufayl,c. 1105–1185 CE,Ibn Bajja,Islamic Platonist,,"Andalusian philosopher and physician; wrote Hayy ibn Yaqzan, the first philosophical novel; depicts a child raised in isolation achieving philosophical enlightenment through reason alone; synthesised Avicenna, Sufism, and Neoplatonism; his work influenced Spinoza and Locke",
Ichthyas,,Euclid of Megara,Megarian,,,
Idomeneus of Lampsacus,,Epicurus,Epicurean,,,
Ion of Chios,,,Pythagorean,,,
Iris Murdoch,1919–1999 CE,,Modern Platonist,,Irish-British philosopher and novelist; explicit Platonist; argued against linguistic philosophy and for a return to the Good as the central concept of moral philosophy; wrote The Sovereignty of Good and The Fire and the Sun (on Plato's theory of art); Platonic love as selfless attention to reality,female
Isaac Israeli ben Solomon,c. 832–932 CE,,Neoplatonist,Jewish,Egyptian-born Jewish physician and philosopher; wrote Book of Definitions and Book on the Elements; first systematic Jewish Neoplatonist; transmitted Neoplatonic emanation theory into Jewish philosophy; influenced both Jewish and Islamic Scholasticism,
Isidore of Alexandria,fl. c. 475,Proclus Lycaeus; Marinus of Neapolis,Neoplatonist,Platonic,,
Jan Łukasiewicz,1878–1956 CE,,Analytic Platonist,,Polish logician; invented Polish notation and developed multi-valued logics; Platonist about logical laws,
Jason of Nysa,,Posidonius,Stoic,,,
John Philoponus,c. 490–570 CE,Ammonius Hermiae,Neoplatonist,Peripatetic,Christian Neoplatonist; wrote commentaries on Aristotle; challenged Aristotle's doctrine of the eternity of the world; precursor of the cosmological argument,
John Scotus Eriugena,c. 815–877 CE,,Medieval Platonist,,Irish theologian and Neoplatonist; translated Pseudo-Dionysius into Latin; wrote Periphyseon (On the Division of Nature); most original Western philosopher of the early medieval period,
Josiah Royce,1855–1916 CE,,Modern Platonist,Idealist,American idealist philosopher; taught at Harvard; wrote The World and the Individual; absolute idealism with Platonic influences,
Julian the Apostate,331–363 CE,Maximus of Ephesus; Iamblichus (writings),Neoplatonist,,Roman emperor (361–363 CE); Neoplatonist philosopher; attempted to revive paganism; wrote Hymn to King Helios and Against the Galileans; patron of Sallustius,
Julius Evola,1898–1974 CE,,Continental Platonist,Traditionalist,"Italian philosopher and esotericist; synthesised Neoplatonism, Hermeticism, and Tantra in a Traditionalist framework; wrote Revolt Against the Modern World",
Justin Martyr,c. 100–165 CE,,Middle Platonist,Christian,Christian apologist; studied Middle Platonism before conversion; employed Platonic philosophy in defence of Christianity; author of two Apologies and the Dialogue with Trypho,
Kurt Gödel,1906–1978 CE,,Analytic Platonist,,Austrian-American logician; proved the incompleteness theorems; explicit mathematical Platonist who believed mathematical objects are mind-independently real,
Lacydes of Cyrene,before 241 – c. 205 BC,Arcesilaus,Middle Academy,Platonic,,
Lastheneia of Mantinea,fl. 4th century BC,Plato,Academy,Platonic,,female
Leo Strauss,1899–1973 CE,Edmund Husserl; Hermann Cohen,Continental Platonist,Political,German-American political philosopher; advocated return to classical political philosophy; influential on neoconservative thought; wrote Natural Right and History,
Leonteus of Lampsacus,,Epicurus,Epicurean,,,
Leontion,,Epicurus,Epicurean,,,female
Leucippus,,Parmenides; Zeno of Elea (influence),"Presocratic, Atomist",,,
Longinus,c. 213–273 CE,Ammonius Saccas,Middle Platonist,Neoplatonist,Philosopher and rhetorician; advisor to Queen Zenobia of Palmyra; teacher of Porphyry before Plotinus; possibly the author of On the Sublime,
Lucius Annaeus Cornutus,c. 20–65 CE,,Stoic,,"Roman Stoic philosopher; freedman of the Seneca family; teacher of the poets Persius and Lucan; wrote Theologiae Graecae Compendium, a Stoic allegorical interpretation of Greek mythology; exiled by Nero",
Lucretius,c. 99–55 BCE,Epicurus (intellectual heir),Epicurean,,"Roman Epicurean poet; author of De Rerum Natura, the most systematic exposition of Epicurean physics and ethics in Latin",
Lyco of Iasos,,,Pythagorean,,,
Lyco of Troas,,Strato of Lampsacus,Peripatetic,,,
Lycophron,,Gorgias,Sophist,,,
Lysis of Taras,,Pythagoras,Pythagorean,,,
Macrina the Younger,c. 330–379 CE,Gregory of Nazianzus (spiritual direction),Neoplatonist,Christian,"Elder sister and teacher of Gregory of Nyssa; founded a monastic community on the family estate; Gregory cast her as the lead philosopher in his dialogue On the Soul and the Resurrection, modelled on Plato's Phaedo; the first woman in Christian tradition clearly depicted as a philosopher",female
Maimonides,1135–1204 CE,Ibn Rushd (indirect influence),Jewish,Aristotelian,Full name Moses ben Maimon or Rambam; greatest medieval Jewish philosopher; synthesised Aristotelian rationalism with Jewish theology in The Guide for the Perplexed; also wrote the Mishneh Torah; his negative theology influenced both Jewish and Christian Scholasticism,
Mani,216–274 CE,Baptists (early community),Manichaean,,"Founder of Manichaeism; synthesised Zoroastrian dualism, Buddhist ethics, and Christian Gnostic elements into a world religion; called himself the 'Seal of the Prophets'; his religion spread from Spain to China; executed by the Sasanian king Bahram I",
Marcus Aurelius,121–180 CE,Fronto; Junius Rusticus; Apollonius of Chalcedon,Stoic,,Roman emperor (161–180 CE); Stoic philosopher; author of the Meditations; last of the Five Good Emperors,
Marguerite Porete,c. 1250–1310 CE,,Mystical,,French Beguine mystic; wrote The Mirror of Simple Souls arguing for the annihilation of the will in union with God; condemned as heretical and burned at the stake in Paris 1310; her work circulated anonymously and influenced Meister Eckhart and the Rhineland mystics,female
Marinus of Neapolis,born c. 450,Proclus Lycaeus,Neoplatonist,Platonic,,
Marsilio Ficino,1433–1499 CE,Cosimo de' Medici (patron),Florentine Academy,Neoplatonist,Head of the Platonic Academy of Florence; translated the complete works of Plato and Plotinus into Latin; coined 'Platonic love'; wrote Theologia Platonica,
Maximus of Ephesus,died 372,Aedesius,Neoplatonist,Platonic,,
Maximus of Tyre,fl. 2nd century,,Middle Platonist,Platonic,,
Mechthild of Magdeburg,c. 1207–1282 CE,,Mystical,,"German Beguine mystic; wrote The Flowing Light of the Godhead, one of the first mystical works in the German vernacular; bridal mysticism and direct union with the divine; influenced by Neoplatonism through Pseudo-Dionysius; influenced Dante",female
Meister Eckhart,c. 1260–1328 CE,,Medieval Platonist,Mystical,Dominican mystic and theologian; synthesised Neoplatonism with Christian theology; his mystical writings were condemned posthumously by Pope John XXII,
Meleager of Gadara,,,Cynic,,,
Melissus of Samos,,Parmenides,"Presocratic, Eleatic",,,
Menedemus,,Phaedo of Elis; Stilpo,Eretrian,,,
Menedemus of Pyrrha,fl. c. 350 BC,Plato,Academy,Platonic,,
Menedemus the Cynic,,,Cynic,,,
Menippus,,Crates of Thebes,Cynic,,,
Metrocles,,Crates of Thebes (brother-in-law),Cynic,,,
Metrodorus of Athens,,,,,,
Metrodorus of Chios,,Democritus,Atomist,,,
Metrodorus of Cos,,,Pythagorean,,,
Metrodorus of Lampsacus (the elder),,Anaxagoras,Presocratic,,,
Metrodorus of Lampsacus (the younger),,Epicurus,Epicurean,,,
Metrodorus of Stratonicea,fl. 2nd century BC,Carneades of Carnea,New Academy,Platonic,,
Michael Psellus,1017–1078 CE,Various,Neoplatonist,Byzantine,Byzantine scholar and statesman; revived the study of Plato and Neoplatonism in Constantinople after centuries of neglect; wrote De Omnifaria Doctrina and commentaries on Aristotle; drew on Proclus and Iamblichus for his theurgical interests; court intellectual under multiple emperors,
Mnesarchus of Athens,,Panaetius,Stoic,,,
Moderatus of Gades,,,Neopythagorean,,,
Monimus,,Diogenes of Sinope,Cynic,,,
Musonius Rufus,c. 20–101 CE,,Stoic,,Roman Stoic philosopher; teacher of Epictetus and Dio Chrysostom; exiled twice by Nero and Vespasian; advocated equal education for women,
Myia,,Pythagoras (father),Pythagorean,,,female
Nausiphanes,,Democritus; Pyrrho,Atomist,,,
Nicarete of Megara,,Stilpo,Megarian,,,female
Nicholas of Cusa,1401–1464 CE,Heymeric de Campo,Neoplatonist,Renaissance Platonist,"German cardinal, mathematician, and philosopher; wrote De Docta Ignorantia (On Learned Ignorance); developed the doctrine of coincidentia oppositorum (coincidence of opposites); precursor of Copernican cosmology and Reformation thought",
Nicolaus of Damascus,,,,,,
Nicomachus (son of Aristotle),,Aristotle (father),Peripatetic,,,
Nicomachus of Gerasa,,,Neopythagorean,,,
Numenius of Apamea,fl. c. 275,,Middle Platonist,Platonic,,
Nymphidianus of Smyrna,fl. c. 360,Aedesius,Neoplatonist,Platonic,,
Ocellus Lucanus,,Pythagoras (school),Pythagorean,,,
Oenomaus of Gadara,,,Cynic,,,
Olympiodorus the Elder,,,Peripatetic,,,
Olympiodorus the Younger,c. 495 – 570,Ammonius Hermiae,Neoplatonist,Platonic,,
Onasander,fl. 1st century,,Middle Platonist,Platonic,,
Onatas,,,Pythagorean,,,
Onesicritus of Astypalaea,fl. c. 325 BCE,Diogenes of Sinope,Cynic,,Cynic philosopher and admiral in Alexander the Great's fleet; recorded the gymnosophists (Indian naked philosophers) he met in the Punjab; wrote How Alexander Was Educated; conflated Cynic and Indian asceticism,
Origen,c. 184 – c. 253,Ammonius Saccos; Pantaenus,Neoplatonist,Platonic,,
Origen the Pagan,fl. c. 250,Ammonius Saccos,Middle Platonist,Platonic,,
Panaetius,,Diogenes of Babylon; Crates of Mallus; Antipater of Tarsus,Stoic,,,
Pancrates of Athens,,,Cynic,,,
Panthoides,,Eubulides,Megarian,,,
Parmenides of Elea,,Xenophanes of Colophon (attributed),"Presocratic, Eleatic",,"held that the only thing that exists is being itself; teacher of Zeno of 
Elea",
Pasicles of Thebes,,Euclid of Megara,Megarian,,,
Patro the Epicurean,,,Epicurean,,,
Paul of Venice,1369–1429 CE,,Medieval Platonist,Augustinian,Augustinian philosopher; wrote Summa Philosophiae Naturalis; important transmitter of Averroist and Platonic ideas in northern Italy,
Penelope Maddy,born 1950 CE,,Analytic Platonist,,American philosopher of mathematics; developed set-theoretic naturalism; wrote Realism in Mathematics and Second Philosophy,female
Peregrinus Proteus,,Agathobulus,Cynic,,,
Perictione I,fl. 5th century BCE,,Pythagorean,,Pythagorean philosopher; mother of Plato; attributed author of On the Harmony of Women and On Wisdom; argued for rational self-discipline as the foundation of womanly virtue,female
Perictione II,fl. 3rd century BCE,,Pythagorean,,"Later Pythagorean philosopher (distinct from Plato's mother); wrote On Wisdom, a Neopythagorean text arguing that philosophy is the way to contemplate god and all things",female
Persaeus,,Zeno of Citium,Stoic,,,
Peter Abelard,1079–1142 CE,Roscelin; William of Champeaux,Medieval Platonist,Scholastic,French philosopher and theologian; pioneer of scholastic method; developed conceptualism on universals; known also for his relationship with Héloïse,
Phaedo of Elis,,Socrates,Eretrian,,"Originally founded the School of Elis; it was later transferred to Eretria 
by his pupil Menedemus.",
Phaedrus,,Epicurus; Philo of Larissa (lectures attended),Epicurean,,,
Phanias of Eresus,,Aristotle,Peripatetic,,,
Phanto of Phlius,,,Pythagorean,,,
Philip of Opus,fl. 4th century BC,Plato,Academy,Platonic,,
Philiscus of Aegina,,Diogenes of Sinope,Cynic,,,
Philiscus of Thessaly,,,Sophist,,,
Philo of Alexandria,20 BC – 50 AD,,Middle Platonist,Platonic,,
Philo of Larissa,159/158 BC – 84/83 BC,Clitomachus,New Academy,Platonic,,
Philo the Dialectician,,Diodorus Cronus,Megarian,,,
Philodemus,,Zeno of Sidon,Epicurean,,,
Philolaus,,Pythagoras (school),Pythagorean,,,
Philonides of Laodicea,,Diogenes of Babylon,Epicurean,,,
Philostratus,,,Sophist,,,
Phintys,,Pythagoras (school),Pythagorean,,,female
Plato,428/427 BC – 348/347 BC,Socrates; Cratylus; Pythagoreanism (influence),Academy,Platonic,,
Plethon,c. 1355–1452 CE,,Florentine Academy,Neoplatonist,Byzantine Platonist; sparked the Italian Renaissance revival of Plato; attended the Council of Florence; proposed replacing Christianity with a revived Platonic paganism,
Plotinus,c. 204 – 270,Ammonius Saccos,Neoplatonist,Platonic,,
Plutarch,c. 46 – 120,Ammonius of Athens,Middle Platonist,Platonic,,
Plutarch of Athens,c. 350 – 430,Syrianus (student); taught by own father,Neoplatonist,Platonic,,
Polemarchus,,,,,,
Polemon,before 314 BC – 270/269 BC,Xenocrates of Chalcedon,Academy,Platonic,,
Polemon of Laodicea,,,Sophist,,,
Polus,,Gorgias,,,,
Polyaenus of Lampsacus,,Epicurus,Epicurean,,,
Polystratus,,Hermarchus,Epicurean,,,
Porphyry of Tyre,234 – c. 305,Plotinus; Longinus,Neoplatonist,Platonic,,
Posidonius,,Panaetius,Stoic,,,
Potamo of Alexandria,,,Eclecticism,,,
Praxiphanes,,Theophrastus,Peripatetic,,,
Priscian of Lydia,fl. c. 550,Damascius; Simplicius,Neoplatonist,Platonic,,
Priscus of Epirus,c. 305 – c. 395,Aedesius,Neoplatonist,Platonic,,
Proclus Lycaeus,412 – 485,Plutarch of Athens; Syrianus,Neoplatonist,Platonic,,
Proclus Mallotes,,,Stoic,,,
Proclus of Laodicea,,,,,,
Prodicus,,,Sophist,,,
Protagoras,,Democritus (attributed),Sophist,,,
Pseudo-Dionysius the Areopagite,fl. 500,influenced by Proclus Lycaeus (writings),Neoplatonist,Platonic,,
Ptolemaïs of Cyrene,fl. 1st century CE,,Neopythagorean,,Female Pythagorean music theorist; wrote Pythagorean Principles of Music (cited by Porphyry in his Commentary on Ptolemy's Harmonics); synthesised Pythagorean and Aristoxenian theories of musical proportion,female
Ptolemy-el-Garib,,,Peripatetic,,,
Publius Nigidius Figulus,c. 100–45 BCE,,Neopythagorean,,"Roman senator and polymath; described by Cicero as the foremost scholar after Varro; revived Pythagoreanism in Rome; wrote on theology, augury, grammar, and natural science; companion of Caesar before falling from favour; died in exile",
Pyrrho,,Bryson of Achaea; Anaxarchus (companion of Alexander),Pyrrhonist,,credited as being the first skeptic philosopher,
Pythagoras,,Pherecydes of Syros; Thales (tradition),Pythagorean,,,
Python of Aenus,fl. 4th century BC,Plato,Academy,Platonic,,
Ralph Cudworth,1617–1688 CE,,Cambridge Platonist,,English philosopher; leader of the Cambridge Platonists; wrote The True Intellectual System of the Universe defending Platonic theism against materialism,
Roderick Chisholm,1916–1999 CE,,Analytic Platonist,,American philosopher; specialist in epistemology and metaphysics; defended Platonic realism about properties and propositions,
Sallustius,,Julian the Apostate (patron); influenced by Iamblichus,Neoplatonic,,,
Sallustius of Emesa,,,Cynic,,,
Satyrus,,,Peripatetic,,,
Secundus the Silent,,,Cynic,,,
Seneca the Younger,c. 4 BCE–65 CE,Attalus; Sotion; Papirius Fabianus,Stoic,,Roman statesman and playwright; wrote Letters to Lucilius and the Moral Essays; tutor to Nero; forced to commit suicide,
Severus,fl. 2nd century CE,,Middle Platonist,,Middle Platonist commentator; wrote on Plato's Timaeus; cited by Proclus; held an intermediate position between Albinus and Numenius on the interpretation of the Demiurge,
Sextus Empiricus,,,Pyrrhonist,,,
Sextus of Chaeronea,,Plutarch (uncle),,,,
Simmias of Thebes,,Philolaus; then Socrates,Pythagorean,,,
Simon Magus,fl. c. 35–65 CE,John the Baptist (tradition),Gnostic,,Samaritan proto-Gnostic; considered by early church fathers the father of all heresy; claimed divine status; his follower Menander developed his ideas; the simony of purchasing spiritual gifts is named after him; Acts 8:9–24,
Simon the Shoemaker,,Socrates,Socratic,,,
Simone Weil,1909–1943 CE,,Modern Platonist,,French philosopher and mystic; explicit Platonist who saw Plato as a proto-Christian; wrote Waiting for God and The Need for Roots; developed a spirituality of affliction (malheur) and decreation (kenotic union); also wrote brilliant political philosophy; died of self-imposed deprivation during WWII,female
Simplicius of Cilicia,c. 490 – c. 560,Ammonius Hermiae; Damascius,Neoplatonist,Platonic,,
Siro,,,Epicurean,,,
Socrates,,Archelaus; Diotima of Mantinea (tradition); Prodicus,Socratic,,"considered one of the founders of Western philosophy; credited as being the 
first moral philosopher",
Solomon ibn Gabirol,c. 1021–1058 CE,,Neoplatonist,Jewish,"Andalusian Jewish philosopher and poet; known in the Latin West as Avicebron; wrote Fons Vitae (Source of Life) in Arabic, translated into Latin and widely read by Scholastics; Neoplatonist theory of matter and form; also wrote the ethical treatise On the Improvement of the Moral Qualities",
Sopater of Apamea,died before 337,Iamblichus Chalcidensis,Neoplatonist,Platonic,,
Sosigenes,,,Peripatetic,,,
Sosipatra of Ephesus,fl. c. 325,Chaldean sages (tradition); Aedesius (husband),Neoplatonist,Platonic,,female
Sotion,,,Neopythagorean,,,
Speusippus,c. 407 BC – 339 BC,Plato (also nephew),Academy,Platonic,,
Sphaerus,,Cleanthes; Zeno of Citium,Stoic,,,
Stephanus of Alexandria,fl. c. 610–641 CE,Olympiodorus the Younger,Neoplatonist,,Last known Neoplatonist from Alexandria; invited to Constantinople by Emperor Heraclius; wrote commentaries on Aristotle and Plato; also wrote on alchemy and astronomy; his philosophical lectures mark the transition from Alexandrian to Byzantine Neoplatonism,
Stilpo,,Euclid of Megara; Thrasymachus of Corinth,Megarian,,,
Strato of Lampsacus,,Theophrastus,Peripatetic,,,
Suhrawardi,1154–1191 CE,Majd al-Din al-Jili,Islamic Platonist,Illuminationist,"Persian philosopher; founded the Ishraqiyyah (Illuminationist) school of Islamic philosophy; synthesised Zoroastrian light-symbolism, Neoplatonism, and Islamic mysticism; wrote Hikmat al-Ishraq (Philosophy of Illumination); executed for alleged heresy at age 38; known as Shaykh al-Maqtul (the Murdered Master)",
Synesius,c. 373 – c. 414,Hypatia of Alexandria,Neoplatonist,Platonic,,
Syrianus,died c. 437,Plutarch of Athens,Neoplatonist,Platonic,,
Taurus of Beirut,fl. c. 145 CE,Unknown,Middle Platonist,,Platonic philosopher who taught in Athens; teacher of Aulus Gellius (who recorded his lectures in Noctes Atticae); wrote commentaries on Plato's Timaeus and Gorgias; distinguished between different types of soul-entry into the body,
Telauges,,Pythagoras (son),Pythagorean,,,
Telecles of Phocis,died 167/166 BC,Lacydes of Cyrene,Academic skeptic,,,
Teles the Cynic,,,Cynic,,,
Thales,,,"Presocratic, Milesian",,"first philosopher; held that the first principle (*arche*) is water; one of 
the Seven Sages of Greece",
Theaetetus of Athens,c. 417–369 BCE,Plato; Theodorus of Cyrene,Academy,Platonic,Mathematician and philosopher; Plato named a dialogue after him; contributed to the theory of irrational numbers and the theory of the five regular solids,
Theagenes of Patras,,,Cynic,,,
Theano,,Pythagoras (husband),Pythagorean,,,
Themista of Lampsacus,,Epicurus,Epicurean,,,female
Themistius,,,Neoplatonic,,,
Theodoric of Freiberg,c. 1250–1310 CE,,Medieval Platonist,Dominican,Dominican friar; gave the first correct mathematical explanation of the rainbow; Neoplatonist metaphysics influenced by Proclus via Meister Eckhart,
Theodorus of Asine,fl. 3rd century,Porphyry of Tyre; Iamblichus Chalcidensis,Neoplatonist,Platonic,,
Theodorus the Atheist,,Aristippus the Younger; Anniceris,Cyrenaic,,,
Theon of Alexandria,c. 335–405 CE,,Neoplatonist,,Mathematician and Neoplatonist at Alexandria; father and teacher of Hypatia; edited and commented on Euclid's Elements and Ptolemy's Almagest; his editions became the standard transmission texts for centuries,
Theon of Smyrna,,,Neopythagorean,,,
Theophrastus,,Aristotle,Peripatetic,,,
Thierry of Chartres,,,Medieval,,,
Thomas Aquinas,1225–1274 CE,Albertus Magnus,Scholastic,Peripatetic,Dominican friar and theologian; synthesised Aristotelian philosophy with Christian theology in the Summa Theologica; developed natural theology and the Five Ways for God's existence; Doctor Angelicus; most influential Scholastic philosopher,
Thomas Taylor,1758–1835 CE,,Modern Platonist,,"English translator and Neoplatonist; first to translate the complete works of Plato and Aristotle into English; translated Plotinus, Porphyry, Iamblichus, and Proclus",
Thrasyllus of Mendes,d. 36 CE,Unknown,Neopythagorean,Middle Platonist,Egyptian-born Platonist and astrologer; arranged Plato's dialogues into the nine tetralogies still used today; court astrologer to the emperor Tiberius; also arranged the works of Democritus,
Thrasymachus,,,Sophist,,,
Thrasymachus of Corinth,,Ichthyas,Megarian,,,
Timaeus of Locri,,Pythagoras (attributed),Pythagorean,,,
Timaeus the Sophist,fl. between 1st and 4th centuries,,Middle Platonist,Platonic,,
Timolaus of Cyzicus,fl. 4th century BC,Plato,Academy,Platonic,,
Timon,,Pyrrho,Pyrrhonist,,,
Timycha,,Pythagoras (disciple),Pythagorean,,,female
Tisias,,Corax of Syracuse (attributed),Sophist,,,
Valentinus,c. 100–180 CE,Theudas (claimed disciple of Paul),Gnostic,,Egyptian Gnostic philosopher; most influential Gnostic thinker; founded the Valentinian school; came close to becoming Bishop of Rome c. 143 CE; developed elaborate Pleroma cosmology of divine emanations (Aeons); deeply influenced by Neoplatonism and Platonism,
W. V. O. Quine,1908–2000 CE,Alfred North Whitehead; Bertrand Russell,Analytic Platonist,,American logician and philosopher; defended a naturalised Platonism about abstract objects through the indispensability argument,
William of Ockham,c. 1287–1347 CE,Duns Scotus (indirect),Nominalist,Scholastic,English Franciscan friar; father of nominalism; Ockham's Razor (entities should not be multiplied beyond necessity); challenged papal authority; rejected universals as mental concepts only; his voluntarist theology influenced Protestant Reformation,
Xenarchus of Seleucia,,,Peripatetic,,,
Xeniades,,,Pyrrhonist,,,
Xenocrates of Chalcedon,c. 396 BC – 314 BC,Plato,Academy,Platonic,,
Xenophanes of Colophon,,,"Presocratic, Eleatic",,"claimed that if oxen were able to imagine gods, those gods would be in the 
image of oxen",
Xenophilus,,,Pythagorean,,friend and teacher of Aristoxenus,
Xenophon,,Socrates,,,,
Zacharias Scholasticus,c. 465–536 CE,Ammonius Hermiae,Neoplatonist,Christian,Christian Neoplatonist philosopher from Caesarea; studied under Ammonius in Alexandria; wrote the philosophical dialogue Ammonius (against eternal matter) and a Life of Severus of Antioch; his Ecclesiastical History preserves important information about late antique philosophy,
Zeno of Citium,334-262 B.C.,Crates of Thebes; Stilpo; Polemon; Diodorus Cronus,Stoic,,founder of the Stoic school of philosophy,
Zeno of Elea,,Parmenides of Elea,"Presocratic, Eleatic",,famous creator of Zeno's paradoxes,
Zeno of Sidon,150-75 B.C.,Apollodorus the Epicurean,Epicurean,"sometimes termed the ""leading Epicurean""","sometimes termed the ""leading Epicurean""",
Zeno of Tarsus,fl. 200 B.C.,Chrysippus,Stoic,,,
Zenobius,2nd century A.D.,,Sophist,,flourished in the times of the emperor Hadrian,
Zenodotus,fl. c. 475,Proclus Lycaeus,Neoplatonist,Platonic,,
