Name/Title,Explicitly Named in Qur’an?,Qur’anic Reference(s) / Allusion,Notes on Identification
Evil/suffering,Free will<br>Tests from God<br>Repair the world,Result of Fall<br>Sin and its consequences<br>Redemptive suffering,Test from Allah<br>Free will<br>Patience in adversity
Divine law,Halakhah as comprehensive system<br>Adaptable through interpretation,Moral law continues<br>Ceremonial law fulfilled<br>Varies by denomination,Sharia as comprehensive system<br>Applicable in all times
Prophethood,Intermediaries of revelation<br>Closed with Malachi,Old Testament prophets<br>Culminates in Christ<br>Some ongoing prophecy (varies),Continuous chain from Adam<br>All taught same message<br>Muhammad as seal of prophets
Judgment,Individual judgment<br>World to Come,Individual judgment<br>Final judgment at Second Coming,Individual judgment after death<br>Final judgment at end of time
Intercession,Direct relationship with God<br>No intermediaries needed,Christ as mediator<br>Saints (some traditions),Muhammad's intercession<br>No intermediaries in worship
Aspect,Judaism,Christianity,Islam
Community structure,Kehillah (community)<br>Synagogue-centered<br>Rabbinical authority,Church (ekklesia)<br>Parish/congregation<br>Varies by denomination,Ummah (worldwide community)<br>Mosque-centered<br>Scholar guidance
Leadership roles,Rabbi (teacher)<br>Hazzan (cantor)<br>No priesthood since Temple,Priest/Pastor/Minister<br>Bishops/Elders/Deacons<br>Pope (Catholic),Imam (prayer leader)<br>Ulama (scholars)<br>No formal clergy
Women's leadership,Varies by denomination:<br>- None in Orthodox<br>- Full equality in Reform,Varies by denomination:<br>- None in Catholic/Orthodox<br>- Full equality in some Protestant,Limited traditionally<br>Modern reforms in some areas
Membership,Born to Jewish mother<br>Conversion<br>Ethnic and religious identity,Baptism<br>Confession of faith<br>Varies by denomination,Declaration of faith (shahada)<br>Practice of Islam
Sectarian divisions,"Orthodox, Conservative, Reform, Reconstructionist","Catholic, Orthodox, Protestant (many denominations)","Sunni, Shia, Ibadi<br>Various schools within each"
Religious education,Yeshiva for advanced study<br>Hebrew school<br>Bar/Bat Mitzvah preparation,Sunday school<br>Catechism<br>Seminary for clergy,Madrasa<br>Memorization of Quran<br>Islamic sciences
Relations with state,Separation preferred (modern)<br>Halakhah as personal law,Varies from state churches to separation,Historical caliphate<br>Modern variations from secular to theocratic
Aspect,Judaism,Christianity,Islam
Eschatology,Messianic age<br>Resurrection<br>World to Come,Second Coming<br>Millennium (various views)<br>New Heaven and Earth,Signs of the Hour<br>Return of Jesus<br>Day of Judgment
Concept of divine will,Free will emphasized<br>Partnership with God,Varies by denomination:<br>- Free will<br>- Predestination<br>- Various combinations,Qadar (divine decree)<br>Human responsibility within divine will
Attitude to other faiths,Righteous of all nations have place in World to Come,Exclusivist to inclusivist views<br>Varies by denomination,"Recognition of ""People of the Book""<br>Ultimate salvation through Islam"
Art and representation,No images of God<br>Decorative art common<br>Text-centered,Rich iconography (some traditions)<br>Religious art central,No depiction of Allah or prophets<br>Calligraphy and geometric patterns
Music in worship,Central in many traditions<br>Cantorial traditions,"Hymns, choirs, instruments<br>Central to worship",Adhan (call to prayer)<br>Quran recitation<br>No instruments in worship
Language of worship,Hebrew primary<br>Vernacular in liberal movements,Vernacular in most<br>Latin/Greek in some traditions,Arabic for ritual prayers<br>Quran always in Arabic
