Biblical Texts Comprehensive Index,,,,,,,,,
ID,Title,Category,Canonical Status,Traditional Author,Date Written (Approx.),Oldest Manuscript (Approx.),Main Topics/Themes,Religious Traditions,Notes
183.0,Conflict of Adam and Eve with Satan,Pseudepigrapha,Non-canonical,Unknown,400-600 CE,1400 CE,Adam and Eve's trials,Ethiopian Christianity,Adam and Eve's post-Eden life
184.0,Questions of Bartholomew,Apocrypha,Non-canonical,Unknown,200-400 CE,500 CE,Jesus answering Bartholomew,None,Revelation dialogue
185.0,Book of the Resurrection of Jesus Christ by Bartholomew,Apocrypha,Non-canonical,Unknown,200-400 CE,500 CE,Resurrection appearances,None,Resurrection narrative
186.0,Protevangelium of James,Pseudepigrapha,Non-canonical,Unknown,140-170 CE,300 CE,"Mary's childhood, Jesus' birth",None,Same as Infancy Gospel of James
187.0,History of the Rechabites,Pseudepigrapha,Non-canonical,Unknown,100-400 CE,900 CE,Blessed island community,None,"Also called ""Narrative of Zosimus"""
188.0,Apocalypse of Pseudo-Methodius,Pseudepigrapha,Non-canonical,Unknown,690-700 CE,800 CE,"End times, Islamic conquests",None,Influential medieval apocalypse
189.0,Vision of Ezra,Pseudepigrapha,Non-canonical,Unknown,400-600 CE,800 CE,Afterlife journey,None,Short apocalyptic vision
190.0,Questions of Ezra,Pseudepigrapha,Non-canonical,Unknown,400-700 CE,900 CE,Theological dialogues,None,Ezra questioning an angel
191.0,Revelation of Ezra,Pseudepigrapha,Non-canonical,Unknown,400-800 CE,1000 CE,Apocalyptic revelation,None,Different from 4 Ezra
192.0,Coptic Apocalypse of Elijah,Pseudepigrapha,Non-canonical,Unknown,150-250 CE,400 CE,"Antichrist, end times",None,Christian revising of Jewish work
193.0,Armenian Gospel of the Infancy,Pseudepigrapha,Non-canonical,Unknown,600 CE,1000 CE,Jesus' childhood,Armenian Christianity,Later infancy narrative
194.0,Arabic Infancy Gospel,Pseudepigrapha,Non-canonical,Unknown,400-600 CE,1000 CE,Jesus' childhood miracles,None,Composite infancy narrative
195.0,Gospel of Pseudo-Matthew,Pseudepigrapha,Non-canonical,Unknown,600-700 CE,900 CE,"Mary's life, Jesus' childhood",None,Medieval Latin composition
196.0,Discourse on Abbaton,Pseudepigrapha,Non-canonical,Timothy of Alexandria (attr.),400-600 CE,1000 CE,Death angel's origin,Coptic Christianity,Angel of death narrative
197.0,Legend of Aphroditianus,Pseudepigrapha,Non-canonical,Unknown,400-600 CE,1000 CE,"Persian wise men, nativity",None,Persian magi narrative
198.0,Vision of Paul,Pseudepigrapha,Non-canonical,Unknown,400 CE,500 CE,Heaven and hell visions,None,Same as Apocalypse of Paul
199.0,Book of the Cock,Pseudepigrapha,Non-canonical,Unknown,500-700 CE,1400 CE,Passion narrative,Ethiopian Christianity,Jesus raising a clay cock
200.0,Questions of Mary,Gnostic,Non-canonical,Unknown,200-300 CE,Lost,Jesus-Mary dialogues,None,Known only from mentions
201.0,Greater Questions of Mary,Gnostic,Non-canonical,Unknown,200-300 CE,Lost,Secret teachings to Mary,None,Gnostic text mentioned by Epiphanius
202.0,Lesser Questions of Mary,Gnostic,Non-canonical,Unknown,200-300 CE,Lost,Jesus-Mary dialogues,None,Gnostic text mentioned by Epiphanius
203.0,Book of Noah,Pseudepigrapha,Non-canonical,Unknown,Unknown,Fragmentary in other works,"Noah's life, flood",None,"Mentioned in Jubilees, fragments in 1 Enoch"
204.0,Apocalypse of Daniel,Pseudepigrapha,Non-canonical,Unknown,700-800 CE,900 CE,Byzantine prophecies,None,Byzantine apocalyptic work
205.0,Apocalypse of Samuel of Kalamoun,Pseudepigrapha,Non-canonical,Unknown,700-800 CE,1200 CE,"Islamic rule, tribulation",Coptic Christianity,Coptic apocalyptic work
206.0,Eighth Book of Moses,Magical,Non-canonical,Unknown,100-400 CE,300-400 CE,Magical formulas,None,Greco-Egyptian magical text
207.0,Assumption of the Virgin,Pseudepigrapha,Non-canonical,Unknown,400-600 CE,900 CE,Mary's death and assumption,None,Various versions exist
208.0,Investiture of Abbaton,Pseudepigrapha,Non-canonical,Unknown,400-700 CE,1000 CE,Death angel's appointment,Coptic Christianity,Related to Discourse on Abbaton
209.0,Book of the Rolls,Pseudepigrapha,Non-canonical,Clement of Rome (attr.),800-1000 CE,1200 CE,Biblical history,Syriac Christianity,"Also called ""Kitab al-Magall"""
210.0,Wisdom of Jesus ben Sirach,Deuterocanonical,Deuterocanonical,Jesus ben Sirach,200-175 BCE,150 BCE (DSS),Practical wisdom,"Catholic, Orthodox",Same as Sirach/Ecclesiasticus
211.0,2 Enoch,Pseudepigrapha,Non-canonical,Unknown,1st century CE,1400 CE (Slavonic),"Cosmology, heavenly journey, ethical teachings","Slavonic tradition, some Orthodox","Also called ""Slavonic Enoch"" or ""Book of the Secrets of Enoch"""
212.0,3 Enoch,Pseudepigrapha,Non-canonical,Rabbi Ishmael (attributed),5th-6th century CE,1200 CE,"Metatron, heavenly ascent, angelology",Jewish mystical tradition,"Also called ""Hebrew Book of Enoch"" or ""Sefer Hekhalot"""
213.0,Apocryphon of Jannes and Jambres,Pseudepigrapha,Non-canonical,Unknown,1st-3rd century CE,Fragmentary,Egyptian magicians who opposed Moses,None,Referenced in 2 Timothy 3:8
214.0,Book of Gad the Seer,Pseudepigrapha,Non-canonical,Gad (attributed),Unknown,1500 CE,"Prophecies, visions",None,Referenced in 1 Chronicles 29:29
215.0,Genesis Apocryphon,Pseudepigrapha,Non-canonical,Unknown,1st century BCE,100-50 BCE (DSS),Retellings of Genesis narratives,None,Found among Dead Sea Scrolls (1Q20)
216.0,History of the Captivity in Babylon,Pseudepigrapha,Non-canonical,Unknown,Medieval period,1000-1500 CE,Babylonian exile narratives,None,Medieval composition on exile themes
217.0,Psalms 152-155,Poetic,Non-canonical,David (attributed),Unknown,100-50 BCE (DSS),"Praise, thanksgiving",Syriac tradition,Found in Syriac manuscripts
218.0,Testament of Qahat,Pseudepigrapha,Non-canonical,Qahat (attributed),100 BCE-100 CE,100-50 BCE (DSS),"Priestly lineage, ethical exhortations",None,Found among Dead Sea Scrolls (4Q542)
219.0,Visions of Amram,Pseudepigrapha,Non-canonical,Amram (attributed),200-100 BCE,100-50 BCE (DSS),"Visionary experiences, angelology",None,Found among Dead Sea Scrolls (4Q543-548)
220.0,Gabriel's Revelation,Pseudepigrapha,Non-canonical,Unknown,1st century BCE,1st century BCE,"Messianic prophecy, resurrection",None,"Also called ""Hazon Gabriel,"" stone tablet discovered in 2000s"
