Parables and Stories in the Quran,,,,,,,,
Al-Ikhlas (112),1.0,Light,Allah as source of light (implicit),"""Say, 'He is Allah, [who is] One.'""",,,,
Surah & Verses,Description,Key Elements,,,,,,
Al-Baqarah 2:97-98,Mentions Gabriel (Jibreel) as the angel who brought down the Quran to Muhammad,Angel Gabriel identified as messenger to Muhammad,,,,,,
Al-An'am 6:8-9,Discussion of why an angel was not sent visibly,References to angels in physical form,,,,,,
Al-Hajj 22:75,Statement that Allah chooses messengers from angels and from mankind,Angels as divine messengers,,,,,,
Az-Zukhruf 43:60,Angels succeeding on earth,Angels as potential successors on earth,,,,,,
At-Tahrim 66:4,"Gabriel, righteous believers, and angels as protectors",Gabriel specifically named as protector,,,,,,
Al-Ma'arij 70:4,Angels ascending to Allah,Movement of angels between realms,,,,,,
Al-Qadr 97:4,Angels and the Spirit (Gabriel) descending during Laylat al-Qadr,Mass angelic descent during Night of Power,,,,,,
Al-Najm 53:5-18,Description of Gabriel's appearance to Muhammad,"Detailed vision of Gabriel ""mighty in power""",,,,,,
Maryam 19:16-21,Angel Gabriel appears to Mary to announce Jesus's birth,Detailed angelic visitation and dialogue,,,,,,
Al-Anfal 8:9-12,Angels sent to aid believers at Battle of Badr,Angels as divine military assistance,,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Al-Baqarah 2:25,Brief description of Paradise with rivers flowing,"Gardens, rivers, fruits, spouses",,,,,,
Ar-Ra'd 13:35,Description of Paradise promised to the righteous,"Rivers, perpetual shade, rewards for pious",,,,,,
Muhammad 47:15,Detailed description of rivers in Paradise,"Rivers of water, milk, wine and honey",,,,,,
Ar-Rahman 55:46-78,Extensive description of the two gardens of Paradise,"Detailed imagery of gardens, fountains, fruits, companions",,,,,,
Al-Waqi'ah 56:15-40,Detailed description of Paradise for those foremost in faith,"Thrones, servants, fruits, companions",,,,,,
Ad-Dukhan 44:51-57,The secure position of the righteous in Paradise,"Security, fruits, garments, companions",,,,,,
Al-Insan 76:12-22,Description of Paradise as reward,"Garments of silk, rewards, drink from a pure spring",,,,,,
Al-Ghashiyah 88:8-16,Description of faces on that day and their surroundings in Paradise,"Satisfied faces, lofty garden, fountain, raised couches",,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Al-Qari'ah 101:1-11,The Day of Noise and Clamor (Judgment Day),"Mountains like carded wool, weighing of deeds",,,,,,
At-Takwir 81:1-14,Signs of the end of the world,"Sun darkened, stars falling, mountains vanishing, seas boiling",,,,,,
Al-Infitar 82:1-5,The cleaving asunder (of the world),"Sky cleft, stars scattered, seas burst forth",,,,,,
Az-Zalzalah 99:1-8,The earth's violent shaking,"Earth bringing forth its burdens, testifying against people",,,,,,
Al-Qiyamah 75:6-15,Signs of Resurrection Day,"Eyes dazzled, moon darkened, sun and moon joined",,,,,,
Al-Haqqah 69:13-18,The single blast and upheaval of earth and heaven,"Detailed description of the sky splitting, angels bearing the Throne",,,,,,
Ad-Dukhan 44:10-16,The day when the sky brings visible smoke,Clear punishment coming upon people,,,,,,
Al-Ma'arij 70:8-14,Description of the sky and mountains on Judgment Day,"Sky like molten brass, mountains like wool, abandonment of close ones",,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Al-Hijr 15:43-44,Hell described as having seven gates,Division of hell into distinct levels,,,,,,
Al-Mu'minun 23:103-108,Faces of the damned in the fire,"Fire scorching faces, disfigurement",,,,,,
Az-Zumar 39:71-72,Gates of Hell opening for the unbelievers,"Gatekeepers, entrance procedures",,,,,,
Al-Mulk 67:6-8,Hell's fury and rage,Hell nearly bursting with fury,,,,,,
Al-Mursalat 77:29-33,Command to proceed to the shadow with three columns,No shade or protection from flame,,,,,,
Al-Humaza 104:1-9,The crushing fire,"Fire reaching hearts, closed columns",,,,,,
Al-Ghashiyah 88:1-7,Faces on that day and their state in Hell,"Faces humiliated, entering burning fire, drinking from boiling spring",,,,,,
Ibrahim 14:16-17,The punishment of drinking festering water,"Unpleasant afterlife drink, endless punishment",,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Al-Isra 17:1,Brief mention of the Night Journey from Mecca to Jerusalem,"""Glory to Him who carried His servant by night""",,,,,,
An-Najm 53:1-18,Possible reference to Muhammad's ascension to heaven,"Vision of Gabriel, ""at the Lote-tree of the utmost boundary""",,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Al-Fath 48:27,The vision of entering Mecca's Sacred Mosque,Prophetic vision fulfilled,,,,,,
Al-Fil 105:1-5,The story of the Army of the Elephant,Divine intervention with birds,,,,,,
Yusuf 12:4-6,"Joseph's dream of eleven stars, sun and moon",Prophetic dream interpreted,,,,,,
Yusuf 12:36-41,Joseph interpreting dreams of fellow prisoners,Divine gift of dream interpretation,,,,,,
Yusuf 12:43-49,Joseph interpreting Pharaoh's dream,Seven fat cows and seven lean ones,,,,,,
Al-Anbiya 21:68-70,Abraham in the fire that became cool,Miraculous divine protection,,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Ash-Shura 42:51,Ways Allah communicates with humans,"By inspiration, from behind a veil, through messengers",,,,,,
An-Najm 53:4-10,Description of revelation process,"""Taught by one Mighty in Power""",,,,,,
Al-Alaq 96:1-5,First revelation to Muhammad,"Angel commanding ""Read!""",,,,,,
Ad-Duha 93:1-11,Revelation after a period of silence,Reassurance after perceived absence of revelation,,,,,,
Al-Muddathir 74:1-7,Early revelation with commands,Instructions following visionary experience,,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Al-Kursi 2:255,The Throne Verse,Description of Allah's knowledge and throne,,,,,,
Al-A'raf 7:54,Description of Allah established on the Throne,Cosmic divine position,,,,,,
Hud 11:7,Throne upon water before creation,Pre-creation divine setting,,,,,,
Al-Hadid 57:3-4,Allah's omnipresence and throne,"""He is with you wherever you are""",,,,,,
Al-Mu'min 40:7,Angels surrounding the Throne,Angels glorifying Allah around the Throne,,,,,,
Al-Haqqah 69:17,"Angels on the sides of heaven, eight bearing the Throne",Specific number of throne-bearers,,,,,,
Surah & Verses,Description,Key Elements,,,,,,
Ta-Ha 20:9-13,Moses and the burning bush,Divine manifestation through fire,,,,,,
Al-Qasas 28:29-35,Detailed account of Moses at the burning bush,"Staff turning to snake, hand becoming white",,,,,,
Al-A'raf 7:143,Moses asking to see Allah,"Mountain crumbling, Moses falling unconscious",,,,,,
Az-Zumar 39:42,Taking of souls during sleep,Souls retained at death or returned at awakening,,,,,,
Al-Kahf 18:9-26,Story of the Sleepers of the Cave,"Miraculous long sleep, divine protection",,,,,,
Period,Event/Development,Key Details,,,,,,
c. 3000-1000 BCE,Early Arabian Religious Practices,"• Worship centered on celestial bodies (sun, moon, Venus)<br>• Development of stone sanctuaries (betyls) throughout Arabia<br>• Early forms of pilgrimage established to sacred sites",,,,,,
c. 2000 BCE,Earliest Mecca Settlement,"• Archaeological evidence suggests continuous settlement in Mecca Valley<br>• Location likely sacred due to Zamzam well, a crucial water source",,,,,,
c. 1000 BCE - 300 CE,South Arabian Civilization,• Kingdom of Saba (Sheba) develops sophisticated astral religion<br>• Temples to Almaqah (moon god) become important pilgrimage centers<br>• Development of incense trade routes connecting Arabia to Mediterranean,,,,,,
c. 400 BCE - 100 CE,Nabataean Influence,"• Nabataean civilization develops stone sanctuaries (including Petra)<br>• Dushara worshipped, often represented by cubic stone blocks<br>• Architectural/ritualistic influence on later Meccan practices",,,,,,
Legendary Origins,Abrahamic Foundation,• Islamic tradition holds Adam constructed the first sanctuary<br>• Ibrahim (Abraham) and Ismail rebuilt it as monotheistic shrine<br>• The Black Stone (al-Ḥajar al-Aswad) delivered by Angel Gabriel,,,,,,
Period,Event/Development,Key Details,,,,,,
c. 200-600 CE,Zoroastrian Influence,"• Persian Sasanian Empire (224-651 CE) spread Zoroastrianism to eastern Arabia<br>• Concepts of cosmic dualism (good vs. evil), judgment, and paradise<br>• Fire temples established in eastern Arabian regions<br>• Influenced concepts of purity, angelology, and eschatology",,,,,,
c. 300-600 CE,Christian Presence,"• Byzantine influence brought Christianity to northern Arabia<br>• Nestorian Christianity spread via trade routes from Syria<br>• Monastic communities established in northern Arabia<br>• Ethiopian (Aksumite) Christian influence in Yemen<br>• Christian concepts of monotheism, divine revelation, and prophets",,,,,,
c. 300-600 CE,Jewish Communities,"• Established settlements in Yathrib (Medina), Khaybar, and Yemen<br>• Introduced strict monotheism and scriptural tradition<br>• Influenced concepts of dietary laws, ritual purity, and prophetic tradition",,,,,,
c. 450-550 CE,Hanifs,"• Pre-Islamic monotheists rejecting polytheism<br>• Claimed to follow ""religion of Abraham"" (millat Ibrahim)<br>• Notable figures include Zayd ibn Amr and Waraqah ibn Nawfal",,,,,,
Period,Event/Development,Key Details,,,,,,
c. 400-610 CE,Polytheistic Hub,"• The Kaaba becomes a pan-Arabian pilgrimage site<br>• Houses approximately 360 idols representing tribal deities<br>• Major deities: Hubal (chief deity), Al-Lat, Al-Uzza, Manat (""daughters of Allah"")<br>• Other deities: Isaf, Na'ila, Wadd, Suwa', Yaghuth, Ya'uq, Nasr<br>• Contains paintings of Jesus, Mary, Abraham (syncretism)",,,,,,
c. 570 CE,Birth of Muhammad,"• Born into the Quraysh tribe, custodians of the Kaaba<br>• Raised in polytheistic environment but later exposed to monotheistic ideas",,,,,,
605 CE,Rebuilding by Quraysh,• Kaaba damaged by floods; tribes collaborate to rebuild<br>• Dispute over Black Stone placement resolved by Muhammad<br>• Muhammad places stone on cloth for tribal leaders to share honor,,,,,,
610 CE,Beginning of Revelation,• Muhammad receives first revelations in Cave of Hira<br>• Early messages emphasize strict monotheism (tawhid)<br>• Criticizes idol worship and tribal polytheistic practices,,,,,,
622 CE,Hijra (Migration),• Muhammad and followers migrate to Medina<br>• Establishes first Muslim community<br>• Prayer direction (qibla) initially toward Jerusalem,,,,,,
624 CE,Change of Qibla,• Prayer direction changed from Jerusalem to the Kaaba<br>• Reestablishes Abraham's connection to the sacred site<br>• Signifies Islam's distinct identity while maintaining Abrahamic roots,,,,,,
630 CE,Conquest of Mecca & Purification,• Muhammad's forces enter Mecca peacefully<br>• Removes all idols from the Kaaba (estimated 360+)<br>• Destroys paintings except possibly those of Jesus & Mary<br>• Reconsecrates the Kaaba to monotheistic worship<br>• Establishes pilgrimage rituals (Hajj) that continue today,,,,,,
Period,Event/Development,Key Details,,,,,,
632-661 CE,Rashidun Caliphate,"• Four ""Rightly Guided"" Caliphs maintain the Kaaba's sanctity<br>• Standardization of Hajj rituals<br>• Expansion of Islamic community throughout Arabia and beyond",,,,,,
683 CE,Siege of Mecca & Rebuilding,"• Umayyad forces besiege Mecca during civil war<br>• Kaaba damaged during conflict<br>• Abdullah ibn al-Zubayr rebuilds with modifications (second door, inclusion of Hijr)",,,,,,
693 CE,Umayyad Restoration,• Al-Hajjaj ibn Yusuf demolishes ibn al-Zubayr's changes<br>• Reverts to the Quraysh's original design<br>• Establishes the form that largely persists today,,,,,,
930 CE,Qarmatian Attack,• Qarmatian sect raids Mecca<br>• Removes Black Stone to their headquarters in Al-Ahsa<br>• Stone returned 22 years later,,,,,,
1631 CE,Ottoman Reconstruction,• Severe floods damage the Kaaba<br>• Sultan Murad IV orders repairs<br>• Maintains foundational structure while reinforcing building,,,,,,
1996-1999 CE,Saudi Renovation,• Interior reinforced with modern materials<br>• Roof replaced while maintaining traditional appearance<br>• Black Stone temporarily removed for cleaning and preservation,,,,,,
Concept,Zoroastrian Influence,Christian Influence,Indigenous Arabian Elements,Islamic Synthesis,,,,
Monotheism,• Ahura Mazda as supreme deity<br>• Lesser divine beings,• Strict monotheism<br>• Trinitarian concepts,"• Emerging hanif monotheism<br>• Concept of high god ""Allah""",• Absolute monotheism (tawhid)<br>• Rejection of all divine associates,,,,
Eschatology,• Individual judgment<br>• Heaven and hell<br>• End times scenario,• Day of Judgment<br>• Bodily resurrection<br>• Paradise and hellfire,• Limited afterlife concepts,• Detailed resurrection and judgment<br>• Eternal paradise (jannah) or hellfire (jahannam),,,,
Prophetic Tradition,• Zarathustra as prophet<br>• Divine revelation,• Jesus as culmination of prophets<br>• Gospel as divine word,• Soothsayers (kahin)<br>• Tribal prophetic figures,"• Muhammad as ""seal of prophets""<br>• Comprehensive prophetic lineage from Adam",,,,
Pilgrimage,• Sacred site veneration,• Holy Land pilgrimage<br>• Saint shrines,• Tribal pilgrimage practices<br>• Pre-Islamic Hajj to Kaaba,• Formalized Hajj rituals<br>• Kaaba as central focus of devotion,,,,
Angels & Jinn,• Spenta Mainyu (benevolent spirits)<br>• Angra Mainyu (evil spirits),• Hierarchical angelology<br>• Demons as fallen angels,• Indigenous jinn beliefs<br>• Tribal protective spirits,"• Elaborate angelology (Gabriel, Michael, etc.)<br>• Jinn as separate created beings",,,,
Deity,Form/Representation,Function/Domain,Tribal Association,,,,,
Hubal,Human figure with divination arrows,"Chief deity, oracular functions",Quraysh,,,,,
Al-Lat,"Female figure, white stone",Goddess of war and prosperity,Thaqif (Taif),,,,,
Al-Uzza,Associated with Venus,"Goddess of power, fertility","Quraysh, Kinana",,,,,
Manat,Black stone,"Goddess of fate, destiny, time",Aws and Khazraj,,,,,
Isaf & Na'ila,Stone pillars near Zamzam,"Lovers turned to stone, fertility",Associated with pilgrimage rituals,,,,,
Wadd,Man figure,"Love, friendship, moon",Mentioned in Quran (Noah's people),,,,,
Suwa',Female figure,Tribal goddess,Hudhail tribe,,,,,
Yaghuth,Lion-shaped,"Protection, strength",Madh'hij and Jurash tribes,,,,,
Ya'uq,Horse-shaped,"Speed, victory",Hamdan tribe,,,,,
Nasr,Eagle-shaped,"Nobility, high status",Himyar tribe,,,,,
Dhu al-Shara,Cubic stone,Nabatean deity,Possibly venerated by northern Arabian tribes,,,,,
Quzah,No known representation,"Weather, thunder",Associated with Muzdalifah pilgrimage site,,,,,
