c. 1100–1400 CE,Jain Nadis and Chakras,9+,Chakras and nadis (energy centers),Not specified,None,"Jain yoga texts, commentaries",North/Central India,Jainism,No specific Kundalini concept,
c. 1150–1200 CE,Early Kabbalah (Provence),,,,,Sefer ha-Bahir,Provence (S. France),"Emanationist cosmology, Sefirot as divine attributes, mystical Torah interpretation",,"Bahir: Sefirot as divine qualities, roots of Tree of Life structure236"
c. 1000–1200 CE,Kubjikāmata Tantra,6+1,"Muladhara, Svadhisthana, Manipura, Anahata, Vishuddha, Ajna (+Sahasrara)",Not specified,"Dakinis, Shiva, Shakti",Kubjikāmata-tantra,"Kashmir, India",Hindu Tantra (Kaula),Kuṇḍalinī central; emphasis on ascent through chakras,
c. 1200–1300 CE,Spanish Kabbalah,,,,,Sefer ha-Zohar (Moses de Leon),Spain,"Mystical exegesis, Sefirot as dynamic emanations, Shekhinah, divine exile and redemption",,"Zohar: Sefirot system formalized, Tree of Life diagram emerges, ten Sefirot as interconnected spheres2346"
c. 1500–1600 CE,Ṣaṭ-Cakra-Nirūpaṇa,6+1,Standardized 6 chakras + Sahasrara,Modern: Rainbow colors,"Dakinis, Shiva, Shakti",Ṣaṭ-Cakra-Nirūpaṇa,"Bengal, India",Hindu Tantra (Śākta),Kuṇḍalinī rises through chakras to Sahasrara,
c. 1500–1572 CE,Safed/Mystical Renaissance,,,,,"Moses Cordovero, Isaac Luria, Yosef Caro, Hayyim Vital",Safed (Ottoman Palestine),"Systematization (Cordovero), Lurianic Kabbalah (Luria): Tzimtzum (contraction), Shevirat ha-Kelim (shattering of vessels), Tikkun Olam (repair)",,"Lurianic Tree of Life: complex diagrams, partzufim (divine faces), Sefirot as dynamic process for cosmic repair156"
17th–18th c.,Sabbateanism & Hasidism,,,,,"Shabbetai Zevi, Baal Shem Tov","Ottoman Empire, E. Europe","Messianic Kabbalah (Sabbateanism), popularization and spiritualization (Hasidism)",,"Hasidic Tree of Life: Sefirot as accessible spiritual path, focus on immanence and personal mystical experience26"
1880–1920 CE,Western 7-Chakra System,7.0,"Muladhara, Svadhisthana, Manipura, Anahata, Vishuddha, Ajna, Sahasrara","Red, Orange, Yellow, Green, Blue, Indigo, Violet/White","Shiva, Shakti, etc.","Theosophy, Leadbeater, Avalon","Britain, USA, Europe","Theosophy, Western Esotericism","Interpreted through a Western lens, often associated with psychological and spiritual development",
19th–21st c.,Modern/Academic Kabbalah,,,,,"Gershom Scholem, Aryeh Kaplan","Europe, Israel, USA","Historical-critical study, integration with psychology, New Age, and Western esotericism",,"Tree of Life adapted in Western occultism (Hermetic Qabalah), comparative studies with ancient Near Eastern motifs6"
20th–21st c.,7-Year Chakra Cycle,7.0,"Root to Crown, mapped to life cycles",As above,Not specified,"Modern New Age, Life Cycle Theories","USA, Europe","New Age, Western",Emphasis on aligning chakra energies for life stages,
20th–21st c.,22-Chakra System,22.0,Traditional 7 + higher/lower centers,Various,Not specified,Modern New Age sources,"USA, Europe","New Age, Western",Expansion of chakra system for greater energetic detail,
19th–21st c.,Western Esoteric Energy Centers,7+,"Chakras, Sefirot, planetary spheres, etc.",Various,Various,"Theosophy, New Age, Occult texts","Europe, America","Western Esotericism, New Age","Synthesis of various systems, with focus on personal development",
