9.0,Ps 68:18,Ascension,~1000 BC,United Kingdom,Jesus’ ascension (Acts 1:9),Messiah returns to heaven7.
10.0,Joel 2:28-32,Outpouring of the Spirit,~800 BC,Divided Kingdom,Pentecost (Acts 2:16-21),Holy Spirit given to believers7.
11.0,Isa 7:14,Messiah born of a virgin,~735 BC,Divided Kingdom,Jesus’ birth (Matt 1:22-23),“Virgin” debated; fulfilled in Mary156.
12.0,Mic 5:2,Messiah born in Bethlehem,~700 BC,Assyrian Era,Jesus’ birth (Matt 2:1-6),Specific birthplace157.
13.0,Isa 40:3; Mal 3:1,Messenger prepares way,~700-400 BC,Prophets,John the Baptist (Matt 3:1-3; 11:10),Forerunner to Messiah156.
14.0,Isa 49:6; Acts 1:8,Gospel to all nations,~700 BC/AD 30,Assyrian/Roman,Early church expansion (Col 1:23),Christianity spreads globally17.
15.0,Isa 65:17; Rev 21,New heavens and new earth,~700 BC/AD 95,Assyrian/Roman,"Future, eschatological",Final restoration2.
16.0,Hos 11:1,Messiah called out of Egypt,~700 BC,Divided Kingdom,Jesus’ flight to Egypt (Matt 2:14-15),Early childhood event56.
17.0,Isa 9:1-2,Ministry in Galilee,~700 BC,Assyrian Era,Jesus’ ministry (Matt 4:13-16),Messiah’s light in Galilee6.
18.0,Isa 53,Suffering Servant,~700 BC,Assyrian Era,Jesus’ crucifixion (1 Pet 2:24),Detailed suffering and atonement17.
19.0,Isa 53:9,Buried with the rich,~700 BC,Assyrian Era,Jesus in Joseph’s tomb (Matt 27:57-60),Details of burial17.
20.0,Jer 31:15,Massacre at Bethlehem,~600 BC,Babylonian,Herod’s massacre (Matt 2:16-18),Fulfilled in New Testament6.
21.0,Ezek 37:21-22,Return of Israel to land,~600 BC,Babylonian,Modern Israel (1948),Some see 20th-century events as fulfillment2.
22.0,Dan 9:26; Matt 24:2,Destruction of Jerusalem/Temple,538 BC/AD 30,Persian/Roman,AD 70 (Roman siege),Jesus’ prophecy fulfilled within a generation9.
23.0,Dan 7:25; Rev 13,Antichrist and tribulation,~538 BC/AD 95,Persian/Roman,Future/various interpretations,"End times prophecy, not universally agreed upon2."
24.0,Zech 9:9,Enters Jerusalem on donkey,~500 BC,Persian,Triumphal entry (Matt 21:1-5),Palm Sunday event5.
25.0,Zech 11:12,Betrayed for 30 pieces of silver,~500 BC,Persian,Judas’ betrayal (Matt 26:15; 27:3-10),Specific betrayal details5.
26.0,Matt 24:6-7,"End Times: Wars, famines, earthquakes",AD 30,Roman Era,"Ongoing, debated fulfillment",Signs of the “last days”2.
