Comprehensive Developmental and Consciousness Models,,,,,,,
Year,Model Name,Creator(s),Major Works / Sources,Supporters & Related Thinkers,Critics & Criticisms,Main Concepts / Focus,Stages / Steps (with Descriptions)
1979.0,Bronfenbrenner's Ecological Systems Theory,Urie Bronfenbrenner,"""The Ecology of Human Development"" (1979)","Developmental psychologists, sociologists",Not strictly stage-based,Development within nested environmental systems,"""Not stages but systems:→1. Microsystem→2. Mesosystem→3. Exosystem→4. Macrosystem→5. Chronosystem (added later)"""
1980.0,Aurobindo's Integral Yoga,Sri Aurobindo,"""The Life Divine"" (1939)",Integral yoga practitioners,Metaphysical assumptions,Evolution of consciousness toward Supermind,"""1. Physical→2. Vital→3. Mental→4. Higher Mind→5. Illumined Mind→6. Intuitive Mind→7. Overmind→8. Supermind"""
1981.0,Fowler's Stages of Faith,James Fowler,"""Stages of Faith"" (1981)","Sharon Parks, M. Scott Peck","Christian-centric, stage rigidity",Faith as evolving meaning-making and relationship to the transcendent,"""1. Intuitive-Projective→2. Mythic-Literal→3. Synthetic-Conventional→4. Individuative-Reflective→5. Conjunctive→6. Universalizing"""
1982.0,Gilligan's Ethics of Care,Carol Gilligan,"""In a Different Voice"" (1982)","Nel Noddings, Virginia Held","Essentialist, binary gender focus",Moral development focused on care and relationships,"""1. Preconventional (self-survival)→2. Conventional (self-sacrifice/goodness)→3. Postconventional (care as universal principle)"""
1982.0,Kegan's Constructive-Developmental Theory,Robert Kegan,"""The Evolving Self"" (1982), ""In Over Our Heads"" (1994)","Susanne Cook-Greuter, Jennifer Garvey Berger","Complexity, empirical validation",Evolution of meaning-making structures,"""1. Impulsive→2. Imperial→3. Socialized→4. Self-Authoring→5. Self-Transforming"""
1983.0,Fischer's Dynamic Skill Theory,Kurt Fischer,"""Cognitive Development in School-Age Children"" (1980)",Neo-Piagetian researchers,Complex methodology,Skills develop in dynamic tiers and levels,"""Tiers:→1. Sensorimotor→2. Representational→3. Abstract→Each with 4 levels: single sets, mappings, systems, systems of systems"""
1985.0,Belenky's Women's Ways of Knowing,"Mary Field Belenky, et al.","""Women's Ways of Knowing"" (1986)","Feminist epistemologists, educators","Sample limitations, gender essentialism",Epistemological development in women,"""1. Silence→2. Received Knowledge→3. Subjective Knowledge→4. Procedural Knowledge→5. Constructed Knowledge"""
1986.0,Rest's Four Component Model of Morality,James Rest,"""Moral Development: Advances in Research and Theory"" (1986)","Darcia Narvaez, Muriel Bebeau",Complexity in application,Moral functioning as interacting components,"""1. Moral Sensitivity→2. Moral Judgment→3. Moral Motivation→4. Moral Character"""
1990.0,Barrett's Levels of Consciousness,Richard Barrett,"Barrett Values Centre, Barrett Academy",Organizational development practitioners,Some critique for business focus,Seven levels of personal consciousness,"""1. Survival (basic needs)→2. Relationship (belonging)→3. Self-esteem (achievement)→4. Transformation (growth)→5. Internal cohesion (meaning)→6. Making a difference (service)→7. Service (societal contribution)"""
1991.0,Commons' Model of Hierarchical Complexity,Michael Lamport Commons,"""Adult Development"" (1990), various papers","Theo Dawson, Kurt Fischer","Technical complexity, limited mainstream adoption",Task complexity across domains,"""1. Sensory/Motor→2. Circular Sensory-Motor→3. Sensory-Motor→4. Nominal→5. Sentential→6. Preoperational→7. Primary→8. Concrete→9. Abstract→10. Formal→11. Systematic→12. Metasystematic→13. Paradigmatic→14. Cross-paradigmatic→15. Meta-cross-paradigmatic"""
1991.0,Dabrowski's Theory of Positive Disintegration,Kazimierz Dabrowski,"""Positive Disintegration"" (1964), English translations (1970s-1990s)","Michael Piechowski, Linda Silverman","Complex, difficult to measure",Development through psychological crises,"""1. Primary Integration→2. Unilevel Disintegration→3. Spontaneous Multilevel Disintegration→4. Organized Multilevel Disintegration→5. Secondary Integration"""
1991.0,Dynamic Skill Theory,Kurt Fischer,"""Cognitive Development in School-Age Children"" (1980)","Theo Dawson, Michael Commons","Complex methodology, limited adoption",Skills develop in dynamic tiers with domain specificity,"""1. Reflexes (birth-4 months)→2. Actions (4 months-2 years)→3. Representations (2-10 years)→4. Abstractions (10+ years)→Each with specific levels: single units, mappings, systems, systems of systems"""
1993.0,Gardner's Multiple Intelligences,Howard Gardner,"""Frames of Mind"" (1983)",Educational reformers,Not strictly developmental,Different types of intelligence develop independently,"""Not strictly stage-based, but proposes development in:→1. Linguistic→2. Logical-mathematical→3. Spatial→4. Musical→5. Bodily-kinesthetic→6. Interpersonal→7. Intrapersonal→8. Naturalist→9. Existential (tentative)"""
1995.0,Wilber's Integral Theory,Ken Wilber,"""Sex, Ecology, Spirituality"" (1995), ""A Theory of Everything"" (2000)","Don Beck, Jean Gebser, Sri Aurobindo","Criticized for grandiosity, lack of empirical testing",Integration of all developmental lines and quadrants,"""Stages across multiple lines (cognitive, moral, spiritual, etc.), AQAL framework (quadrants: individual/collective, interior/exterior), pre-trans fallacy"""
1996.0,Spiral Dynamics,"Don Beck, Chris Cowan (based on Clare Graves)","""Spiral Dynamics"" (1996)","Ken Wilber, Integral community","Criticized for oversimplification, cultural bias",Value systems (vMEMEs) in human development,"""1. Beige (survival)→2. Purple (tribal)→3. Red (power)→4. Blue (order)→5. Orange (success)→6. Green (community)→7. Yellow (integrative)→8. Turquoise (holistic)"""
1998.0,Constructive Developmental Framework,Robert Kegan,"""In Over Our Heads"" (1994)",Adult developmental psychologists,Complex application,Subject-object shifts in meaning-making,"""1. Incorporative (infants)→2. Impulsive (2-7 years)→3. Imperial (7-12+ years)→4. Interpersonal (adolescence+)→5. Institutional (adulthood)→6. Inter-individual (rare)"""
1999.0,Cook-Greuter's Ego Development Theory,Susanne Cook-Greuter,"""Postautonomous Ego Development"" (1999)","Bill Torbert, Robert Kegan","Complex assessment, limited research",Extended Loevinger's theory with postautonomous stages,"""1-9. Same as Loevinger→Plus:→10. Construct-aware→11. Unitive"""
2000.0,Torbert's Action Logics,William Torbert,"""Action Inquiry"" (2004)","Susanne Cook-Greuter, Robert Kegan","Business focus, measurement issues",Leadership development through action logics,"""1. Opportunist→2. Diplomat→3. Expert→4. Achiever→5. Individualist→6. Strategist→7. Alchemist→8. Ironist"""
2000.0,Spiritual Intelligence,"Danah Zohar, Ian Marshall","""SQ: Connecting With Our Spiritual Intelligence"" (2000)","Spiritual educators, leadership developers",Measurement difficulties,Development of spiritual awareness,"""Not strictly stage-based, but proposes development from:→1. Conventional thinking→2. Problem-sensing→3. Vision and value-led→4. Holistic thinking→5. Compassion→6. Celebration of diversity→7. Field independence→8. Humility→9. Tendency to ask fundamental questions→10. Ability to reframe→11. Spontaneity→12. Sense of vocation"""
2002.0,Sphere Model of Consciousness (SMC),"Paoletti, Ben-Soussan","Paoletti (2002), Ben-Soussan (2019)","Neuroscience, meditation researchers","Early stage, limited empirical work",Subjective experience mapped in a sphere; overcoming the self,"""Axes: Emotional, Mental, Spatial, Temporal, Bodily. Center: Place of Pre-Existence (neutrality, non-dual awareness). Progression involves detachment from narrative/minimal self, increased self-determination, and a shift toward equidistance from experience (non-dual state)"""
2003.0,Theory of Constructed Emotion,Lisa Feldman Barrett,"""How Emotions Are Made"" (2017)",Constructionist psychologists,Challenges traditional emotion theories,"Emotions as constructed concepts, not innate modules","""Not stage-based, but proposes: Interoception → Conceptualization → Emotional Experience, with developmental progression in emotional granularity"""
2005.0,Lectical Assessment System,Theo Dawson (based on Commons/Fischer),Various papers since 2005,"Michael Commons, Kurt Fischer","Complex methodology, limited adoption",Measurement-based approach to cognitive development,"""1. Reflexive (birth-2 years)→2. Representational (2-6 years)→3. Abstract (7-10 years)→4. Formal (11-15 years)→5. Systematic (16+ years)→6. Metasystematic (rare)→With sub-phases in each level"""
2006.0,O'Fallon's STAGES Model,Terri O'Fallon,Various papers since 2010,"Kim Barta, Ken Wilber","New research, limited validation",Integration of Wilber's AQAL with Cook-Greuter's EDT,"""12 stages organized by tier (Concrete, Subtle, Metaware) and perspective-taking capacity (1st, 2nd, 3rd, 4th, 5th, 6th person perspectives)"""
2007.0,Siegel's Interpersonal Neurobiology,Daniel J. Siegel,"""The Developing Mind"" (1999), ""Mindsight"" (2010)","Attachment researchers, mindfulness practitioners","Complex integration, difficult to test","Integration of brain systems, relationships, and mind","""Not strictly stage-based, but proposes development toward integration across 9 domains: consciousness, horizontal, vertical, memory, narrative, state, interpersonal, temporal, transpirational"""
2008.0,Keating's Stages of Prayer,Thomas Keating,"""Open Mind, Open Heart"" (1986)",Contemplative Christians,Religious context,Stages of contemplative prayer,"""1. Active prayer (discursive meditation)→2. Affective prayer (emotional engagement)→3. Prayer of simplicity (simplified focus)→4. Contemplative prayer (infused contemplation)"""
2010.0,Polyvagal Theory Development,Stephen Porges,"""The Polyvagal Theory"" (2011)","Trauma therapists, somatic practitioners","Still evolving, limited clinical application",Autonomic nervous system development,"""Evolutionary progression: 1. Dorsal vagal (immobilization)→2. Sympathetic (mobilization)→3. Ventral vagal (social engagement)→With developmental implications across lifespan"""
2010.0,Theoretical Models of Consciousness (Neuroscience),"Various (Revonsuo, Metzinger, Baars, etc.)",Various papers and books,"Neuroscientists, cognitive scientists",Lack of unified theory,Consciousness as neurological processes,"""Various models including:→- Global Workspace Theory→- Integrated Information Theory→- Higher-Order Thought Theory→- Predictive Processing→With implications for development"""
2014.0,Adult Attachment Patterns,Mikulincer & Shaver,"""Attachment in Adulthood"" (2007)","Attachment researchers, therapists",Limited to attachment domain,Adult relationship patterns based on early development,"""Not strictly stage-based, but proposes:→Secure→Insecure (Anxious/Avoidant/Disorganized)→With potential for earned security through development"""
2018.0,Predictive Processing Framework,"Andy Clark, Karl Friston",Various papers since 2010,"Jakob Hohwy, Anil Seth","New framework, still developing","Brain as prediction machine, minimizing prediction error","""Not strictly stage-based, but proposes developmental progression:→1. Basic interoceptive predictions→2. Perceptual predictions→3. Conceptual predictions→4. Social predictions→5. Self-predictive models"""
2019.0,UTOK (Unified Theory of Knowledge),Gregg Henriques,"""A New Unified Theory of Psychology"" (2011), UTOK Project","Jordan Hall, John Vervaeke","New, limited critique so far",Unifying framework for psychology,"""1. Matter→2. Life→3. Mind→4. Culture (Tree of Knowledge System); Justification Hypothesis"""
