Expanded Historical Table (Hellenistic Judaism & Early Christianity),20.0,,,,,,,,,,,
Year(s),,,,Key Events,Political/Religious Impact,Evidence & Sources,Event Category,Group,Location,Occupation/Role,Extra Data,Type
95.0,CE,,,John exiled to Patmos; writes Revelation,"Identifies Domitian’s regime as the ""Beast"" (Rev 13:1–10)","Revelation 1:9, Irenaeus (AH 5.30.3), Tertullian (Apology 5)",Christian Exile,Christianity,Patmos/Ephesus,Prophet/Theologian,Traditional author of Gospel of John,Person
96.0,CE,,,Domitian assassinated; Nerva succeeds,"Fiscus Judaicus no longer enforced for Christians; ""apocalyptic"" pressure eases","Cassius Dio 68.1, Pliny (Letters 10.97 (Trajan’s policy)",Imperial Transition,Roman State,Rome,Emperor,"Began ""Five Good Emperors"" era",Event
100.0,CE,165.0,CE,Justin Martyr – Defended Christianity against pagan criticism,First major apologist; linked Logos to Christ (dialogue with Trypho),"First Apology, Dialogue with Trypho",Christian Apologetics,Christianity,Rome,Theologian,Martyred under Marcus Aurelius,Person
126.0,CE,202.0,CE,Irenaeus of Lyon – Fought Gnosticism; wrote Against Heresies,Established proto-orthodoxy; emphasized apostolic succession,"Against Heresies, Eusebius (HE 5.7–8)",Christian Theology,Christianity,Gaul (Lyon),Bishop,"Linked Gospels to four ""living creatures"" (Rev 4:7)",Person
130.0,CE,,,Trypho the Jew – Debated Justin Martyr,Exemplified Hellenistic Jewish critiques of Christianity,Justin Martyr (Dialogue with Trypho),Jewish-Christian Debate,Hellenic Jews,Ephesus?,Philosopher/Rabbi,Argued for Mosaic law’s permanence,Person
132.0,CE,135.0,CE,Bar Kokhba Revolt – Final Jewish uprising against Rome,"Judea renamed ""Syria Palaestina""; Jewish diaspora expanded","Dio Cassius (Roman History 69), Talmudic references",Jewish-Roman War,Jews,Judea,Political-Military Conflict,Led by Simon bar Kokhba (messianic claimant),Event
140.0,CE,220.0,CE,"Tertullian – Coined ""Trinity""; defended Montanism",Shaped Latin Christian vocabulary; later deemed heretic,"Apologeticus, Against Praxeas",Christian Theology,Christianity (Montanist),Carthage,Theologian,"""The blood of martyrs is seed [of the Church]""",Person
150.0,CE,235.0,CE,Origen of Alexandria – Wrote Hexapla; allegorical exegesis,Influenced Eastern theology; later condemned for subordinationism,"On First Principles, Eusebius (HE 6.2–3)",Christian Scholarship,Christianity,Alexandria/Caesarea,Scholar,Self-castration (literal/metaphorical?),Person
170.0,CE,236.0,CE,Hippolytus of Rome – First antipope; wrote on heresies,Highlighted early papal controversies; martyred under Maximinus Thrax,"Refutation of All Heresies, Apostolic Tradition",Church Schism,Christianity,Rome,Theologian/Antipope,Reconciled with Pope Pontian before death,Person
200.0,CE,258.0,CE,Cyprian of Carthage – Wrote On the Unity of the Church,"Advised ""no salvation outside the Church""; martyred under Valerian","Letters, On the Unity of the Church",Church Unity,Christianity,Carthage,Bishop,Disputed Pope Stephen on baptismal validity,Person
218.0,CE,222.0,CE,Elagabalus – Merged Sol Invictus with Judeo-Christian worship,Brief attempt to absorb Christianity into state cult,"Cassius Dio 80.11–15, Herodian 5.3",Imperial Syncretism,Roman Imperial,Rome,Emperor,Murdered in Praetorian coup,Person
235.0,CE,238.0,CE,Maximinus Thrax – Targeted Christian clergy,First systematic persecution (focused on leaders),"Eusebius (HE 6.28), Origen (Exhortation to Martyrdom)",Persecution,Roman Imperial,Empire-wide,Emperor,Killed by own troops,Person
249.0,CE,251.0,CE,Decius – Ordered universal sacrifice (libelli certificates),First empire-wide persecution; many Christians apostatized,"Cyprian (On the Lapsed), Eusebius (HE 6.39–42)",Empire-Wide Persecution,Roman Imperial,Empire-wide,Emperor,Died fighting Goths,Event
250.0,CE,300.0,CE,Acta Martyrum – Earliest accounts of Christian martyrs,Fragmentary but influential; shaped cult of saints,"Martyrdom of Polycarp, Acts of Perpetua and Felicity",Martyr Records,Early Christianity,Roman Empire,Hagiography,~500+ records (many legendary),Book
257.0,CE,260.0,CE,"Valerian – Executed Pope Sixtus II, Cyprian",Focused on clergy and wealthy Christians,"Cyprian (Letters 80), Eusebius (HE 7.10–12)",Targeted Persecution,Roman Imperial,Rome/Carthage,Emperor,Captured by Persians (humiliated),Person
260.0,CE,268.0,CE,Gallienus – Issued edicts of toleration,"Christianity temporarily legalized (40-year ""Little Peace"")","Eusebius (HE 7.13), Lactantius (On the Deaths of the Persecutors 6)",Toleration,Roman Imperial,Empire-wide,Emperor,Murdered by generals,Event
284.0,CE,305.0,CE,Diocletian – Destroyed churches; demanded apostasy,Last/largest persecution; ended with Constantine’s conversion,"Eusebius (HE 8.2–6), Lactantius (On the Deaths… 10–15)",Great Persecution,Roman Imperial,Empire-wide,Emperor,Abdicated (305 CE); died in retirement,Event
400.0,CE,,,Hieronymian Martyrology – Early saint calendar (attrib. Jerome),Standardized feast days; mixed history/legend,"Manuscript tradition (BHL), Quentin (Les Martyrologes historiques)",Martyrology,Catholic,Roman Empire,Liturgical Text,"~2,000 entries",Book
450.0,CE,550.0,CE,Syriac Martyrology – Early list of Eastern saints,Influenced Byzantine/Middle Eastern Christianity,"Wright (Syriac Literature), Fiey (Saints syriaques)",Syriac Tradition,Eastern Christianity,Syria/Mesopotamia,Liturgical Text,~500 entries,Book
600.0,CE,,,Gelasian Sacramentary – Early Roman liturgical prayers,Included martyr commemorations; precursor to modern missals,"Lowe (Codices Latini Antiquiores), Mohlberg (Liber Sacramentorum)",Liturgy,Catholic,Rome,Liturgical Text,"~1,200 prayers",Book
650.0,CE,,,Mozarabic Calendar – Saints of Visigothic Spain,Preserved Hispanic rite traditions,"Pinell (Liturgia hispánica), Janini (Manuscripts mozárabes)",Regional Saints,Catholic (Hispanic),Iberian Peninsula,Liturgical Text,~500+ entries,Book
750.0,CE,,,Martyrology of Bede – Early English saint list,Linked Anglo-Saxon church to Rome,"Colgrave (Bede’s Ecclesiastical History), Quentin (Martyrologes)",English Tradition,Catholic,Anglo-Saxon England,Liturgical Text,"~1,300 entries",Book
800.0,CE,,,Carolingian Martyrologies – Regional saint lists,Standardized under Charlemagne’s reforms,"Dubois (Martyrologes du Moyen Âge), McCulloh (Historical Martyrologies)",Frankish Compilations,Catholic,Frankish Empire,Liturgical Text,"~1,500 entries",Book
850.0,CE,,,Martyrology of Florus & Ado – Expanded earlier texts,Became medieval standard for Western saints,"Dubois (Martyrologe d’Adon), Delehaye (Commentarius perpetuus)",Scholarly Expansion,Catholic,France,Liturgical Text,"~2,000+ entries",Book
858.0,CE,,,Menologion of Basil II – Illustrated saint biographies,Imperial-sponsored consolidation of Greek tradition,"Halkin (Bibliotheca hagiographica graeca), Ševčenko (Menologion)",Byzantine Hagiography,Orthodox,Byzantine Empire,Liturgical Text,"~4,000+ entries",Book
900.0,CE,,,Byzantine Synaxarion – Daily saint calendar,Central to Eastern Orthodox worship,Delehaye (Synaxarium Ecclesiae Constantinopolitanae),Orthodox Liturgy,Orthodox,Constantinople,Liturgical Text,"~6,000+ entries",Book
1050.0,CE,,,Roman Martyrology (oldest form) – First official Catholic list,Codified veneration under papal authority,"Quentin (Martyrologes), Kelly (Oxford Dictionary of Popes)",Papal Standardization,Catholic,Rome,Liturgical Text,"~3,000+ entries",Book
1100.0,CE,,,Synaxarion of Constantinople – Updated Greek calendar,Added local saints and post-Schism figures,Ehrhard (Überlieferung der griechischen Literatur),Byzantine Expansion,Orthodox,Byzantine Empire,Liturgical Text,"~7,000+ entries",Book
1583.0,CE,,,Menaion (Slavic edition) – Monthly saint feasts,Reflected Russian Orthodox canonization practices,"Golubinskij (Istorija kanonizacii), Fedotov (Saints of Ancient Russia)",Slavic Tradition,Orthodox (Russian),Russia,Liturgical Text,"~8,000+ entries",Book
1584.0,CE,,,Revised Roman Martyrology (Gregory XIII),Post-Tridentine cleanup of legendary entries,"Baronio (Annales Ecclesiastici), Kelly (Oxford Dictionary)",Catholic Reform,Catholic,Rome,Liturgical Text,"~4,500+ entries",Book
1613.0,CE,,,Menologium Graecorum – Greek Orthodox saint list,Parallel to Catholic martyrologies,"Halkin (BHG), Delehaye (Synaxaires)",Greek Compilation,Orthodox,Greece,Liturgical Text,"~9,000+ entries",Book
1748.0,CE,,,Acta Sanctorum (Bollandists) – Critical edition of saints’ lives,Gold standard for historical hagiography,"Delehaye (Légendes hagiographiques), Analecta Bollandiana (journal)",Scholarly Hagiography,Catholic,Belgium,Scholarly Edition,"~25,000+ entries (unfinished)",Book
2001.0,CE,,,Martyrologium Romanum (updated edition),Removed dubious saints; added modern martyrs,"Vatican Press (2001), L’Osservatore Romano",Modern Revision,Catholic,Vatican,Liturgical Text,"~7,000+ entries",Book
2024.0,CE,,,Orthodox Synaxaria – National churches add new saints,Reflects decentralized canonization in Orthodoxy,"Various patriarchates (e.g., Greek, Russian)",Ongoing Tradition,Orthodox,Global,Liturgical Text,"~20,000+ entries (estimated)",Book
