Attribute,Greek,"Hindu, Rigvedic",Roman,Egyptian,Persian/Avestan/Zarathustrian,"Mahayana, Vajrayana Buddhism",Japanese Buddhist,Shinto,Theravadan Buddhism,Japanese Buddhism Counterpart(s),Maya,Armenian,Israelite,Islam,Canaanite,Celtic,Norse,Chinese,Guanche,Incan,Aztec,Native American,Irish,Jain,Slavic,Sumerian,African,Yoruba,
Protection,Anytos,Indra (protector),Anytos,"Many deities, including Ra,  Isis,  Horus,  Bes,  Tawaret",,"All Buddhas, Bodhisattvas, Dharmapalas, Dakinis",,Sarutahiko,"Buddhas,  Dharmapalas,  guardian spirits,  amulets and rituals","Shōmen Kongō,  Fudō Myōō,  various Wisdom Kings and guardian deities","Many deities, especially the Bacabs, Ixchel",,,,Baal,Dagda,Tyr,Zhong Kui,,Pachamama,Huitzilopochtli,,Nuada,,Svarog,Enlil,Ogun,"All Orishas,  but especially Ogun,  Shango,  and Eshu Elegbara",
Protector of Travelers & Children,Artemis,"Skanda (protector deity), Ganesha",Diana,"Wepwawet,  Anubis,  Bes,  Tawaret",,"Avalokiteshvara, Tara, Dharmapalas, Hariti, Kṣitigarbha",Jizō (Kṣitigarbha),Sarutahiko Ōkami,"Local guardian spirits,  devas associated with safe journeys,  Mae Kwan Yin","Jizō Bosatsu,  Kōshin,  Dōsojin",Ek Chuah,,,,,,,,,,,,,,,,,"Eshu Elegbara,  Ogun,  Oshun",
Rainbow,Iris,Indra,Arcus,"No direct equivalent, but perhaps associated with Nut or Isis",,"Dakinis,  bridge between realms",,,"Nagas,  bridge between realms","Ryūjin (dragon god, sometimes associated with rainbows)",Ixchel,,,,,,,,,,,,,,,,,"Oshun,  Oxumare (the rainbow serpent)",
Rebirth,Persephone,,Proserpina,"Osiris,  Ra (his daily journey through the sky and underworld)",,All Buddhas and Bodhisattvas (who guide beings through rebirth),Amida Nyorai (Amitabha),,"Governed by Karma,  Buddhas and Arahants have escaped the cycle of rebirth","The concept of reincarnation (samsara),  guided by karma","Ah Puch,  Itzamná",,,,,,,,,,,,,,,,,Reincarnation is a core belief in Yoruba religion,
Retribution,Nemesis,Kali (retribution),Invidia,"Ma'at,  Sekhmet,  Osiris (as judge of the dead)",,"Yama, Mara, Dharmapalas (as upholders of karmic law), Mahakala",,Takemikazuchi,"The law of Karma,  Yama,  hell guardians","Emma-Ō (king of hell),  the concept of karmic consequences","Cizin,  Ah Puch",,,,Mot,Morrigan,Fenrir,Hun Dun,,,Tezcatlipoca,,Nuada,,Svarog,Ereshkigal,Ogun,"Shango,  Ogun,  Eshu Elegbara",
Ritual Sacrifice,"Holokautein, thúesthai","Yajna, Homa, Havan",Holocaustum,"Offerings to the gods,  including food,  drink,  and incense",,Symbolic offerings in tantric practices,,,"Offerings to the Triple Gem,  devas,  and ancestors",Offerings made at temples and shrines,"Tohil,  Itzamná",Matagh,,,Korban,,Blót,,,Capacocha,Tlamanaliztli,,,,,,,Sacrifices are a common practice in Yoruba religion to honor the Orishas,
Sacrifice,,"Yajna, Agni",,,,"Offering practices,  self-sacrifice on the bodhisattva path",,,"Offerings,  acts of generosity and renunciation","Offerings to deities and Buddhas,  acts of selflessness and devotion","Tohil,  Itzamná",,,,,,,,,,Xipe Totec,,,,,,,"Animals,  food,  and other offerings to the Orishas",
"Sea, Ocean, Water","Poseidon, Amphitrite, Oceanus, Pontus, Amphitrite, Thalassa","Varuna, Varuni","Neptune, Thalassa, Pontus, Salacia","Nun,  Yemoja",,"Nagas, Varuna, local water deities, Tara (earth/sea)",,"Ryūjin, Susanoo, Watatsumi, Ryūjin","Nagas,  Varuna,  local water deities","Ryūjin,  Suijin (water deities),  various ocean and water spirits","Chaac,  Ixchel, God of the Sea",,,,"Yam, Astarte","Manannán, Danu","Njörðr, Mokoš","Gong Gong, Houtu",,Pachamama,"Chalchiuhtlicue, Tlaloc",Ran,"Manannán mac Lir, Danu",,"Svarog, Tiamat","Enki, Yemoja","Yemaya, Yemoja","Yemoja,  Olokun",
"Sky, thunder, lightning","Zeus, Uranus, Hermes (as storm messenger)","Indra, Dyaus (sky god)","Jupiter, Caelus","Nut,  Shu,  Tefnut,  Seth",,"Indra,  Vajrapani (Hercules), Vairocana (light), Vajrapani (thunder), Vaishravana",Raijin,"Ame-no-Minakanushi, Raijin, Takamimusubi (High Creator)","Indra,  Vayu,  Thagyamin, others","Raijin (god of thunder and lightning),  tengu (sometimes associated with storms)","Chaac,  Itzamná",Vahagn,,,"El, Baal","Lugh, Taranis","Thor, Baldur","Taiyang Shen, Lei Gong",,"Illapa, Inti","Tlaloc, Huitzilopochtli",Thunderbird,Taranis,,"Perun, Dazhbog","Ishkur, Anu","Ra, Shango",Shango,
"Sleep, dreams","Hypnos, Morpheus, Oneiroi (dreams)",Nidra (sleep),Somnus,"Serket,  Bes,  Thoth",,"Dakinis,  certain Dharmapalas, ",,"Baku, Izanami","Dream deities,  spirits that influence dreams","Yume-onna (dream woman),  Baku (dream-eating creature),  dreams as messages from the spiritual realm",No direct equivalent,,,,,,,,Xi Wangmu,Set (sleep),,,,,Morana,Nergal,Anansi,"No specific deity, but dreams are considered messages from the Orishas or ancestors",
Spring,Chloris,Vasanta (spring),Flora,"No direct equivalent, but associated with the flooding of the Nile and renewal",,"Growth and renewal aspects of nature deities,  Tara",,,Devas associated with growth and renewal,"No specific deity, but associated with renewal and rebirth","No direct equivalent, but related to rain",,,,Baal Haddad,Brigid,,Nüwa,,Pachamama,,,,,,,Yemaya,"Oshun,  associated with renewal and growth",
Stars,Asteria,Nakshatras (stars),Asteria,"Nut,  Sah,  Sopdet",,"Astrological deities,  Tara",,,Devas associated with stars and constellations,"Myōken Bosatsu,  various star deities",Itzamná,,,,Mot,Danu,Njord,Tai Shan,,Pachamama,Xiuhtecuhtli,,Nuada,,Svarog,Enki,Shango,"Orunmila,  associated with divination and knowledge of the cosmos",
Strength,"Atlas, Kratos, Bia",Hanuman (strength),Atlas,"Shu,  Sekhmet,  Horus,  Sobek",,"Vajrapani,  Acala,  Dharmapalas",,,"Vajrapani (though less prominent in Theravada),","Shōmen Kongō,  Fudō Myōō,  various Wisdom Kings and guardian deities","Zipacna,  Cabrakan",,,,,Ogma,Thor,Zhong Kui,,,,Kokopelli (strength),Nuada,,Perun,Enki,Ogun,"Ogun,  Shango",
"Sun, Light","Helios, Apollo (as sun god), Hyperion, Theia",Surya,"Sol, Apollo, Hyperion, Theia","Ra,  Horus,  Aten",,"Vairocana, Amitabha, Shamantabadhra, Surya, Tara","Dainichi Nyorai (Vairocana), Amida Nyorai (Amitabha)",Amaterasu-Ōmikami,"Surya (Sun God), the Buddha (metaphorically as ""the light of the world"")","Amaterasu,  Dainichi Nyorai",Kinich Ahau,Ar,,,Shapash,Lugh,"Sol, Baldur",Taiyang Shen,Magec,Inti,"Tonatiuh, Huitzilopochtli",,Lugh,,Dažbog,"Utu, Shamash",Ra,"Orunmila,  associated with knowledge and enlightenment",
Swords/Protection,"Ares, Athena (as protectors in war)",,,"No direct equivalent, but weapons and amulets were used for protection, and some deities were associated with them",,"Manjushri,  Wisdom Kings,  Dharmapalas",Fudō Myōō (Acala),Takemikazuchi,"No direct equivalent, but magical weapons and amulets are used for protection","Fudō Myōō (often depicted with a sword),  various weapons used in rituals and for protection",No direct equivalent,,,,,,,,,,,,,,,,,"Ogun,  associated with iron and weapons",
Time/Eternity,"Cronus, Chronos",Kala (time),"Saturn, Tempus","Heh,  Ra,  Osiris",,"Kalachakra,  Adi-Buddha,  Dharmakaya, Mara, Yama, Mahakala","Mara (time), Yama",Izanagi,"The concept of Samsara (cycle of rebirth),  the Buddha's teachings as timeless","Dainichi Nyorai,  the concept of timelessness in Zen Buddhism",Itzamná,,,,El,"Dagda, Lugh, Crom",Odin,"Yama, Shou Xing",,Pachamama,Xiuhtecuhtli,Kokopelli (time),Nuada,,"Morana, Rod, Hors",Enlil,Ogun,"Olodumare,  Orunmila (who can see the past, present, and future)",
Trickster chaos,"Hermes, Prometheus",Krishna (as trickster),,"Seth,  Apep",,"Ekajati,  certain Dharmapalas",,"Susanoo-no-Mikoto (Storm God, Trickster)","Mara, certain demons or nature spirits with mischievous qualities","Tengu,  Kitsune (fox spirits, can be tricksters)","Seven Macaw,  Wayob",,,,,Lugh,Loki,Sun Wukong,,,Tezcatlipoca,Coyote,Lugh,,,Enki,,Eshu Elegbara,
Underworld death,"Hades, Thanatos",Yama,Pluto,"Osiris,  Anubis,  Ammit",,"Yama,  hell realms",Enma (Yama),"Yama (adopted from Buddhism), Izanami","Yama,  hell realms","Emma-Ō,  Jigoku (hell realms)","Ah Puch,  Xibalba",,,,Mot,Donn,Hel,Yan Luo,Guayota,Supay,Mictlantecuhtli,,Donn,,Veles,Ereshkigal,,"Oya,  Iku",
Vengeance,Nemesis,,Ultio,"Sekhmet,  Ma'at (in her role as punisher of injustice),  sometimes Seth",,"Wrathful deities (in their role of subduing negativity),  Dharmapalas",,,"Not encouraged in Theravada,  focus on karma and avoiding harmful actions","Fudō Myōō (wrathful deity who subdues negativity),  but generally a focus on compassion and karmic consequences",Cizin,,,,,,,,,,,,,,,,,Shango,
Victory,Nike,,Victoria,"Horus,  Montu,  Sekhmet",,Dharmapalas (in their role of overcoming obstacles),,,"The Buddha's victory over Mara,  achieving enlightenment,  overcoming defilements","Bishamonten (one of the Shitennō, associated with victory),  achieving enlightenment",Hunahpu and Xbalanque,,,,,,,,,,,,,,,,,"Ogun,  Shango,  Orishas associated with overcoming challenges",
War/Destruction,"Ares, Athena, Enyo","Kartikeya, Kali (destruction)","Mars, Bellona","Seth,  Montu,  Sekhmet",,"Wrathful deities,  Dharmapalas,  certain worldly protectors, Vaishravana, Mahakala","Fudō Myōō, Bishamonten (Vaishravana)","Hachiman, Raijin","Devas associated with war (like Indra, though more as upholders of cosmic order),  destructive forces in nature","Hachiman (god of war),  Bishamonten,  various warrior deities","Seven Macaw,  Tohil, Buluc Chabtan",,,,"Anat, Baal",Morrigan,Tyr,"Guan Yu, Guan Di",,,Huitzilopochtli,,Morrigan,,Svetovid,Zababa,"Ogun, Shango","Ogun,  Shango,  Oya (in her destructive aspect)",
"Water, Sea, Fertility","Amphitrite, Poseidon",Saraswati,,"Nun,  Yemoja,  Tefnut,  Hapi",,"Nagas,  Varuna,  Tara,  local water deities, Saraswati",Benzaiten (Saraswati),"Benzaiten (also Shinto deity), Ryūjin, Watatsumi","Nagas,  Varuna,  local water deities,  Phra Mae Thorani (in her connection to water and the earth)","Ryūjin,  Suijin,  Benzaiten","Chaac,  Ixchel",,,,,,,,,,,,,,,,,"Yemoja,  Oshun,  Olokun",
Wealth,"Plutus, Hades (as wealth)","Lakshmi, Kubera (wealth)",Abundantia,"No specific deity, but wealth is associated with successful trade and abundance, perhaps symbolized by offerings to the gods",,"Kubera/Jambhala,  Vasudhara, Vaishravana (wealth deity)",Bishamonten (Vaishravana),"Daikokuten, Inari Ōkami","Kubera (Hindu deity sometimes incorporated),  Jambhala (in some traditions),  wealth deities,  achieved through generosity and good karma","Daikokuten,  Ebisu,  Benzaiten",Ek Chuah,,,,,,,Caishen,,,,,,,Dazhbog,,,"Oshun,  Aje Shalunga (Orisha of wealth and abundance)",
Wealth/Warriors,,,,"No direct equivalent, but warriors were often associated with specific deities (e.g., Montu,  Sekhmet)",,"Vaishravana, Kubera/Jambhala (wealth),  Vajrapani,  Acala (warriors)",Bishamonten (Vaishravana),Hachiman (War),"No direct equivalent, but wealth can be associated with kings and warriors who uphold righteousness",Bishamonten (warrior and protector of wealth),No direct equivalent,,,,,,,,,,,,,,,,,"Ogun (warrior),  Aje Shalunga (wealth)",
Wind,"Aeolus, Boreas, Notus, Eurus, Zephyrus, Anemoi",Vayu,"Aeolus, Venti","Shu,  Qeb-Hwt (god of the North Wind)",,"Vayu,  local wind deities",Fūten (Wind God),Fūjin (Wind God),Vayu (Wind God),Fuujin,"Pauahtun, Kukulkan (wind god)",,,,,Sulis,Njord,"Feng Po, Fengbo",,,Ehecatl,Four Winds,,,Stribog,Enlil,Oya,"Oya,  Aganju (Orisha of volcanoes, sometimes associated with wind)",
Wine/Madness,Dionysus,Soma (intoxication),Bacchus,"No direct equivalent, but excessive drinking was generally discouraged",,"Certain Dakinis associated with intoxication or unconventional behavior,  but generally negative connotations in Vajrayana",,,"Generally negative connotations,  associated with loss of control and hindrance to spiritual progress","No direct equivalent, but excessive drinking is seen as a hindrance to spiritual progress",Acan,,,,Mot,,Loki,,,,,Thunderbird,Lugh,,Svarog,Enki,Shango,"No direct equivalent, but excessive consumption of palm wine can be associated with loss of control and disruption",
Wisdom Kings (Wrathful Deities),,Shiva (Mahakala in some Buddhist traditions),,"No direct equivalent, but perhaps Seth,  Sekhmet,  and other deities in their wrathful aspects",,"Acala,  Trailokyavijaya,  Kundali,  Yamantaka,  Ucchusma,  Hayagriva, Vajrapani,  etc.","Fudō Myōō (Acala), Gundari Myōō",Susanoo-no-Mikoto (storm deity),"Less prominent in Theravada, but some Dharmapalas may have wrathful aspects","Shōmen Kongō,  Fudō Myōō,  Acala,  Gozanze Myōō,  etc.","No direct equivalent, but perhaps the Bolontiku",,,,,,,,,,,,,,,,,"Shango,  Ogun,  Oya (in their wrathful aspects)",
"Wisdom, Intelligence","Athena, Apollo, Metis",Saraswati,Minerva,"Thoth,  Sia,  Isis",,"Manjushri,  Avalokiteshvara,  Prajnaparamita","Jizō (protector and wisdom), Kannon (compassion and wisdom), Monju",Omoikane (wisdom),"Manjushri (though less prominent in Theravada),  devas associated with wisdom,  developed through meditation and study of the Dhamma","Manjushri,  Benzaiten",Itzamná,,,,Kothar,Brigid,,Wenchang,,,Quetzalcoatl,,Brigid,,,Enki,Orunmila,"Orunmila,  Obatala",
"Wisdom, War",Athena,Saraswati (wisdom),Minerva,"Thoth (wisdom and strategy),  Montu (war)",,"Manjushri (wisdom),  Wrathful deities,  Dharmapalas (war)",Monju (wisdom),Omoikane,"No direct equivalent, but wisdom is valued in leadership and skillful action,  and war is sometimes necessary to uphold righteousness",Hachiman (god of war who also embodies wisdom),Ix Chel,,,,Anat,Brigid,Freyja,"Zhong Kui, Nüwa",,,,,Medb,,Lada,Inanna,,"Ogun,  Orunmila (wisdom can be used in strategic warfare)",
Youth,Hebe,,Juventas,"Nefertem,  Ihy,  Khonsu (in his youthful aspect)",,"Certain youthful Bodhisattvas,  Dakinis,  figures like the celestial musicians (Gandharvas) who embody youthful energy,  the concept of youthful energy within the practice of Vajrayana",,,"Devas associated with youthfulness and beauty,  the potential for spiritual growth and development","Shōnen (youthful figures in Buddhist art),  the potential for spiritual growth and awakening",Xbalanque (one of the Hero Twins),,,,,,Iðunn,,,,,,,,,,,"Ibeji (twin deities),  representing youthful energy and potential",
North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South,Crios,Lakshmi (wealth),Crius,"No direct equivalent, but wealth is associated with successful trade and abundance",,"Ratnasambhava, Kubera/Jambhala (though associated with the North in other traditions)",Hōshō Nyorai (Ratnasambhava),"Inari Ōkami (fertility, agriculture)","No direct equivalent, but wealth is associated with merit and generosity","No direct equivalent, but wealth is associated with certain Shichifukujin (Seven Lucky Gods) like Daikokuten and Ebisu",No direct equivalent,,,,,,,,,,,,,,,,,"No direct equivalent, but wealth is associated with Oshun and good fortune",
East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underworld/Prison,Tartarus,Naraka (hell),Tartarus,"Duat,  Amenti",,Hell realms,Jigoku,Yomi,Naraka,Jigoku,Xibalba,,,,Mot,Morrigan,Hel,Diyu,,,Mictlan,,Arawn,Naraka,Nav,Irkalla,Guinee,"Orun (the realm of the ancestors),  not necessarily a place of punishment",
World Tree,"""Winged Oak"" (Pentemuchos)","Kalpavriksha, Ashvattha",,"Ished Tree (symbolizing life and resurrection), Djed pillar (representing stability and Osiris's spine)",,"No direct equivalent, but may be related to the central axis of mandalas or the concept of interconnectedness",,Sakaki,"No direct equivalent, but trees are often sacred and symbolize interconnectedness,  the Bodhi tree under which the Buddha attained enlightenment holds special significance","No direct equivalent, but trees are often sacred, and the Bodhi tree is significant in Buddhism","Yaxche, Ceiba tree",,,,,,Yggdrasil,Jianmu,,,Ceiba tree,,,Jambu tree,World Oak,,Iroko tree,"Iroko tree (sacred tree in Yoruba cosmology),  representing connection between heaven and earth",
Sacred Mountain,Mt. Olympus,"Mt. Meru, Mt. Kailash",Mt. Olymbos,"Many mountains were considered sacred,  especially those associated with specific deities",,"Mount Meru,  local sacred mountains",,,"Mount Meru,  local sacred mountains","Mount Hiei (associated with Tendai Buddhism),  Mount Kōya (associated with Shingon Buddhism),  various sacred mountains",Many mountains were considered sacred,Mt. Ararat,Mt. Hermon,,Mt. Zaphon,Croagh Patrick,Ymir's body,Kunlun Mountains,Teide,Machu Picchu,Coatepec,Black Hills,Croagh Patrick,Mt. Ashtapada,,,,"Olumo Rock,  other mountains considered sacred",
Sacred Stone/Pillar,Omphalos,"Shivalingam, Stambha (Shiva's cosmic fire pillar), Lingodbhava ",Umbilicus Mundi,"Djed pillar (representing stability and Osiris's spine), Obelisks,  benben stone",,"Stupas,  mani stones",,Iwakura,"Stupas,  boundary stones,  sacred objects","Stone lanterns,  memorial stones,  certain natural rock formations",Stelae,Visap Kar,"Asherah pole, Pillar of cloud and fire",,Massebot,Lia Fáil,Irminsul,,,Intihuatana,,,Lia Fáil,,,,,"Laterite stones,  shrines and altars",
Primordial Egg,Orphic Egg,Hiranyagarbha,Orphic Egg,Ogdoad (group of eight primordial deities),,Cittamani,,,No direct equivalent,No direct equivalent,,,,,,,,Hundun,,,,,,,Rod's Egg,,,No direct equivalent,
Divine Beings,"Theoi, Daimon",Deva,"Dei, Numina",The Netjeru (gods and goddesses),,"Buddhas, Bodhisattvas, Dharmapalas, Dakinis, Devas","Buddhas, Bodhisattvas",Kami,"Buddhas,  Pacceka Buddhas,  Arahants,  Devas, Nat","Buddhas,  Bodhisattvas,  kami (Shinto deities),  various spirits and deities",All deities,Dik',,,"El, Elohim",Tuatha Dé Danann,"Aesir, Vanir",Shen,,Huaca,Teotl,Manito,Tuatha Dé Danann,Tirthankara,Bogi,Anunnaki,Orisha,The Orishas,
Wrathful Guardians,Erinyes (Furies),Kali (as a fierce guardian),Eumenides,"Uraeus (Winged Cobra), Sekhmet,  Bes, Tawaret (in their protective aspects)",,"Yamantaka, Vajrayaksha, Wisdom Kings,  Dharmapalas (especially those with fierce forms),  Dakinis (especially those with wrathful aspects)","Kongō-Yasha Myōō (Vajrayaksha), Daiitoku Myōō",Susanoo-no-Mikoto,"Dharmapalas with fierce aspects,  local guardian spirits with protective powers,  sometimes incorporating elements from Hindu and folk traditions (e.g.,  Yakkhas,  giant guardians)","Wisdom Kings,  Nio (temple guardians),  various wrathful deities and protective spirits","Bolontiku,  Wayob",,Seraphim (Fiery Serpent),ḥamlat al-arsh,,,,,,,,,,,,,,"Eshu Elegbara,  Shango,  Ogun,  Oya (in their protective and fierce aspects)",
Celestial Deities (Buddhas),,,,,,,,,,,,,Seraphim (Fiery Serpent),ḥamlat al-arsh,,,,,,,,,,,,,,,
Fruit of Immortality,"Golden Apple of Æspærídæs (Mílon, Μῆλον)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
