1939-1958 CE,Pontificate of Pius XII,Vatican,Pope Pius XII,Various wartime statements and encyclicals,"Controversial papacy during World War II and the Holocaust, criticized for insufficient public opposition to Nazi atrocities.",,,,,,,,,,,,,,,,,,,,
1940-1945 CE,Holocaust,Nazi-occupied Europe,Nazi authorities,Various Nazi decrees,"Genocide of six million Jews and millions of others, raised questions about the response of Christian churches to antisemitism.",,,,,,,,,,,,,,,,,,,,
1942 CE,Christmas message of Pius XII,Vatican,Pope Pius XII,Christmas radio address,Ambiguous reference to victims of war interpreted by some as insufficient condemnation of the Holocaust.,,,,,,,,,,,,,,,,,,,,
1945 CE,End of World War II,"Europe, Pacific",Various leaders,None,"Defeat of Nazi Germany and Imperial Japan, beginning of reckoning with religious complicity in fascism.",,,,,,,,,,,,,,,,,,,,
1948 CE,Declaration of the State of Israel,Israel/Palestine,David Ben-Gurion,Declaration of Independence,"Establishment of Jewish state, challenging traditional Catholic anti-Zionism and theology regarding the Jewish people.",,,,,,,,,,,,,,,,,,,,
1950 CE,Assumption dogma,Catholic world,Pope Pius XII,Munificentissimus Deus,Exercise of papal infallibility to define the dogma of Mary's bodily assumption into heaven.,,,,,,,,,,,,,,,,,,,,
1953 CE,"First ""Stalinist"" show trials in Eastern Europe",Czechoslovakia,Communist authorities,None,"Political trials with similarities to inquisitorial procedures, targeting Catholic clergy among others.",,,,,,,,,,,,,,,,,,,,
1959 CE,Announcement of Second Vatican Council,Vatican,Pope John XXIII,None,"Surprising announcement of a council to ""open the windows"" of the Church to the modern world.",,,,,,,,,,,,,,,,,,,,
1962-1965 CE,Second Vatican Council,Vatican,"Pope John XXIII, Pope Paul VI",Various council documents including Dignitatis Humanae,"Council that modernized Catholic practices and explicitly endorsed religious freedom, marking historic shift from inquisitorial attitudes.",,,,,,,,,,,,,,,,,,,,
1965 CE,Declaration on Religious Freedom,Vatican,Pope Paul VI,Dignitatis Humanae,"Vatican II document affirming the right to religious freedom, repudiating centuries of Catholic teaching on religious coer",,,,,,,,,,,,,,,,,,,,
