Date/Period,Culture/Tradition,Event/Myth/Legend,Key Details,Primary Sources,Secondary Sources
500-1000 CE,Persian/Islamic,Kay Kāvus's Flight,"King Kay Kāvus, seeking to conquer the heavens, attaches eagles to his throne. The eagles carry him high into the sky, but eventually tire and descend uncontrollably. The king crashes in China (or elsewhere in the east) and must be rescued by his hero Rostam.","Ferdowsi, Shahnameh (Book of Kings, 10th century CE): ""The sovereign ordered his craftsmen to seek out an ingenious means of ascending into the heavens... Four strong eagles were bound to a throne, and a leg of lamb was tied on a spear before each eagle, beyond its reach. As they struggled to reach the meat, they bore the throne aloft... When the birds grew tired, they turned back down, carrying the king with them. They descended in a forest in the land of Chin, far from their starting place.""","Davis, D. (2007). Shahnameh: The Persian Book of Kings; Davidson, O.M. (1994). Poet and Hero in the Persian Book of Kings"
700-1000 CE,Japanese,Tsukuyomi's Exile,"Moon deity Tsukuyomi is banished from heaven by his sister Amaterasu for killing Uke Mochi (food goddess). Not quite a fall, but represents divine exile from higher realms for violating proper order.","Nihon Shoki (Chronicles of Japan, 720 CE): ""Therefore Amaterasu no Omikami was enraged at Tsukuyomi no Mikoto and said, 'Thou art a wicked deity. I cannot bear to look upon thee face to face.' So they were separated by day and night.""","Aston, W.G. (1896). Nihongi: Chronicles of Japan from the Earliest Times to A.D. 697; Philippi, D.L. (1968). Kojiki"
850-950 CE,Islamic,Nimrod's Flight Attempt,"King Nimrod, defying Allah, builds a box with four vultures (or eagles) attached to spears with meat suspended above them. The birds fly upward seeking the meat, carrying Nimrod's box to great height before tiring and crashing.","Al-Tabari, History of Prophets and Kings (early 10th century CE): ""He [Nimrod] took Ibrahim [Abraham] and imprisoned him, then took four eaglets and raised them until they grew strong. He withheld food from them until they became ravenous. Then he constructed a wooden box and placed Ibrahim inside it. He tied the legs of the eagles to the four corners of the box and raised pieces of meat on sticks above their heads. The eagles flew upward, attempting to reach the meat, and carried the box with them... When Nimrod rose to a great height in the sky, he looked down and saw that the earth appeared no larger than an egg. He became frightened and dropped the sticks with the meat... The eagles followed the meat downward, and the box crashed to earth.""","Wheeler, B.M. (2002). Prophets in the Quran: An Introduction to the Quran and Muslim Exegesis; Knappert, J. (1985). Islamic Legends: Histories of the Heroes, Saints, and Prophets of Islam"
1000-1200 CE,Norse,Fall of Loki,"Though not exactly an Icarus tale, Loki's binding and punishment after his many transgressions against the gods represents the theme of punishment for overreaching against divine order.","Poetic Edda, Lokasenna and Gylfaginning: After insulting the gods, ""Then Loki was taken truceless, and was brought to a certain cave. Thereupon they took three flat stones, and set them on edge and bored a hole in each stone. Then were taken Loki's sons, Váli and Nari or Narfi; the Æsir changed Váli into the form of a wolf, and he tore asunder Narfi his brother. And the Æsir took his entrails and bound Loki with them over the three stones...""","Orchard, A. (1997). Dictionary of Norse Myth and Legend; Turville-Petre, E.O.G. (1964). Myth and Religion of the North"
1200-1700 CE,West African/Yoruba,Oba Koso (Shango) Legend,"Shango, a deified king of the Oyo Empire, attempts forbidden magic that backfires. In some versions, he ascends to the sky on a chain and becomes a thunder deity; in others, he hangs himself after his magic destroys his own palace.","Oral traditions collected in Samuel Johnson's History of the Yorubas (compiled 1880s, published 1921): ""Shango was said to have lately discovered a charm by which he could attract lightning. He was very fond of displaying his magical powers... but one day he inadvertently caused lightning to strike his own palace, destroying it and several of his wives and children... He then left the city in shame and hanged himself... His friends, finding his body, exclaimed 'The king has become an Orisha (deity)!'""","Beier, U. (1980). Yoruba Myths; Law, R. (1977). The Oyo Empire c. 1600-c. 1836: A West African Imperialism in the Era of the Atlantic Slave Trade"
1300-1900 CE,Polynesian,Māui's Failed Immortality,"Māui, trickster hero, attempts to gain immortality by reversing the birth process – entering the sleeping goddess of death Hine-nui-te-pō through her vagina to emerge from her mouth. When birds laugh at the sight, she awakens and crushes him with her obsidian teeth.","Collected oral traditions in Grey's Polynesian Mythology (1855): ""Māui transformed himself into the exact likeness of a kōkako bird... '[I seek] to win immortality for men. I will enter this old lady [Hine-nui-te-pō], pass through her, and she will die.' His friends replied, 'She will kill you!'... Māui crept into the house and approached the sleeping goddess... As he entered her body, the fantail could not control himself and burst out laughing. The old lady awoke, closed her legs tightly together, and cut the hero in two.""","Buck, P.H. (Te Rangi Hiroa) (1949). The Coming of the Maori; Luomala, K. (1949). Maui-of-a-Thousand-Tricks"
1400-1700 CE,Pre-Columbian Mexican,Tezcatlipoca's Fall,"After the destruction of the First Sun, Tezcatlipoca transformed into a jaguar to become the Second Sun. Quetzalcoatl struck him from the sky with his staff, causing him to fall to earth, ending his celestial reign.","Codex Chimalpopoca/Annals of Cuauhtitlán (16th century record of pre-Columbian tradition): ""The First Sun was called 4 Jaguar... and Tezcatlipoca was the sun at that time... Quetzalcoatl struck him with his staff, and Tezcatlipoca fell into the water. He transformed himself into a jaguar and emerged to devour the giants."" Histoyre du Mechique: ""Then Quetzalcoatl took a great staff and with it struck Tezcatlipoca, causing him to fall into the water. There, he became a tiger [jaguar] and emerged to devour the giants.""","León-Portilla, M. (1963). Aztec Thought and Culture; Miller, M. & Taube, K. (1993). The Gods and Symbols of Ancient Mexico and the Maya"
1400-1700 CE,Inuit,Igaluk (Moon Spirit),"A man named Igaluk pursued his sister (who became the sun). He flew too high, scorched his face, and became the moon, with a permanently blackened face. The story explains why the moon's face has dark spots.","Oral tradition recorded by Franz Boas in The Central Eskimo (1888): ""An orphan boy who was mistreated by the inhabitants of the village became the moon, while his sister became the sun. When he chased her into the sky, his torch smoked and blackened his face, which is why the moon is dark and spotted.""","Boas, F. (1901). The Eskimo of Baffin Land and Hudson Bay; Norman, H. (1990). Northern Tales: Traditional Stories of Eskimo and Indian Peoples"
1500-1900 CE,Maori,Tawhaki's Ascent,"Ancestor-hero Tawhaki climbs to the heavens on a vine. In some versions he succeeds and remains a sky deity; in others, relatives cut the vine, causing him to fall and either die or become disabled.","Oral tradition recorded by Grey in Polynesian Mythology (1855): ""Tawhaki and his brother sought to avenge their father's death. Tawhaki then took his daughter as his wife, and he built a house which was completed, and then he gave the finishing stroke to the window of his house, and in doing this, he chanted an incantation... he climbed up into heaven and visited Rehua, and then descended again to this earth."" Other versions in White, Ancient History of the Maori (1887-1891) have him falling.","Alpers, A. (1964). Maori Myths and Tribal Legends; Orbell, M. (1995). The Illustrated Encyclopedia of Maori Myth and Legend"
1500-1900 CE,Native American (Hopi),Palulukang's Fall,"The Great Horned Water Serpent (Palulukang) attempts to fly to the sun but falls to earth when his borrowed plumage catches fire, creating a great crater. This explains geological features in the American Southwest.","Oral tradition collected by Alexander M. Stephen (1880s-1890s): ""When Palulukang borrowed plumage from the birds to fly to the sun, he soared too high. The heat ignited his wings, and he fell back to earth, creating the crater where he struck the ground.""","Waters, F. (1963). Book of the Hopi; Courlander, H. (1971). The Fourth World of the Hopi"
1700-1900 CE,Norse/Faroese,Loka Táttur,"A late variant of Loki tales in which the trickster god captures and rides a giant bird (eagle/vulture). The wild ride lacks control and ends with a crash, though Loki survives.",Oral tradition documented in Hammershaimb's Færöiske Kvæder (1851),"Kershaw, K. (2000). The One-eyed God: Odin and the (Indo-)Germanic Männerbünde; Simpson, J. (1979). Everyday Life in the Viking Age"
1800-1900 CE,Native American (Cherokee),Burnt Man Legend,"A medicine man attempts to fly to the Upper World using tobacco smoke and powerful spells. He rises toward the sun, but the heat burns him terribly, and he falls back to earth. His knowledge of healing burns is the compensation for his failure.","Oral tradition recorded by James Mooney in Myths of the Cherokee (1900): ""A conjurer who was very proud of his powers wanted to find new magic by reaching the Upper World. He fasted and prayed for seven days, then made a powerful smoke from tobacco and other herbs... Rising on the smoke, he flew higher and higher toward the sun. But as he approached, the heat became unbearable and his skin began to scorch and blister. He fell back to earth, badly burned but with new knowledge of how to heal burns, which he shared with the people.""","Mooney, J. (1900). Myths of the Cherokee; Hudson, C. (1976). The Southeastern Indians"
1850-1950 CE,Tibetan,Milarepa's Disciple,"A disciple of the yogi Milarepa, envious of his master's ability to fly, attempts the feat without proper spiritual preparation. He leaps from a cliff expecting to soar but falls to his death.","Oral tradition recorded in The Life of Milarepa (Evans-Wentz translation, 1928): ""Seeing Milarepa sitting in meditation on a rock seemingly suspended in air, one disciple thought, 'I too can do this.' Without the realization that comes from years of practice, he leapt from the cliff edge, thinking his faith alone would keep him aloft. He fell to the valley floor and perished.""","Evans-Wentz, W.Y. (1928). Tibet's Great Yogi Milarepa; Lhalungpa, L.P. (1977). The Life of Milarepa"
,,,,,
Date/Period,Culture/Tradition,Event/Myth/Legend,Key Details,Primary Sources,Secondary Sources
3500-2500 BCE,Mesopotamian,Inanna and the Huluppu Tree,"Inanna (Ishtar) rescues a huluppu-tree from the Euphrates and plants it in her garden, intending to make a throne from it. The tree becomes inhabited by three beings: the snake, the Anzu-bird, and the demon Lilith. Gilgamesh helps by killing the snake, driving away the others, and cutting down the tree to make Inanna's throne and bed.","""Gilgamesh, Enkidu, and the Netherworld"" (Sumerian poem): ""A serpent who could not be charmed made its nest in the roots of the tree, the Anzu bird set its young in the branches of the tree, and the dark maid Lilith built her home in the trunk... Gilgamesh, who had heard of his sister's troubles, came to her aid. He strapped his belt of eight talents to his waist... He killed the serpent who could not be charmed living in the roots of the tree. The Anzu bird flew with his young to the mountains; the dark maid Lilith destroyed her home and fled to the wild, uninhabited places. The heroes cut down the tree...""","Wolkstein, D. & Kramer, S.N. (1983). Inanna, Queen of Heaven and Earth: Her Stories and Hymns from Sumer; Dalley, S. (2000). Myths from Mesopotamia"
2500-1500 BCE,Proto-Indo-European,Cosmic Tree Cutting,"Reconstructed myth: a divine twin or storm god cuts down a cosmic tree guarded by a serpent, releasing waters and creating the world's rivers. This pattern appears across Indo-European cultures with variations.",Reconstructed from comparative mythology; no direct textual evidence,"Mallory, J.P. & Adams, D.Q. (2006). The Oxford Introduction to Proto-Indo-European and the Proto-Indo-European World; Lincoln, B. (1991). Death, War, and Sacrifice: Studies in Ideology and Practice"
2000-1200 BCE,Vedic (Indo-Aryan),Indra and the Cosmic Tree,"Indra, wielding his vajra (thunderbolt), cuts or splits apart a cosmic tree or mountain guarded by the serpent Vritra, releasing the waters that had been withheld, allowing rivers to flow and life to flourish.","Rigveda 1.32: ""Indra slew the Dragon, then disclosed the waters, and cleft the channels of the mountain torrents. He slew the Dragon lying on the mountain... Vritra, the encompasser, was his victim. Like bellowing kine the waters flowing swiftly have gone down to the sea.""; Rigveda 10.10.6-7","Macdonell, A.A. (1897). Vedic Mythology; Witzel, M. (2012). The Origins of the World's Mythologies"
1500-1200 BCE,Hindu,Sacrifice of Cosmic Purusha,"The primordial cosmic being (Purusha) is sacrificially dismembered to create the world. While not specifically a tree, this represents the cosmogonic division of unity that parallels world-tree cutting myths.","Rigveda 10.90: ""When they divided Purusha, in how many different portions did they arrange him? What became of his mouth, what of his arms, what were his two thighs and his two feet called? His mouth became the Brahman, his arms were made into the Warrior, his thighs became the Cultivator, from his feet the Servant was born...""","Jamison, S.W. & Brereton, J.P. (2014). The Rigveda: The Earliest Religious Poetry of India; O'Flaherty, W.D. (1981). The Rig Veda: An Anthology"
1500-700 BCE,Norse (Proto-Germanic),Yggdrasil,"Yggdrasil is the cosmic world tree that connects the nine worlds of Norse cosmology. Its branches extend into the heavens, its trunk stands in Midgard (the world of humans), and its three roots reach into Asgard (realm of the Aesir gods), Jotunheim (land of giants), and Niflheim (world of ice and mist). The tree is constantly under attack - the serpent Níðhöggr gnaws at its roots, while four stags feed on its foliage. Odin hung himself from Yggdrasil for nine days to gain wisdom and the knowledge of runes.","Poetic Edda (particularly Völuspá and Grímnismál): ""I know that an ash-tree stands called Yggdrasil, a high tree, soaked with shining loam; from there come the dews which fall in the valley, ever green, it stands over the well of fate."" (Völuspá); Prose Edda by Snorri Sturluson","Davidson, H.R.E. (1964). Gods and Myths of Northern Europe; Lindow, J. (2001). Norse Mythology: A Guide to the Gods, Heroes, Rituals, and Beliefs"
1200-800 BCE,Greek,Zeus and the Sacred Oaks of Dodona,"The sacred oak grove at Dodona was believed to be Zeus's oracle, where the rustling of leaves communicated divine messages. While not a world tree myth per se, it represents the divine connection between trees and cosmic order in Greek tradition.","Homer's Iliad (16.233-5): ""Zeus, lord of Dodona... you who hold wintry Dodona in your sway, where your prophets the Selloi dwell around you with unwashed feet and who sleep on the ground""; Odyssey (14.327-30); Hesiod's fragments","Parke, H.W. (1967). The Oracles of Zeus: Dodona, Olympia, Ammon; Burkert, W. (1985). Greek Religion"
800-200 BCE,Chinese,The Fusang/Jianmu Trees,Fusang is a divine mulberry tree in the East where ten suns were said to rest (one sun would journey across the sky each day). Jianmu was a massive cosmic tree connecting heaven and earth. These sacred trees formed part of the cosmological geography of ancient China.,"Shanhaijing (Classic of Mountains and Seas, 4th-1st century BCE): ""Beyond the southeastern sea, in the midst of the waters, there is the mountain called Dutian. On its summit there is a huge peach tree which twists and twines for 3,000 li. To the northeast, its branches form the Door of the Gods.""","Birrell, A. (1993). Chinese Mythology: An Introduction; Allan, S. (1991). The Shape of the Turtle: Myth, Art, and Cosmos in Early China"
600-200 BCE,Persian/Zoroastrian,Gaokerena (White Haoma),"The sacred Haoma tree grows in the cosmic ocean. It is the tree of life and immortality, protected by the fish Kara against the evil lizard Ahriman who tries to destroy it. The White Haoma will be used to prepare the final sacred drink that will give immortality to the resurrected dead.","Bundahishn (Greater Bundahishn 18.1-2): ""Regarding the Gokart tree they say, 'It was the first day when the tree they call Gokart grew in the deep mud within the wide-formed ocean... On it the plant was created which they call the White Haoma, the healing and undefiled, for keeping away decrepitude... for the renovation of the universe they prepare its immortality therefrom.'""","Lincoln, B. (1991). Death, War, and Sacrifice: Studies in Ideology and Practice; Boyce, M. (1975). A History of Zoroastrianism, Vol. 1"
500 BCE-500 CE,Celtic,Sacred Oak Groves,"Celtic druids held oak trees as sacred, especially when bearing mistletoe. Oak groves were centers of religious ceremonies and cosmic wisdom. The oak represented an axis connecting the underworld, earth, and heavens.","Pliny the Elder's Natural History (16.95): ""The druids—for so their magicians are called—hold nothing more sacred than the mistletoe and the tree that bears it, always supposing that tree to be the oak.""","Green, M. (1992). Dictionary of Celtic Myth and Legend; Davidson, H.R.E. (1988). Myths and Symbols in Pagan Europe: Early Scandinavian and Celtic Religions"
300 BCE-200 CE,Maya,Yaxche (World Tree/Ceiba),"The Yaxche or Ceiba tree was considered a world tree connecting the underworld (Xibalba), the earthly realm, and the heavens. Its roots extend into the underworld, its trunk stands on earth, and its branches reach into heaven. The Milky Way was often conceptualized as this cosmic tree.","Dresden Codex; Madrid Codex; iconography from various temples, particularly at Palenque","Freidel, D., Schele, L., & Parker, J. (1993). Maya Cosmos: Three Thousand Years on the Shaman's Path; Taube, K.A. (1994). The Birth Vase: Natal Imagery in Ancient Maya Myth and Ritual"
200-600 CE,Buddhist,Bodhi Tree,"The sacred fig tree (Ficus religiosa) under which Siddhartha Gautama achieved enlightenment and became Buddha. While not a world tree in the cosmological sense, it represents the axis of spiritual enlightenment and cosmic understanding.","Jataka Tales; Lalitavistara Sutra: ""The Bodhisattva approached the seat of awakening... He sat cross-legged at the foot of the great king of trees, his mind made up with the vow: 'I shall not move from this posture on this seat until I have attained full enlightenment.'""","Coomaraswamy, A.K. (1935). Elements of Buddhist Iconography; Strong, J.S. (2001). The Buddha: A Short Biography"
400-1000 CE,Germanic,Irminsul,"The Irminsul was a sacred pillar or tree trunk venerated by the Saxon peoples, likely representing a world tree similar to Yggdrasil. It was described as a ""universal column"" supporting the cosmos. Charlemagne destroyed the most famous Irminsul in 772 CE.","Royal Frankish Annals for the year 772: ""...and he [Charlemagne] pressed on to Eresburg, captured the fortress, and proceeded to the Irminsul, destroyed this grove, their national shrine, and carried away the gold and silver which he found.""; Rudolf of Fulda's ""Translatio Sancti Alexandri""","Simek, R. (1993). Dictionary of Northern Mythology; Davidson, H.R.E. (1964). Gods and Myths of Northern Europe"
600-1000 CE,Mesoamerican/Aztec,Tamoanchan Tree,"A cosmic tree representing the center of the universe where creation began. When the tree was broken, the gods were expelled from the paradise of Tamoanchan. The tree continues to connect the thirteen heavens and nine underworlds with the earthly realm.",Codex Borgia; Codex Borbonicus; Post-conquest accounts like Florentine Codex,"Carrasco, D. (1990). Religions of Mesoamerica: Cosmovision and Ceremonial Centers; López Austin, A. (1997). Tamoanchan, Tlalocan: Places of Mist"
700-1500 CE,Slavic,World Oak/Axis Mundi,"A cosmic tree (usually an oak) connecting the three levels of the universe: the roots reach into the underworld, the trunk stands in the human world, and the branches extend into the heavens where birds/gods reside. Often associated with Perun, the thunder god.",Folk songs and tales; archaeological evidence from temple sites; reconstruction from comparative mythology,"Zaroff, R. (1999). ""Organized Pagan Cult in Kievan Rus"": The Invention of Foreign Elite or Evolution of Local Tradition?""; Jakobson, R. & Ružičić, G. (1950). The Serbian Zmaj Ognjeni Vuk and the Russian Vseslav Epos"
1000-1600 CE,Baltic,Austras Koks (Tree of Dawn),"The cosmic tree through which the sun, moon, and stars climb. In Latvian mythology, this tree (often depicted as an oak, linden, or birch) was understood as the axis mundi connecting the three worlds. Some versions say it has copper roots, silver trunk, and golden branches.","Latvian and Lithuanian folk songs (dainas): ""Where did the Sun go to sleep at night? Beyond the silver mountain, in the golden oak""; folk art and textile patterns","Gimbutas, M. (1963). The Balts; Vīķe-Freiberga, V. (1989). ""The Mythological Moon in Latvian Folk Poetry."""
1200-1600 CE,Siberian/Mongol Shamanic,World Tree/Shaman's Tree,"In Siberian shamanic traditions, particularly among groups like the Yakut and Buryat, the World Tree (Tuuru) acts as a cosmic pillar connecting sky, earth, and underworld. Shamans use this tree as a pathway for spiritual journeys between realms.",Shamanic songs and ritual practices documented in ethnographic studies,"Eliade, M. (1964). Shamanism: Archaic Techniques of Ecstasy; Holmberg, U. (1927). The Mythology of All Races: Finno-Ugric, Siberian"
1200-1900 CE,Indigenous North American,Sacred Cedar/Cosmic Tree,"Among various Native American traditions, particularly in the Pacific Northwest, the Cedar tree was conceived as a world axis, connecting the spirit world with the human world. In the Navajo tradition, there are accounts of emergence through a hollow reed from lower worlds.",Oral traditions; ceremonial objects; post-contact ethnographic accounts,"Erdoes, R. & Ortiz, A. (1984). American Indian Myths and Legends; Beck, P.V. & Walters, A.L. (1977). The Sacred: Ways of Knowledge, Sources of Life"
1300-1800 CE,Hindu/Yogic,Chakra System as Cosmic Tree,"The subtle energy system in yogic traditions conceptualizes the spinal column as a cosmic axis (sometimes called Merudanda) with the chakras as lotus flowers blooming along it. Kundalini energy rises from the base through this central channel to the crown, mirroring cosmic tree imagery.",Sat-Cakra-Nirupana (16th century); Upanishads; Tantric texts; Hatha Yoga Pradipika,"White, D.G. (1996). The Alchemical Body: Siddha Traditions in Medieval India; Flood, G. (2006). The Tantric Body: The Secret Tradition of Hindu Religion"
,,,,,
Date/Period,Culture/Tradition,Event/Myth/Legend,Key Details,Primary Sources,Secondary Sources
2100-1600 BCE,Mesopotamian/Sumerian,Epic of Atrahasis,"Atrahasis (""exceedingly wise"") is warned by the god Enki about the other gods' plan to destroy humanity with a flood. Enki instructs Atrahasis to build a boat to save himself, his family, craftsmen, and animals. After the flood recedes, Atrahasis offers sacrifices, and the gods establish new rules for human reproduction to prevent overpopulation.","Atrahasis tablets from Old Babylonian period: ""Wall, listen to me! Reed wall, pay attention to all my words! Destroy your house, build a boat; Reject possessions, and save living beings.""","Lambert, W.G. & Millard, A.R. (1969). Atra-Hasis: The Babylonian Story of the Flood; Chen, Y.S. (2013). The Primeval Flood Catastrophe: Origins and Early Development in Mesopotamian Traditions"
1900-1700 BCE,Mesopotamian/Babylonian,Epic of Gilgamesh (Flood Tablet),"Utnapishtim tells Gilgamesh how the god Ea warned him of the coming flood. He built a square boat, loaded it with gold, family, animals, and craftsmen. After the flood, his boat landed on Mount Nimush. He released birds to find land, and eventually, the gods granted him immortality.","Tablet XI of the Epic of Gilgamesh: ""Tear down your house and build a boat, abandon possessions and look for life, despise worldly goods and save your soul alive. Tear down your house, I say, and build a boat... animals of the field, the wild creatures of the field... I loaded into her.""","George, A.R. (2003). The Babylonian Gilgamesh Epic: Introduction, Critical Edition and Cuneiform Texts; Foster, B.R. (2001). The Epic of Gilgamesh"
1500-400 BCE,Hebrew/Biblical,Noah's Flood,"God, seeing the wickedness of humanity, decides to destroy all life with a flood but instructs the righteous Noah to build an ark. Noah, his family, and pairs of all animals board the ark. After 40 days of rain, the earth is flooded. When waters recede, Noah releases birds, and eventually, the ark rests on the mountains of Ararat. God establishes a covenant with Noah, promising never again to destroy the earth by flood.","Genesis 6-9: ""So God said to Noah, 'I am going to put an end to all people, for the earth is filled with violence because of them... So make yourself an ark of cypress wood; make rooms in it and coat it with pitch inside and out... I am going to bring floodwaters on the earth to destroy all life under the heavens...'""","Cohn, N. (1996). Noah's Flood: The Genesis Story in Western Thought; Dundes, A. (ed.) (1988). The Flood Myth"
800-200 BCE,Greek,Deucalion and Pyrrha,"Zeus decides to end the Bronze Age with a deluge. Prometheus warns his son Deucalion, who builds an ark with his wife Pyrrha. After floating for nine days, they land on Mount Parnassus. Following the advice of the oracle of Themis, they repopulate the earth by throwing ""the bones of your mother"" (stones from Earth) over their shoulders, which transform into humans.","Apollodorus, The Library, 1.7.2: ""Prometheus had a son Deucalion... Zeus decided to destroy the men of the Bronze Age. On Prometheus' advice, Deucalion built an ark, stocked it with provisions, and embarked with Pyrrha. Zeus sent a great rain... Floating in the ark for nine days and nights, Deucalion came to rest on Parnassus.""; Ovid's Metamorphoses, Book I","Guthrie, W.K.C. (1957). The Greeks and Their Gods; Hard, R. (2004). The Routledge Handbook of Greek Mythology"
600-200 BCE,Hindu/Vedic,Manu and the Fish (Matsya Purana),"Manu, a righteous man, saves a small fish that grows enormous (revealed as the god Vishnu in fish form). The fish warns Manu of an impending deluge and instructs him to build a ship. When the flood comes, the fish guides Manu's vessel to safety by having Manu tie it to his horn. After the waters recede, Manu performs a sacrifice from which a woman emerges, and together they repopulate the earth.","Shatapatha Brahmana 1.8.1: ""In the morning they brought to Manu water for washing... In this he found a fish... It said to him, 'Rear me, I will save thee!' 'From what wilt thou save me?' 'A flood will carry away all these creatures: from that I will save thee!'""; Matsya Purana; Mahabharata (Vana Parva)","Klostermaier, K.K. (2007). A Survey of Hinduism; Doniger, W. (2010). The Hindus: An Alternative History"
200 BCE-200 CE,Chinese,Gun-Yu (The Great Flood),"Rather than a single catastrophic event, the Chinese flood myth describes a prolonged flooding controlled by the engineer Yu. After his father Gun fails to control the waters, Yu spends 13 years dredging canals to channel water back to the sea, organizing the landscape and making civilization possible. Yu is later made emperor for his service.","Shujing (Book of Documents): ""The Emperor said, 'Yu! The waters of the flood rise up to heaven; in their vast extent they embrace the hills and overtop the great heights, threatening the heavens with their floods. The people below are groaning and murmuring!'""; Shiji (Records of the Grand Historian)","Allan, S. (1991). The Shape of the Turtle: Myth, Art, and Cosmos in Early China; Lewis, M.E. (2006). The Flood Myths of Early China"
100 BCE-100 CE,Maya,The Great Flood in Popol Vuh,"According to the Popol Vuh, the Heart of Heaven created a flood to destroy the wooden people (an earlier failed creation). These beings were imperfect and forgot to honor their creators. The flood came along with an attack by their own tools and animals, and a resin rain from the heavens. After this destruction, the gods created humans from maize.","Popol Vuh: ""Again there comes a humiliation, destruction, and demolition. The manikins, woodcarvings were killed when the Heart of Sky devised a flood for them. A great flood was made that came down on the heads of the manikins, woodcarvings.""","Tedlock, D. (1996). Popol Vuh: The Definitive Edition of the Mayan Book of the Dawn of Life and the Glories of Gods and Kings; Christenson, A.J. (2007). Popol Vuh: Sacred Book of the Quiché Maya People"
100-800 CE,Norse,Bergelmir's Flood,"In Norse mythology, when the first frost giant Ymir was slain by Odin and his brothers, his blood caused a flood that drowned most frost giants. Only Bergelmir and his wife survived by sheltering in a hollowed tree trunk or mill box. They became the ancestors of a new race of frost giants.","Prose Edda, Gylfaginning: ""Bor's sons killed the giant Ymir... When he fell, so much blood flowed from his wounds that with it they drowned the whole tribe of frost-giants; except that one escaped with his household. Giants call him Bergelmir. He climbed up on his lúðr [hollowed log/mill box] with his wife, and there they were safe.""","Lindow, J. (2001). Norse Mythology: A Guide to the Gods, Heroes, Rituals, and Beliefs; Simek, R. (1993). Dictionary of Northern Mythology"
700-1000 CE,Indigenous Australian,Various Flood Myths,"Many different Aboriginal groups have distinct flood narratives. In some, the Rainbow Serpent causes floods when angered. In others, ancestral beings cause flooding by overfilling water containers. Common themes include punishment for breaking cultural laws and the reshaping of landscape.",Oral traditions documented by anthropologists and ethnographers,"Charlesworth, M., Dussart, F., & Morphy, H. (eds.) (2005). Aboriginal Religions in Australia; Berndt, R.M. & Berndt, C.H. (1994). The Speaking Land: Myth and Story in Aboriginal Australia"
1100-1500 CE,Inca,Great Flood of Viracocha,"The creator god Viracocha destroyed an earlier race of people with a great flood because they had become disrespectful. He preserved two humans, either in floating boxes or by placing them on mountains, who would later repopulate the world. After the flood, Viracocha emerged from Lake Titicaca to create the sun, moon, and stars.","Spanish colonial chronicles, particularly those of Juan de Betanzos and Pedro Sarmiento de Gamboa: ""In the life of Manco Capac, who was the first Inca... there was a great flood which they call 'unu pachacuti,' which means 'water that overturns the land.' They say that the sea left its bed, and the land was covered with water and all the people perished.""","Steele, P.R. & Allen, C.J. (2004). Handbook of Inca Mythology; Urton, G. (1999). Inca Myths"
1200-1600 CE,Hopi,Emergence Myth,"While not a typical flood narrative, the Hopi emergence story tells of people migrating through three previous worlds before reaching the current Fourth World. Each previous world was destroyed due to human corruption, with one world being destroyed by flooding. The journey between worlds occurs through hollow reeds or bamboo.",Oral traditions recorded by ethnographers in the 19th-20th centuries,"Waters, F. (1977). Book of the Hopi; Loftin, J.D. (2003). Religion and Hopi Life"
1300-1800 CE,Hawaiian,Nu'u's Flood,"Nu'u built a large boat with a house on it called Ka-waa-halau-alii-o-ka-moku (The Royal Canoe). The flood is sent by Kane (or sometimes Lono) to destroy a corrupt humanity. Nu'u and his family survive in the boat with animals. After the flood, Nu'u mistakenly offers thanks to the Moon, but the god Kane descends on a rainbow to correct him.","Post-contact written accounts of oral traditions, including works by Hawaiian historian David Malo and missionary accounts","Beckwith, M. (1970). Hawaiian Mythology; Westervelt, W.D. (1915). Legends of Old Honolulu"
1400-1700 CE,Aztec,Five Suns Creation Myth,"In Aztec cosmology, the world has gone through five ""suns"" or ages. The Fourth Sun (Nahui-Atl, ""4-Water"") was destroyed by a great flood. Only one couple, Tata and Nene, survived by hiding in a hollow cypress tree. The gods transformed them into dogs by removing their human heads. The current Fifth Sun will eventually be destroyed by earthquakes.","Codex Chimalpopoca; Codex Borgia; Historia de los Mexicanos por sus Pinturas: ""After twice four hundred years the fourth sun was destroyed by water... Everything was drowned, and the heavens collapsed upon the earth. All this happened on one day.""","León-Portilla, M. (1963). Aztec Thought and Culture; Taube, K.A. (1993). The Legendary Past: Aztec and Maya Myths"
1500-1900 CE,Tribal African (Various),Local Flood Narratives,"Various African cultures have distinct flood myths. In Yoruba tradition, the orisha Olokun, deity of the sea, once flooded the earth in anger. Among the Masai, a righteous man named Tumbainot builds a wooden vessel to survive a flood with his family and animals. Across the continent, flood myths often explain local geological features or serve as morality tales.",Oral traditions recorded by anthropologists and missionaries,"Parrinder, G. (1967). African Mythology; Mbiti, J.S. (1990). African Religions and Philosophy"
1600-1900 CE,Polynesian (Māori),Tawhaki's Flood,"In some Māori traditions, a man named Tawhaki is insulted by his relatives. In revenge, he and his brother stamp their feet, breaking the floor of heaven and causing a great deluge. Only a few people escape to high ground. In other versions, the flood is caused by the sea god Tangaroa or other entities.",Oral traditions recorded in post-contact period,"Reed, A.W. (1974). Myths and Legends of Polynesia; Orbell, M. (1995). The Illustrated Encyclopedia of Māori Myth and Legend"
